代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
000725	京东方Ａ	3.26	10523806720	    24.22	       2091.38亿	          5.21	元器件	234373	0.17	6.02	5.84	6.07	5.81	5.82	0.19	6.01	  0.96	17642384	北京	
000839	中信国安	2.32	6097441792	   135.81	        448.82亿	         13.04	综合类	50951	-0.34	11.46	12.31	12.31	11.41	11.19	0.26	11.45	  5.49	5109510	北京	
002230	科大讯飞	0.35	4571828224	   352.08	        791.56亿	          6.75	软件服务	7449	0.07	57.01	56.50	58.97	56.06	56.80	0.20	57.00	  1.41	795219	安徽	
601318	中国平安	0.48	4374187520	    13.32	       6981.65亿	          0.63	保险	38	0.06	64.47	64.00	64.84	63.48	64.14	0.31	64.45	  0.77	681440	深圳	
000063	中兴通讯	1.96	3147490048	    26.36	       1124.80亿	          2.83	通信设备	13520	0.09	32.75	31.88	32.84	31.81	32.12	0.63	32.75	  1.07	972034	深圳	
600519	贵州茅台	1.95	3075651072	    30.13	       8029.24亿	          0.38	白酒	38	0.08	639.45	628.65	643.44	628.65	626.92	12.25	639.17	  0.82	48189	贵州	
601668	中国建筑	-1.21	2875517952	     8.54	       2937.00亿	          0.99	建筑施工	625	0.00	9.79	9.89	9.90	9.57	9.91	-0.12	9.79	  1.13	2954271	北京	
601766	中国中车	-0.53	2852352000	    35.85	       2758.77亿	          1.11	运输设备	1075	0.18	11.33	11.38	11.45	11.02	11.40	-0.06	11.34	  0.89	2547045	北京	
600050	中国联通	-2.48	2808974848	    90.40	       1581.27亿	          1.77	电信运营	244	0.27	7.47	7.62	7.65	7.37	7.65	-0.19	7.46	  0.71	3754200	上海	
002460	赣锋锂业	0.94	2458074624	    47.45	        634.95亿	          5.43	小金属	2733	0.24	87.12	85.40	88.54	84.98	86.30	0.81	87.11	  1.07	281939	江西	
000651	格力电器	-1.02	2285683200	    12.21	       2516.38亿	          0.91	家用电器	2905	0.02	41.84	42.27	42.58	41.60	42.26	-0.43	41.83	  0.74	543528	广东	
002466	天齐锂业	-2.27	2260668416	    37.08	        750.64亿	          2.98	小金属	3307	0.04	75.50	76.50	78.47	75.30	77.24	-1.75	75.49	  0.94	295112	四川	
600887	伊利股份	2.19	2216026624	    27.15	       1787.23亿	          1.25	乳制品	156	0.20	29.40	28.83	29.67	28.81	28.77	0.63	29.40	  0.97	755418	内蒙	
600516	方大炭素	-1.63	2180512768	    17.61	        474.03亿	          4.76	矿物制品	159	-0.10	26.51	26.55	27.34	26.16	26.94	-0.44	26.50	  0.65	818396	甘肃	
600807	天业股份	10.02	2094518912	    82.80	        103.94亿	         22.71	区域地产	103	0.00	11.75	11.75	11.75	11.35	10.68	1.07	11.75	  9.38	1787290	山东	
601108	财通证券	-1.43	2046040192	    50.71	        817.93亿	         24.89	证券	673	-0.51	22.81	22.80	23.35	22.36	23.12	-0.33	22.79	  0.83	893527	浙江	
600036	招商银行	0.19	1829746432	     8.70	       5582.19亿	          0.33	银行	203	-0.14	27.07	26.98	27.16	26.61	27.01	0.05	27.06	  0.86	680869	深圳	
002008	大族激光	5.47	1827292672	    26.69	        534.60亿	          3.74	电器仪表	4913	0.28	50.10	47.44	50.40	47.25	47.50	2.60	50.10	  1.88	371374	深圳	
