代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
000725	京东方Ａ	1.47	7916341760	    25.07	       2164.46亿	          3.76	元器件	131985	0.16	6.22	6.17	6.33	6.12	6.13	0.09	6.22	  0.74	12746064	北京	
601318	中国平安	-1.73	6990987776	    14.31	       7496.20亿	          0.93	保险	360	-0.19	69.22	69.98	70.43	68.59	70.42	-1.22	69.20	  1.15	1009460	深圳	
002230	科大讯飞	-5.02	6598210560	   389.14	        874.88亿	          8.68	软件服务	15753	0.37	63.01	66.00	67.35	62.12	66.33	-3.33	63.00	  1.23	1022342	安徽	
000063	中兴通讯	-1.50	4275503104	    28.99	       1237.11亿	          3.47	通信设备	6145	0.00	36.02	36.36	37.20	34.78	36.57	-0.55	36.02	  1.18	1189003	深圳	
603260	合盛硅业	-0.71	3780211200	    41.42	        533.59亿	         67.14	化工原料	25	-0.63	79.60	80.38	83.98	76.90	80.21	-0.57	79.64	 47.76	469978	浙江	
002415	海康威视	-4.94	3668420352	    44.59	       3658.32亿	          1.27	电器仪表	4721	-0.19	39.64	41.20	41.38	38.89	41.70	-2.06	39.64	  2.19	920012	浙江	
002466	天齐锂业	-6.55	3579513856	    31.61	        639.87亿	          5.52	小金属	3250	-0.04	64.36	68.00	68.00	63.41	68.86	-4.51	64.35	  1.56	546217	四川	
002460	赣锋锂业	-6.56	3332454400	    39.26	        525.32亿	          8.74	小金属	4417	0.13	72.07	75.80	76.33	70.38	77.13	-5.06	72.07	  1.45	454289	江西	
600050	中国联通	2.04	3125581824	   138.44	       2421.74亿	          1.85	电信运营	31	-0.11	8.02	7.81	8.12	7.79	7.85	0.16	8.01	  0.82	3916155	上海	
600519	贵州茅台	1.37	3074244096	    32.44	       8643.65亿	          0.36	白酒	6	-0.20	687.98	678.75	689.99	674.00	678.75	9.33	688.08	  0.91	45036	贵州	
600487	亨通光电	-5.46	3004651520	    25.46	        567.16亿	          5.67	通信设备	38	0.26	41.69	44.12	45.25	41.01	44.12	-2.41	41.71	  1.80	704068	江苏	
