代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00144	招商局港口	-2.31	69493168	21.150	21.650	2000	3283404	0.24	21.450	21.600	21.000	--  	1.04	2.77	-0.500	    536	21.100	21.150	10493700.00	
00148	建滔化工	0.19	42923028	26.650	26.600	500	1612600	-0.19	26.550	26.750	26.500	--  	1.13	0.94	0.050	    597	26.650	26.650	7247011.00	
00151	中国旺旺	-1.17	47419288	5.050	5.110	1000	9436129	0.60	5.090	5.090	5.000	--  	0.89	1.76	-0.060	   1678	5.040	5.050	2490711.25	
00152	深圳国际	-0.53	11023368	11.180	11.240	500	986644	0.18	11.240	11.240	11.140	--  	0.00	0.89	-0.060	    431	11.160	11.180	3178979.50	
00163	英皇国际	-1.63	12932241	2.410	2.450	2000	5321735	0.42	2.470	2.490	2.390	--  	1.87	4.08	-0.040	    315	2.410	2.410	4707214.00	
00165	中国光大控股	-1.52	72787344	15.580	15.820	2000	4656000	0.00	15.720	15.780	15.560	--  	1.60	1.39	-0.240	    732	15.560	15.580	6205352.00	
00168	青岛啤酒股份	-0.14	166022576	35.000	35.050	2000	4784028	0.29	34.850	35.100	34.350	--  	0.00	2.14	-0.050	    536	34.950	35.000	3079830.00	
00173	嘉华国际	-0.23	15992074	4.410	4.420	1000	3628719	0.00	4.430	4.450	4.390	--  	1.13	1.36	-0.010	    519	4.400	4.410	4906797.00	
00175	吉利汽车	-2.94	679499008	11.220	11.560	5000	60410916	0.54	11.500	11.500	11.140	--  	0.00	3.11	-0.340	   2177	11.200	11.220	4497473.50	
00177	江苏宁沪高速公路	-1.66	29114354	10.680	10.860	2000	2726746	0.38	10.860	10.860	10.560	--  	0.00	2.76	-0.180	    642	10.660	10.680	3678992.25	
00178	莎莎国际	-1.60	19853554	3.080	3.130	2000	6439527	0.00	3.130	3.130	3.050	--  	2.92	2.56	-0.050	    653	3.070	3.080	337946.00	
00179	德昌电机控股	-1.15	7048801	21.550	21.800	500	327500	0.70	21.850	21.900	21.300	--  	0.74	2.75	-0.250	    259	21.500	21.550	328416.81	
00187	京城机电股份	-0.61	6144661	3.250	3.270	2000	1898000	1.25	3.250	3.280	3.200	--  	0.00	2.45	-0.020	     77	3.210	3.250	190031.73	
00198	星美控股	-1.43	4780600	0.690	0.700	4000	6996000	1.47	0.690	0.690	0.680	--  	0.00	1.43	-0.010	    196	0.680	0.690	1043341.50	
00200	新濠国际发展	-0.49	32305760	12.280	12.340	1000	2637780	-0.16	12.380	12.380	12.160	--  	0.12	1.78	-0.060	    434	12.260	12.280	10738201.00	
00207	大悦城地产	-4.27	12177204	1.120	1.170	2000	10845235	0.00	1.170	1.170	1.100	--  	0.00	5.98	-0.050	    326	1.110	1.120	7384112.50	
00215	和记电讯香港	-0.87	10684556	2.290	2.310	2000	4659788	0.00	2.310	2.340	2.280	--  	3.01	2.60	-0.020	    168	2.280	2.290	2129400.00	
00220	统一企业中国	-0.76	9652783	5.240	5.280	1000	1841512	0.00	5.290	5.300	5.220	--  	0.00	1.52	-0.040	    542	5.230	5.240	2075727.00	
00241	阿里健康	-2.28	25130122	3.000	3.070	2000	8326000	0.00	3.150	3.150	2.990	--  	0.00	5.21	-0.070	    352	2.990	3.000	150850.80	
00242	信德集团	-0.75	8326521	2.660	2.680	2000	3128000	0.38	2.680	2.680	2.650	--  	0.00	1.12	-0.020	    173	2.650	2.660	4620166.00	
00245	中国民生金融	0.00	1223400	0.520	0.520	10000	2360000	0.00	0.520	0.520	0.510	--  	0.00	1.92	0.000	     43	0.510	0.520	534439.13	
00256	冠城钟表珠宝	-1.83	1773380	1.610	1.640	2000	1086000	0.00	1.630	1.650	1.610	--  	0.00	2.44	-0.030	     43	1.610	1.610	652664.69	
00257	中国光大国际	-0.37	132041824	10.660	10.700	1000	12376409	0.19	10.700	10.800	10.540	--  	1.22	2.43	-0.040	   1866	10.640	10.660	4953173.00	
00267	中信股份	-0.72	75744560	10.980	11.060	1000	6900014	0.18	11.000	11.060	10.940	--  	0.91	1.08	-0.080	    911	10.980	10.980	726481728.00	
00268	金蝶国际	-1.31	31728018	3.010	3.050	2000	10549660	0.00	3.030	3.050	3.000	--  	0.00	1.64	-0.040	    494	3.000	3.010	570669.00	
00270	粤海投资	-0.56	99758448	10.720	10.780	2000	9299496	0.00	10.720	10.780	10.700	--  	1.12	0.74	-0.060	    733	10.720	10.720	5348884.50	
00272	瑞安房地产	-2.82	18677798	1.720	1.770	500	10719156	0.00	1.760	1.780	1.720	--  	0.64	3.39	-0.050	    926	1.720	1.720	11891400.00	
00279	民众金融科技	0.00	6571122	0.550	0.550	20000	12156240	1.85	0.540	0.550	0.530	--  	0.00	3.64	0.000	    126	0.540	0.550	375153.50	
