代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
08400	亚洲先锋娱乐	10.71	75524104	0.310	0.280	10000	178750000	3.33	0.510	0.550	0.300	--  	0.00	89.29	0.030	酒店及消闲	--  	0.310	
08376	方圆房服集团	6.33	65725324	0.840	0.790	4000	75376000	0.00	0.950	0.950	0.810	--  	0.00	17.72	0.050	地产	--  	0.840	
08207	中新控股	0.00	57327564	1.020	1.020	4000	56432000	0.00	1.020	1.030	1.000	52840	0.00	2.94	0.000	其他金融	52000	1.020	
08375	弘浩国际控股	-42.59	45378404	0.310	0.540	10000	122910000	1.64	0.550	0.560	0.305	--  	0.00	47.22	-0.230	工业工程	--  	0.310	
08352	成安控股	-27.87	40777520	0.440	0.610	10000	78391000	0.00	0.620	0.830	0.430	--  	0.00	65.57	-0.170	建筑	--  	0.440	
08228	国艺娱乐	11.29	36221556	0.345	0.310	20000	107547664	1.47	0.320	0.350	0.310	--  	0.00	12.90	0.035	媒体及娱乐	--  	0.345	
08392	舍图控股	34.13	29967502	1.690	1.260	10000	20340000	1.81	1.260	1.710	1.250	--  	0.00	36.51	0.430	家电及用品	--  	1.690	
08059	朝威控股	-1.61	28154702	0.610	0.620	5000	46135000	0.00	0.620	0.620	0.600	--  	0.00	3.23	-0.010	建筑	--  	0.610	
08137	洪桥集团	-6.77	27263022	1.790	1.920	2000	14950000	0.00	1.910	1.920	1.770	1799320	0.00	7.81	-0.130	工业工程	996000	1.790	
08455	礼建德集团	10.76	25955702	1.750	1.580	10000	15453000	1.16	1.580	1.920	1.300	--  	0.00	39.24	0.170	建筑	--  	1.750	
08291	万成金属包装	26.00	20694794	3.780	3.000	5000	6240727	-3.82	3.110	3.930	3.040	--  	0.00	29.67	0.780	工用支援	--  	3.780	
08227	西安海天天	-4.55	19385760	6.080	6.370	4000	3120000	-0.33	6.370	6.430	6.060	--  	0.00	5.81	-0.290	信息器材	--  	6.080	
08425	兴铭控股	-6.02	17045760	1.250	1.330	4000	13740000	0.00	1.280	1.280	1.100	--  	0.00	13.53	-0.080	建筑	--  	1.250	
08102	利宝阁集团	-4.69	11040479	0.610	0.640	10000	18060300	0.00	0.620	0.660	0.570	--  	0.00	14.06	-0.030	酒店及消闲	--  	0.610	
08083	中国创新支付	-2.44	10572701	0.400	0.410	4000	26458000	0.00	0.410	0.410	0.385	56080	0.00	6.10	-0.010	软件服务	140000	0.400	
08275	永勤集团控股	2.47	10356200	0.830	0.810	10000	12830000	0.00	0.830	0.850	0.780	--  	0.00	8.64	0.020	建筑	--  	0.830	
08282	智傲控股	-7.46	10230040	1.860	2.010	4000	5668000	2.76	2.010	2.010	1.520	--  	0.00	24.38	-0.150	软件服务	--  	1.860	
08469	盛业资本	-6.85	9950760	5.440	5.840	2000	1798000	0.74	5.790	5.790	5.390	--  	0.00	6.85	-0.400	其他金融	--  	5.440	
08437	德斯控股	-6.56	7826401	0.570	0.610	8000	14688000	5.56	0.620	0.620	0.510	--  	0.00	18.03	-0.040	医疗服务	--  	0.570	
08340	域高金融	-8.25	7369001	0.890	0.970	10000	8330000	0.00	0.960	0.970	0.750	--  	0.34	22.68	-0.080	其他金融	--  	0.890	
08022	永耀集团控股	0.00	6526111	0.700	0.700	3000	9681000	4.48	0.690	0.700	0.660	--  	0.00	5.71	0.000	酒店及消闲	--  	0.700	
08133	铸能控股	-3.33	6497001	0.290	0.300	20000	21980000	0.00	0.300	0.305	0.285	--  	0.00	6.67	-0.010	工业工程	--  	0.290	
08027	吉辉控股	12.03	6290276	0.149	0.133	5000	44160000	2.05	0.128	0.150	0.128	--  	0.00	16.54	0.016	支援服务	--  	0.149	
08308	古兜控股	1.09	6177881	1.860	1.840	4000	3332000	0.00	1.820	1.890	1.800	--  	0.00	4.89	0.020	酒店及消闲	--  	1.860	
08158	中国再生医学	3.13	6067411	0.198	0.192	5000	30980000	0.51	0.191	0.200	0.191	54275	0.00	4.69	0.006	医药医疗	275000	0.198	
08292	盛良物流	-5.33	5677801	2.310	2.440	10000	2450000	0.00	2.450	2.450	2.260	--  	0.00	7.79	-0.130	工用运输	--  	2.310	
08138	同仁堂国药	0.36	5510061	11.020	10.980	1000	499000	-0.72	10.960	11.200	10.960	44220	0.00	2.19	0.040	医药医疗	4000	11.020	
08112	FOCUS MEDIA	-17.27	5305057	0.182	0.220	24000	27456000	-2.15	0.213	0.213	0.178	--  	0.00	15.91	-0.038	媒体及娱乐	--  	0.182	
08213	新智控股	4.00	5052820	0.078	0.075	10000	66490000	0.00	0.071	0.078	0.071	--  	0.00	9.33	0.003	酒店及消闲	--  	0.078	
08462	桥英控股	-1.11	4799600	0.890	0.900	5000	5385000	2.30	0.890	0.930	0.860	--  	0.00	7.78	-0.010	支援服务	--  	0.890	
08410	安领国际	-1.16	4653100	1.700	1.720	10000	2710000	-0.58	1.730	1.750	1.690	--  	0.00	3.49	-0.020	软件服务	--  	1.700	
08090	中国融保金融集团	2.00	4641560	1.020	1.000	2000	4698000	0.00	0.990	1.020	0.980	--  	0.00	4.00	0.020	其他金融	--  	1.020	
08187	永骏国际控股	5.81	4567500	1.820	1.720	5000	2490000	1.11	1.720	1.890	1.720	--  	0.00	9.88	0.100	纺织服饰	--  	1.820	
08008	新意网集团	1.02	4481103	5.970	5.910	1000	753898	0.34	5.910	5.990	5.900	106960	0.00	1.52	0.060	软件服务	18000	5.970	
08085	香港生命科学	-1.83	4372432	0.107	0.109	4000	39540000	0.00	0.108	0.113	0.106	--  	0.00	6.42	-0.002	家电及用品	--  	0.107	
08415	乐嘉思控股	10.00	4362340	0.176	0.160	10000	23020000	0.00	0.166	0.210	0.165	--  	0.00	28.13	0.016	建筑	--  	0.176	
08328	信义香港	-1.64	4326356	1.800	1.830	4000	2380579	-1.10	1.810	1.820	1.800	--  	0.00	1.09	-0.030		--  	1.800	
08426	雅居投资控股	-6.67	4205560	0.238	0.255	10000	17270000	0.00	0.255	0.255	0.238	--  	0.00	6.67	-0.017	地产	--  	0.238	
08065	高萌科技	-3.23	4157550	0.600	0.620	5000	6785000	-3.23	0.610	0.650	0.590	--  	0.00	9.68	-0.020	软件服务	--  	0.600	
08427	瑞强集团	5.26	3975920	0.300	0.285	8000	14776000	5.26	0.280	0.305	0.250	--  	0.00	19.30	0.015	建筑	--  	0.300	
08226	树熊金融集团	4.84	3971640	0.325	0.310	4000	11964000	-1.52	0.320	0.340	0.310	--  	0.00	9.68	0.015	农业产品	--  	0.325	
08413	亚洲杂货	10.45	3864400	0.740	0.670	10000	5790000	0.00	0.700	0.740	0.580	--  	0.00	23.88	0.070	食物饮品	--  	0.740	
08309	万成环球控股	-2.22	3848000	0.440	0.450	10000	8750000	0.00	0.450	0.460	0.430	--  	0.00	6.67	-0.010	支援服务	--  	0.440	
08457	健升物流中国	-6.79	3775220	0.247	0.265	10000	14750000	0.00	0.265	0.275	0.246	--  	0.00	10.94	-0.018	工用支援	--  	0.247	
08073	兴业新材料	-0.84	3772284	1.180	1.190	4000	3201348	0.00	1.190	1.190	1.170	--  	0.00	1.68	-0.010	工业工程	--  	1.180	
08095	北大青鸟环宇	0.00	3721320	1.970	1.970	1000	1906000	0.51	1.970	1.990	1.930	--  	0.00	3.05	0.000	软件服务	--  	1.970	
08175	中国数码文化	1.06	3453288	0.475	0.470	10000	7352500	0.00	0.460	0.480	0.450	--  	0.00	6.38	0.005	酒店及消闲	--  	0.475	
08491	COOL LINK	-3.80	3406250	0.380	0.395	5000	8765000	0.00	0.400	0.400	0.375	--  	0.00	6.33	-0.015	食物饮品	--  	0.380	
08325	中国支付通	-6.93	3124200	0.940	1.010	10000	3270000	0.00	1.000	1.000	0.930	--  	0.00	6.93	-0.070	软件服务	--  	0.940	
08417	大地教育	-1.94	3040300	1.010	1.030	10000	3020000	1.00	1.020	1.060	0.990	--  	0.00	6.80	-0.020	支援服务	--  	1.010	
08182	中国糖果	-0.69	2987460	0.144	0.145	10000	21160000	1.41	0.146	0.146	0.139	--  	0.00	4.83	-0.001	食物饮品	--  	0.144	
08257	靖洋集团	-2.68	2967800	1.090	1.120	10000	2670000	0.00	1.120	1.140	1.080	--  	0.00	5.36	-0.030	半导体	--  	1.090	
08170	KSL HOLDINGS	-0.99	2919300	2.000	2.020	1000	1397000	1.01	2.020	2.150	1.900	--  	0.00	12.38	-0.020	建筑	--  	2.000	
08383	东骏控股	-5.36	2783840	0.530	0.560	8000	5296000	0.00	0.560	0.560	0.500	--  	0.00	10.71	-0.030	工用支援	--  	0.530	
08409	海鑫集团	-12.96	2727300	0.470	0.540	10000	5650000	1.08	0.580	0.580	0.450	--  	0.00	24.07	-0.070	建筑	--  	0.470	
08047	中国海洋捕捞	0.00	2664240	0.640	0.640	4000	4204000	1.59	0.650	0.650	0.620	--  	0.00	4.69	0.000	工用支援	--  	0.640	
08089	华人策略控股	-3.37	2582606	0.860	0.890	1800	3000800	2.38	0.880	0.880	0.840	--  	0.00	4.49	-0.030	其他金融	--  	0.860	
08331	飞尚非金属	-3.85	2519200	1.500	1.560	10000	1660000	0.00	1.580	1.580	1.450	--  	0.00	8.33	-0.060	一般金属	--  	1.500	
08081	互娱中国	0.00	2513030	0.038	0.038	10000	65586000	-2.56	0.038	0.040	0.037	--  	0.00	7.89	0.000	医疗服务	--  	0.038	
08321	泰锦控股	-2.35	2457950	0.415	0.425	10000	5870000	1.22	0.430	0.435	0.400	--  	0.00	8.24	-0.010	建筑	--  	0.415	
08416	HM INTL HLDGS	-4.71	2451600	0.810	0.850	5000	3125000	1.25	0.820	0.830	0.750	--  	0.00	9.41	-0.040	工用支援	--  	0.810	
08217	联旺集团	-1.27	2223600	0.390	0.395	10000	5720000	0.00	0.395	0.395	0.385	--  	0.00	2.53	-0.005	建筑	--  	0.390	
08480	飞霓控股	-3.75	2144060	0.385	0.400	4000	5580000	0.00	0.400	0.400	0.375	--  	0.00	6.25	-0.015	纺织服饰	--  	0.385	
08460	基地锦标集团	6.25	1987780	0.255	0.240	10000	8310000	0.00	0.235	0.255	0.225	--  	0.00	12.50	0.015	建筑	--  	0.255	
08046	恒芯中国	-2.56	1972119	0.038	0.039	4000	52132264	0.00	0.037	0.038	0.037	--  	0.00	2.56	-0.001	媒体及娱乐	--  	0.038	
08370	智升集团控股	0.36	1957840	5.500	5.480	8000	376000	0.00	5.500	5.500	5.000	--  	0.00	9.12	0.020	家电及用品	--  	5.500	
08283	正力控股	-10.00	1826450	0.810	0.900	5000	2205000	0.00	0.850	0.900	0.790	--  	0.00	12.22	-0.090	支援服务	--  	0.810	
08179	新煮意控股	-1.67	1805244	0.295	0.300	12000	6309600	1.72	0.295	0.300	0.275	--  	0.00	8.33	-0.005	酒店及消闲	--  	0.295	
08310	大丰港	2.04	1782300	1.000	0.980	10000	1780000	0.00	0.970	1.030	0.970	--  	0.00	6.12	0.020	工用运输	--  	1.000	
08172	拉近网娱	-4.44	1707600	0.430	0.450	20000	3900000	-2.27	0.455	0.455	0.420	--  	0.00	7.78	-0.020	媒体及娱乐	--  	0.430	
08465	高科桥	1.72	1662620	3.540	3.480	2000	468000	0.00	3.470	3.600	3.470	--  	0.00	3.74	0.060	信息器材	--  	3.540	
08476	大洋环球控股	-3.41	1629660	0.850	0.880	2000	1952000	1.19	0.860	0.870	0.810	--  	0.00	6.82	-0.030	食物饮品	--  	0.850	
08181	港深联合	0.00	1515920	0.185	0.185	8000	8296000	0.00	0.185	0.186	0.173	--  	0.00	7.03	0.000	支援服务	--  	0.185	
08026	长达健康	-1.47	1515090	0.335	0.340	1000	4574000	1.52	0.310	0.345	0.310	--  	0.00	10.29	-0.005	医药医疗	--  	0.335	
08279	亚博科技控股	0.78	1480760	1.290	1.280	4000	1156000	0.78	1.300	1.300	1.260	81480	0.00	3.12	0.010	酒店及消闲	64000	1.290	
08326	同景新能源	-4.27	1467130	2.020	2.110	1000	702000	0.00	2.120	2.120	2.020	--  	0.00	4.74	-0.090	酒店及消闲	--  	2.020	
08156	众彩股份	0.00	1446150	0.840	0.840	5000	1750000	0.00	0.820	0.840	0.820	--  	0.00	2.38	0.000	酒店及消闲	--  	0.840	
08053	比优集团	5.00	1401100	0.630	0.600	20000	2290000	-5.97	0.610	0.670	0.610	--  	0.00	10.00	0.030	工用支援	--  	0.630	
08129	云信投资控股	-10.53	1395020	0.051	0.057	20000	26780000	-1.92	0.056	0.056	0.049	--  	0.00	12.28	-0.006	软件服务	--  	0.051	
08446	ITP HOLDINGS	-6.46	1349100	5.790	6.190	10000	230000	-0.17	6.010	6.160	5.790	--  	0.00	5.98	-0.400	媒体及娱乐	--  	5.790	
08049	吉林长龙药业	-2.86	1348720	1.700	1.750	4000	796000	0.00	1.700	1.710	1.680	--  	0.00	1.71	-0.050	医药医疗	--  	1.700	
08470	莹岚集团	-5.71	1318800	0.660	0.700	8000	1944000	0.00	0.690	0.710	0.660	--  	0.00	7.14	-0.040	建筑	--  	0.660	
08430	春能控股	-5.19	1308300	0.365	0.385	5000	3680000	0.00	0.370	0.385	0.350	--  	0.00	9.09	-0.020	工用运输	--  	0.365	
08232	CLASSIFIED GP	0.56	1280200	1.810	1.800	5000	675000	0.00	1.830	1.920	1.810	--  	0.00	6.11	0.010	酒店及消闲	--  	1.810	
08193	汉华专业服务	0.00	1260845	0.064	0.064	5000	19520000	1.59	0.063	0.067	0.063	--  	0.00	6.25	0.000	其他金融	--  	0.064	
08080	北亚策略	-2.05	1258121	0.143	0.146	8000	8724400	0.00	0.147	0.151	0.140	--  	0.00	7.53	-0.003	工业工程	--  	0.143	
08436	德宝集团控股	-3.64	1254350	0.530	0.550	5000	2340000	0.00	0.550	0.560	0.510	--  	0.00	9.09	-0.020	纺织服饰	--  	0.530	
08359	HYPEBEAST	-1.67	1225300	0.295	0.300	20000	4160000	0.00	0.300	0.300	0.290	--  	0.00	3.33	-0.005	媒体及娱乐	--  	0.295	
08353	安科系统	-1.32	1222230	0.750	0.760	3000	1776000	2.74	0.710	0.750	0.640	--  	0.00	14.47	-0.010	软件服务	--  	0.750	
08265	中国之信集团	0.00	1214600	3.080	3.080	4000	396000	1.32	3.060	3.090	3.040	--  	0.00	1.62	0.000	工用支援	--  	3.080	
08261	海天能源	0.00	1197600	0.365	0.365	8000	3336000	1.39	0.360	0.365	0.355	--  	0.00	2.74	0.000	公用事业	--  	0.365	
08191	鸿伟亚洲	4.48	1167960	0.350	0.335	6000	3342000	0.00	0.340	0.350	0.340	--  	0.00	2.99	0.015	原材料	--  	0.350	
08366	浙江联合投资	-1.54	1160300	0.640	0.650	10000	1840000	0.00	0.630	0.640	0.620	--  	0.00	3.08	-0.010	建筑	--  	0.640	
08087	中国三三传媒	8.57	1129060	0.038	0.035	20000	28260000	-2.56	0.035	0.048	0.035	--  	0.00	37.14	0.003	媒体及娱乐	--  	0.038	
08442	桦欣控股	12.86	1116990	9.480	8.400	500	131000	0.00	8.380	9.600	8.380	--  	0.00	14.52	1.080	纺织服饰	--  	9.480	
08163	万德金融	0.00	1110505	0.084	0.084	20000	13055125	0.00	0.090	0.090	0.084	--  	0.00	7.14	0.000	其他金融	--  	0.084	
08120	国农金融投资	0.00	1090540	0.082	0.082	20000	13750000	-2.38	0.080	0.084	0.078	--  	0.00	7.32	0.000	综合企业	--  	0.082	
08001	东方汇财证券	-2.67	1035560	0.730	0.750	4000	1416000	0.00	0.740	0.740	0.720	--  	0.00	2.67	-0.020	其他金融	--  	0.730	
08420	NEXION TECH	-5.26	1029900	0.540	0.570	5000	1845000	0.00	0.570	0.600	0.540	--  	0.00	10.53	-0.030	软件服务	--  	0.540	
08021	汇隆控股	-3.85	1008460	0.025	0.026	10000	40160000	0.00	0.026	0.026	0.025	--  	0.00	3.85	-0.001	建筑	--  	0.025	
08472	立高控股	-2.82	992850	0.690	0.710	5000	1440000	0.00	0.720	0.720	0.660	--  	0.00	8.45	-0.020	支援服务	--  	0.690	
