代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
01299	友邦保险	3.72	2795591168	65.550	65.550	65.600	42629636	4531600	-0.23	          0.35	
600160	巨化股份	2.50	1483079680	12.30	12.28	12.29	1202453	115	-0.48	          5.88	
002241	歌尔股份	2.14	1450023808	15.25	15.25	15.26	950813	6822	0.07	          3.50	
002129	中环股份	3.13	1242068224	8.91	8.91	8.92	1376260	7937	0.00	          5.20	
002635	安洁科技	6.34	1150275712	23.16	23.16	23.17	497308	4372	0.35	         15.60	
000977	浪潮信息	5.06	1117490688	18.70	18.69	18.70	598509	8261	-0.10	          4.66	
000503	海虹控股	9.91	1051353344	34.95	34.95	34.96	311067	1572	-0.05	          3.46	
002027	分众传媒	2.42	1021511680	14.81	14.81	14.82	687846	5279	0.07	          1.19	
02689	玖龙纸业	8.26	970063168	13.900	13.880	13.900	72239592	1305000	0.43	          1.55	
600584	长电科技	0.57	893443136	19.50	19.49	19.50	451645	30	-0.09	          4.59	
300170	汉得信息	6.16	815176512	14.47	14.46	14.47	570528	5355	0.07	          8.59	
600893	航发动力	7.33	787179648	26.21	26.22	26.23	305927	96	0.04	          1.57	
300133	华策影视	9.99	760804864	12.88	12.88	--  	614629	5493	0.00	          5.04	
603559	中通国脉	4.92	753189376	32.39	32.39	32.40	235044	234	-0.11	         29.57	
300124	汇川技术	1.84	740290368	31.00	31.00	31.01	237734	2724	0.81	          1.94	
300088	长信科技	1.81	721697280	7.32	7.32	7.33	976661	6719	-0.13	          4.33	
300107	建新股份	4.81	709162496	9.59	9.59	9.60	747566	9210	-0.20	         22.84	
002371	北方华创	1.08	694528896	32.75	32.75	32.76	208023	1340	-0.05	          5.94	
600623	华谊集团	5.57	693455360	11.19	11.15	11.16	620818	87	-0.70	          6.65	
002285	世联行	3.05	662466240	10.49	10.48	10.49	631281	5368	-0.09	          3.71	
600760	中航沈飞	5.82	661039744	29.26	29.24	29.25	230427	13	0.14	          6.68	
300168	万达信息	0.40	610177152	14.96	14.96	14.97	406541	4075	-0.06	          4.03	
300676	华大基因	0.89	590611328	168.37	168.34	168.37	34616	499	0.02	          8.63	
600868	梅雁吉祥	9.96	577008192	5.08	5.08	--  	1143381	15	0.00	          6.02	
600977	中国电影	2.49	557840256	17.29	17.28	17.29	327739	10	0.12	          5.80	
300271	华宇软件	1.40	557104576	18.12	18.11	18.12	309420	3075	0.06	          6.24	
300296	利亚德	4.61	529897088	21.09	21.08	21.09	249934	1842	0.48	          2.56	
300324	旋极信息	10.03	520342496	17.00	17.00	--  	315139	212	0.00	          4.65	
000768	中航飞机	5.12	518070304	14.78	14.78	14.79	353579	2652	-0.06	          1.28	
002273	水晶光电	1.15	510117440	21.08	21.07	21.08	241546	2545	0.09	          3.92	
002907	华森制药	10.01	509235136	34.28	34.28	--  	152022	161	0.00	         37.95	
300666	江丰电子	3.95	508525984	52.36	52.36	52.37	96335	1366	0.27	         17.61	
603616	韩建河山	9.97	508524640	16.21	16.21	--  	328151	16	0.00	         22.27	
002235	安妮股份	9.97	491389664	11.03	11.03	--  	451049	717	0.00	         13.52	
600171	上海贝岭	0.38	483050944	13.33	13.34	13.35	362732	18	0.08	          5.38	
