代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
00939	建设银行	0.00	3811478784	0.000	8.020	8.030	470385568	27806000	-0.25	          0.20	7.980	
002460	赣锋锂业	3.01	3378827520	2.17	74.19	74.20	458992	5194	0.38	          8.83	72.17	
01398	工商银行	0.29	2671834368	0.020	6.800	6.810	390902976	22737000	0.15	          0.45	6.780	
601398	工商银行	1.22	2620109824	0.08	6.63	6.64	3933426	1225	-0.14	          0.15	6.59	
600036	招商银行	2.43	2596877568	0.73	30.75	30.76	842334	105	-0.44	          0.41	30.50	
000732	泰禾集团	0.26	2199731200	0.08	31.27	31.28	691343	10941	-0.05	          5.56	31.78	
000858	五 粮 液	0.05	2102488960	0.04	73.27	73.28	283761	2742	0.00	          0.75	73.24	
601166	兴业银行	0.56	1980622464	0.10	18.03	18.04	1091923	87	-0.21	          0.57	18.07	
601939	建设银行	1.85	1980308224	0.15	8.25	8.26	2383800	377	-0.11	          2.48	8.19	
002049	紫光国芯	0.75	1909424384	0.35	47.28	47.29	398255	5096	-0.12	          6.61	47.00	
600903	贵州燃气	9.99	1831068672	2.87	31.59	--  	599757	3	0.00	         49.18	28.36	
300353	东土科技	2.19	1720635392	0.38	17.71	17.72	944873	9496	-0.27	         28.83	17.60	
000933	神火股份	1.45	1473698560	0.12	8.37	8.38	1730439	22531	0.24	          9.11	8.61	
03968	招商银行	1.95	1201531264	0.650	33.900	33.950	35481340	2248500	0.30	          0.77	33.050	
000333	美的集团	0.11	1183915648	0.06	56.26	56.28	208925	2122	0.07	          0.33	56.26	
000503	海虹控股	3.93	1168136448	1.55	41.03	41.04	282247	2153	-0.40	          3.14	42.00	
600104	上汽集团	2.51	1163333376	0.88	35.91	35.95	323212	128	-0.05	          0.28	35.12	
600410	华胜天成	1.57	1138865408	0.18	11.66	11.67	976180	53	-0.25	          8.92	11.50	
000410	沈阳机床	0.50	1024698816	0.06	12.05	12.06	844705	10671	-0.07	         11.41	11.90	
601328	交通银行	0.00	937396800	0.00	6.46	6.47	1438176	624	-0.14	          0.37	6.49	
601009	南京银行	0.67	922849984	0.06	9.06	9.07	1003951	215	-0.10	          1.24	9.20	
02382	舜宇光学科技	0.38	913564224	0.500	132.300	132.400	6864414	133800	0.23	          0.63	130.000	
601988	中国银行	0.72	909904640	0.03	4.21	4.22	2149248	740	0.24	          0.10	4.21	
00175	吉利汽车	0.00	906487168	0.000	24.450	24.500	36735760	1331000	0.00	          0.41	24.550	
00004	九龙仓集团	4.58	853857792	1.350	30.600	30.800	27813440	10489000	0.65	          0.92	29.400	
600868	梅雁吉祥	0.61	831598400	0.03	4.96	4.97	1634690	33	0.00	          8.61	5.10	
000735	罗 牛 山	2.97	822334720	0.26	9.01	9.02	909273	11839	-0.54	          8.58	8.77	
300058	蓝色光标	2.51	804350336	0.19	7.75	7.76	1036122	10988	-0.12	          6.16	7.56	
300216	千山药机	10.03	783615744	1.07	11.74	--  	692114	4098	0.00	         26.52	10.69	
002769	普路通	2.27	768448576	0.48	21.63	21.64	362195	6390	-0.22	         19.02	20.52	
002142	宁波银行	2.97	749764608	0.59	20.48	20.49	365708	4206	0.34	          0.81	19.99	
002907	华森制药	7.62	730591488	2.73	38.55	38.56	194406	2265	0.42	         48.53	35.75	
000727	华东科技	2.68	729658688	0.07	2.67	2.68	2672718	31883	-0.36	         10.94	2.72	
300170	汉得信息	1.28	682338944	0.19	15.04	15.05	452025	4504	0.07	          6.81	14.83	
000025	特 力Ａ	10.01	668420096	4.02	44.17	--  	158842	391	0.00	          8.19	41.00	
600547	山东黄金	0.49	652188736	0.13	26.91	26.92	240154	34	0.00	          1.65	27.27	
000816	智慧农业	0.00	647668608	0.00	4.19	4.20	1549817	29129	-0.23	         11.60	4.14	
601012	隆基股份	0.25	643614144	0.09	36.74	36.75	175522	10	-0.02	          0.89	36.47	
603616	韩建河山	5.58	622759744	0.91	17.20	17.22	369331	238	0.12	         25.06	16.07	
000528	柳 工	3.76	613827136	0.36	9.93	9.94	618192	3895	0.20	          5.49	9.59	
300624	万兴科技	10.00	569505344	6.66	73.24	--  	78638	39	0.00	         39.32	71.29	
603466	风语筑	5.12	558570432	2.89	59.29	59.33	94815	22	-0.02	         26.34	56.59	
000425	徐工机械	0.46	554985216	0.02	4.34	4.35	1270278	17431	0.23	          1.82	4.32	
600025	华能水电	0.47	554084736	0.02	4.28	4.29	1288497	755	0.00	          7.16	4.23	
600466	蓝光发展	1.73	542723584	0.18	10.60	10.61	510906	46	0.47	          5.79	10.53	
300451	创业软件	4.66	540346304	1.51	33.90	33.91	159197	1652	0.50	         12.29	32.41	
600436	片仔癀	1.26	538720064	0.99	79.83	79.85	67164	6	-0.03	          1.11	78.79	
002358	森源电气	6.26	535663712	0.93	15.79	15.80	342894	4490	1.35	          3.77	15.05	
002320	海峡股份	2.16	531099296	0.57	26.89	26.90	197080	1637	0.41	          9.52	26.13	
002229	鸿博股份	3.35	524828224	0.38	11.72	11.73	447250	5479	-0.41	         12.13	11.49	
601888	中国国旅	0.56	515530912	0.31	55.43	55.44	93000	27	0.00	          0.48	55.17	
002422	科伦药业	3.33	512001984	0.90	27.91	27.98	184038	1976	-0.31	          1.79	26.88	
603516	淳中科技	3.74	508360864	1.80	49.98	49.99	103435	6	-0.25	         44.23	47.50	
002184	海得控制	7.12	503491040	1.04	15.64	15.65	326981	4672	0.00	         24.07	15.60	
600770	综艺股份	2.04	503325472	0.15	7.49	7.50	666121	35	-0.12	          5.12	7.39	
300166	东方国信	1.47	496400704	0.24	16.57	16.58	300185	4473	0.30	          3.72	16.32	
300296	利亚德	4.87	496346144	1.06	22.84	22.85	217298	905	0.00	          2.23	22.70	
300688	创业黑马	8.73	489008544	4.79	59.46	59.64	85453	511	-1.15	         50.27	56.00	
600000	浦发银行	0.00	487036832	0.00	12.49	12.50	388176	1370	0.00	          0.14	12.51	
601998	中信银行	0.30	483334688	0.02	6.74	6.75	708947	60	0.00	          0.22	6.77	
300612	宣亚国际	10.01	478000672	4.39	48.24	--  	101514	44	0.00	         32.69	46.05	
002863	今飞凯达	10.03	468705664	1.55	17.01	--  	279892	258	0.00	         50.43	15.66	
002068	黑猫股份	10.02	467614112	0.95	10.43	--  	448727	1108	0.00	          7.39	10.43	
603080	新疆火炬	7.42	454514592	2.45	35.49	35.50	132735	50	-2.30	         37.39	32.97	
600093	易见股份	0.50	452259360	0.08	16.11	16.12	281513	77	0.25	          8.73	15.79	
300476	胜宏科技	0.07	451259168	0.02	28.16	28.17	157745	3101	-0.06	          8.46	27.90	
002911	佛燃股份	7.21	446280128	1.88	27.95	27.96	163394	2658	0.22	         29.18	25.82	
603056	德邦股份	1.02	446012224	0.23	22.82	22.83	192185	11	0.13	         19.22	22.69	
600809	山西汾酒	3.29	442565920	1.81	56.69	56.70	77919	1	0.50	          0.90	55.08	
300725	药石科技	1.36	442477472	1.40	104.49	104.50	41501	670	-0.37	         22.64	109.40	
600209	罗顿发展	8.44	440968480	0.77	9.85	9.86	454066	120	-1.29	         10.65	9.07	
601069	西部黄金	1.45	435190240	0.22	15.39	15.44	279011	1	0.33	          4.39	15.59	
300739	明阳电路	3.87	424966784	1.54	41.31	41.32	103645	1904	-0.21	         33.65	39.50	
300684	中石科技	5.86	422940224	3.05	55.13	55.14	76843	1160	0.51	         35.38	52.49	
000543	皖能电力	10.11	422465728	0.47	5.12	--  	838883	3893	0.00	          4.69	4.73	
00268	金蝶国际	1.95	421433088	0.110	5.750	5.760	71905144	178000	0.17	          2.47	5.600	
002709	天赐材料	2.23	413507456	1.06	48.51	48.52	85264	1288	0.23	          4.52	47.88	
300299	富春股份	1.88	406842528	0.16	8.69	8.70	467117	3778	-0.10	         11.12	8.56	
600066	宇通客车	1.01	406573056	0.24	24.01	24.02	168736	27	0.13	          0.76	23.98	
002714	牧原股份	3.58	406200960	1.65	47.78	47.79	86128	690	0.06	          1.44	46.08	
300133	华策影视	0.39	405864544	0.05	12.84	12.85	313781	2700	-0.15	          2.57	12.86	
002376	新北洋	0.07	401281952	0.01	15.27	15.28	256753	3763	-0.51	          4.47	15.42	
02269	药明生物	5.36	383249728	3.150	61.900	61.950	6104983	152000	0.49	          0.52	58.950	
601628	中国人寿	0.04	370152064	0.01	27.51	27.52	134106	44	0.18	          0.06	27.50	
000996	中国中期	0.84	361015328	0.13	15.66	15.67	226570	3469	-0.05	          6.57	15.68	
000917	电广传媒	0.61	359014496	0.05	8.20	8.21	434349	6957	0.37	          3.36	8.12	
002917	金奥博	1.15	358021536	0.33	29.10	29.12	118951	2202	0.00	         42.08	31.40	
300390	天华超净	3.83	353963744	0.30	8.13	8.14	437727	3513	0.25	         23.62	8.10	
002680	长生生物	0.99	345474080	0.16	16.35	16.36	210027	1162	0.18	          5.23	16.40	
300737	科顺股份	1.99	344454496	0.31	15.89	15.90	217776	5717	0.19	         14.26	15.50	
000568	泸州老窖	0.21	344206272	0.12	57.99	58.00	58998	554	-0.01	          0.42	57.84	
603356	华菱精工	3.43	334666752	0.81	24.42	24.43	139843	111	0.99	         41.94	23.30	
002695	煌上煌	3.18	334085888	0.53	17.20	17.21	195829	3652	0.23	          4.32	16.56	
600158	中体产业	0.33	331359360	0.04	12.32	12.33	268134	240	0.24	          4.08	12.36	
300649	杭州园林	1.49	328627552	0.52	35.50	35.51	90545	2969	-0.10	         28.30	37.00	
002432	九安医疗	4.60	321595968	0.40	9.10	9.11	350857	4840	0.22	          8.11	8.88	
300514	友讯达	8.37	317078880	2.57	33.26	33.27	96317	730	-0.32	         38.53	30.60	
00709	佐丹奴国际	1.80	316106016	0.070	3.940	3.950	81178000	192000	0.00	          5.17	3.900	
01093	石药集团	1.37	311757120	0.240	17.740	17.760	17550986	984000	-0.11	          0.28	17.620	
