183,300933,中辰股份,654592512
184,300333,兆日科技,657340096
185,002050,三花智控,654848640
186,603803,瑞斯康达,652283200
187,600309,万华化学,651425024
188,002249,大洋电机,645800256
189,300657,弘信电子,640146880
190,603496,恒为科技,639910400
191,300245,天玑科技,639434880
192,603662,柯力传感,638210304
193,601166,兴业银行,633840640
194,000625,长安汽车,632313600
195,600590,泰豪科技,628642240
196,600919,江苏银行,629673920
197,601668,中国建筑,628250112
198,000021,深科技,628710912
199,300465,高伟达,633076736
200,600745,闻泰科技,619545024
201,002190,成飞集成,617819776
202,000338,潍柴动力,616004864
203,300042,朗科科技,612085952
204,000981,山子高科,611851584
205,300699,光威复材,610721152
206,300766,每日互动,608454400
207,301536,星宸科技,606059648
208,301600,慧翰股份,604867008
209,002387,维信诺,602415808
210,601600,中国铝业,608942464
211,600398,海澜之家,596624768
212,300735,光弘科技,595919104
213,002456,欧菲光,595797056
214,601360,三六零  ,594858304
215,601328,交通银行,592219264
216,603777,来伊份  ,587384320
217,603005,晶方科技,585597440
218,600941,中国移动,586558272
219,300760,迈瑞医疗,578746176
220,000670,盈方微,574618368
221,002607,中公教育,575244928
222,002122,汇洲智能,572307904
223,603236,移远通信,570299776
224,301325,曼恩斯特,566094528
225,002245,蔚蓝锂芯,565720256
226,002031,巨轮智能,563265984
227,301383,天键股份,559043712
228,601688,华泰证券,560303872
229,000002,万 科Ａ,553519424
230,002491,通鼎互联,552449344
231,600126,杭钢股份,551771072
232,601888,中国中免,550108864
233,002352,顺丰控股,545672768
234,603825,华扬联众,549646336
235,600143,金发科技,540199872
236,000066,中国长城,540270784
237,300624,万兴科技,538599104
238,600460,士兰微  ,535838432
239,300223,北京君正,536466784
240,603993,洛阳钼业,538202368
241,000627,天茂集团,535105248
242,300115,长盈精密,543454592
243,300870,欧陆通,531875456
244,605066,天正电气,531737280
245,600397,安源煤业,527362112
246,000933,神火股份,527543936
247,002896,中大力德,525512384
248,000158,常山北明,524871488
249,300604,长川科技,520227360
250,300302,同有科技,519396032
251,002117,东港股份,518227712
252,300229,拓尔思,518573248
253,002706,良信股份,515823488
254,300068,南都电源,519665408
255,300113,顺网科技,514822528
256,600089,特变电工,516962272
257,600690,海尔智家,512357152
258,600221,海航控股,511019904
259,603667,五洲新春,512746784
260,603991,至正股份,511950208
261,002185,华天科技,499478016
262,300991,创益通,498720128
263,600845,宝信软件,497819680
264,002517,恺英网络,498559008
265,601939,建设银行,497720544
266,002369,卓翼科技,499198912
267,600487,亨通光电,497430240
268,001314,亿道信息,494672192
269,300403,汉宇集团,493271520
270,002685,华东重机,494843808
271,600498,烽火通信,490679584
272,000998,隆平高科,489102976
273,002334,英威腾,488425280
274,001258,立新能源,487121888
275,601988,中国银行,485298560
276,601088,中国神华,484039584
277,300077,国民技术,482123008
278,603042,华脉科技,479482240
279,601658,邮储银行,477631808
280,600048,保利发展,476269920
281,605117,德业股份,475605504
282,002142,宁波银行,470203232
283,603516,淳中科技,467414816
284,600438,通威股份,471145920
285,300863,卡倍亿,464052096
286,000501,武商集团,460157088
287,002797,第一创业,468976800
288,600887,伊利股份,459337632
289,002426,胜利精密,454695840
290,300024,机器人,448862944
291,300046,台基股份,448284352
292,002670,国盛金控,453949024
293,600893,航发动力,445812896
294,002353,杰瑞股份,441794624
295,002312,川发龙蟒,442899776
296,601006,大秦铁路,444567904
297,603958,哈森股份,439171616
298,002651,利君股份,438844544
299,600246,万通发展,436938016
300,605168,三人行  ,437481568
301,603220,中贝通信,435709536
302,301018,申菱环境,434351296
303,600850,电科数字,434051232
304,300623,捷捷微电,434887968
305,300002,神州泰岳,432131328
306,601766,中国中车,431660320
307,600072,中船科技,432292992
308,000786,北新建材,430371968
309,600809,山西汾酒,430360480
310,002560,通达股份,429008448
311,300136,信维通信,425947712
312,002865,钧达股份,422449600
313,300638,广和通,423582752
314,600028,中国石化,422446496
315,002405,四维图新,421291744
316,603366,日出东方,423187456
317,600016,民生银行,420428832
318,600579,克劳斯  ,419031168
319,601162,天风证券,422253344
320,002396,星网锐捷,420370144
321,600506,统一股份,416824000
322,300607,拓斯达,416287712
323,600733,北汽蓝谷,419318016
324,002027,分众传媒,413517184
325,601236,红塔证券,416855776
326,600686,金龙汽车,412501856
327,002736,国信证券,421275616
328,300015,爱尔眼科,407835360
329,002075,沙钢股份,404716832
330,300207,欣旺达,401005504
331,601231,环旭电子,401304736
332,002181,粤 传 媒,400714368
333,002881,美格智能,400278880
334,601818,光大银行,397870464
335,301110,青木科技,397409824
336,002415,海康威视,399861888
337,002746,仙坛股份,396324992
338,300280,紫天科技,400263648
339,002436,兴森科技,395326208
340,601229,上海银行,394745248
341,601211,国泰君安,397032448
342,300433,蓝思科技,394437984
343,601519,大智慧  ,395925824
344,003021,兆威机电,393276928
345,601816,京沪高铁,393956128
346,300025,华星创业,392660064
347,002600,领益智造,389717056
348,003015,日久光电,386142432
349,601012,隆基绿能,387029664
350,002364,中恒电气,385177344
351,600000,浦发银行,385386624
352,300040,九洲集团,384353984
353,300399,天利科技,384624352
354,300959,线上线下,381921376
355,603920,世运电路,381254528
356,002175,东方智造,383921760
357,002041,登海种业,381001216
358,600183,生益科技,379483200
359,002681,奋达科技,377782016
360,301297,富乐德,376576000
361,600864,哈投股份,379260672
362,601099,太平洋  ,377570240
363,300364,中文在线,374157024
364,600536,中国软件,374743808
365,601908,京运通  ,373287456
366,002351,漫步者,372470400
367,603099,长白山  ,370818880
368,601009,南京银行,369915744
369,300541,先进数通,370175232
370,002472,双环传动,368078336
371,002897,意华股份,367490880
372,300384,三联虹普,367896544
373,300846,首都在线,375059744
374,000006,深振业Ａ,365896000
375,600635,大众公用,367591776
376,600363,联创光电,365743712
377,300007,汉威科技,364797248
378,300087,荃银高科,364643712
379,300386,飞天诚信,366735648
380,300088,长信科技,363883296
381,600958,东方证券,368965504
382,600482,中国动力,362612416
383,601881,中国银河,364652384
384,002097,山河智能,360089184
385,600811,东方集团,358004256
386,301067,显盈科技,358793600
387,601798,蓝科高新,356882272
388,002291,遥望科技,356703296
389,301085,亚康股份,356739104
390,000915,华特达因,356295520
391,603341,龙旗科技,356230336
392,601998,中信银行,358380608
393,300346,南大光电,352970912
394,300192,科德教育,352880320
395,603229,奥翔药业,350873824
396,300189,神农种业,350345120
397,601728,中国电信,351937536
398,600629,华建集团,349139776
399,601028,玉龙股份,349229536
400,002920,德赛西威,348620320
401,002077,大港股份,348765056
402,300100,双林股份,347362432
403,301251,威尔高,347609568
404,603057,紫燕食品,350200416
405,600188,兖矿能源,347089760
406,600031,三一重工,348588864
407,300762,上海瀚讯,345120128
408,002843,泰嘉股份,344762656
409,600679,上海凤凰,345362432
410,301091,深城交,344660032
411,002945,华林证券,346299936
412,603912,佳力图  ,342971200
413,002467,二六三,342706336
414,002952,亚世光电,341656832
415,000166,申万宏源,344469152
416,600518,康美药业,339020384
417,002730,电光科技,338359328
418,001217,华尔泰,341157888
419,600710,苏美达  ,339611936
420,002530,金财互联,337273792
421,300145,中金环境,339055424
422,300759,康龙化成,335766624
423,002271,东方雨虹,336836512
424,301291,明阳电气,334551296
425,002747,埃斯顿,333204864
426,002008,大族激光,333863744
427,603126,中材节能,331095456
428,301269,华大九天,331233984
429,300724,捷佳伟创,330998080
430,603421,鼎信通讯,328948608
431,300688,创业黑马,331688864
432,600027,华电国际,328970432
433,600862,中航高科,328200128
434,000628,高新发展,327676800
435,600570,恒生电子,329550368
436,600522,中天科技,329587200
437,300278,华昌达,328562368
438,300469,信息发展,324795968
439,600725,云维股份,327641664
440,300231,银信科技,325229792
441,000801,四川九洲,323692288
442,603988,中电电机,324392160
443,002668,TCL智家,322232960
444,000425,徐工机械,322644224
445,002640,跨境通,324004864
446,301202,朗威股份,320888640
447,603194,C中力   ,320812928
448,603843,正平股份,321383840
449,600660,福耀玻璃,319639360
450,600372,中航机载,317573472
451,603629,利通电子,317320320
452,300620,光库科技,317170336
453,600793,宜宾纸业,316158784
454,300498,温氏股份,317011680
455,600926,杭州银行,316515392
456,002115,三维通信,316990208
457,300211,亿通科技,312801504
458,002210,飞马国际,312769664
459,603950,长源东谷,314603264
460,001979,招商蛇口,313898592
461,002902,铭普光磁,312659328
462,601111,中国国航,314483968
463,301050,雷电微力,312872832
464,600895,张江高科,311755328
465,600703,三安光电,312059552
466,600160,巨化股份,313802624
467,002460,赣锋锂业,330594752
468,300182,捷成股份,309132256
469,601878,浙商证券,310653472
470,002783,凯龙股份,309069824
471,300684,中石科技,308881408
472,601216,君正集团,306695520
473,002796,世嘉科技,307033952
474,600340,华夏幸福,305335328
475,300681,英搏尔,306066848
476,603009,北特科技,304368256
477,300425,中建环能,303757024
478,601689,拓普集团,304341600
479,002741,光华科技,302945984
480,002596,海南瑞泽,301850976
481,002219,新里程,302137664
482,600702,舍得酒业,301441568
483,002576,通达动力,299392128
484,002236,大华股份,301359424
485,301566,达利凯普,299141504
486,600010,包钢股份,299064704
487,000785,居然智家,299113120
488,002861,瀛通通讯,298546912
489,300475,香农芯创,297700672
490,000925,众合科技,297444224
491,601169,北京银行,297066912
492,300256,星星科技,297254816
493,002599,盛通股份,294860448
494,300727,润禾材料,294569248
495,872190,雷神科技,293996256
496,300290,荣科科技,294611520
497,002076,星光股份,293750560
498,605488,福莱新材,298919168
499,300660,江苏雷利,290953728
500,301293,三博脑科,290562592
501,002484,江海股份,291027648
502,300580,贝斯特,291360704
503,601838,成都银行,294940768
504,002745,木林森,289300608
505,002148,北纬科技,287938176
506,600988,赤峰黄金,289300992
507,300065,海兰信,287859648
508,300260,新莱应材,285829120
509,002009,天奇股份,286378208
510,601156,东航物流,286446304
511,000932,华菱钢铁,288081120
512,002187,广百股份,283015296
513,300785,值得买,280913216
514,003816,中国广核,279802016
515,002878,元隆雅图,278561600
516,300199,翰宇药业,278274528
517,600066,宇通客车,280946272
518,601059,信达证券,280396640
519,600880,博瑞传播,277694144
520,300602,飞荣达,278582080
521,002643,万润股份,277114016
522,300853,申昊科技,276855104
523,601319,中国人保,282105280
524,600859,王府井  ,273466016
525,600593,大连圣亚,273278208
526,603799,华友钴业,282441568
527,000538,云南白药,272496384
528,600198,大唐电信,272301792
529,603283,赛腾股份,271986848
530,002821,凯莱英,272455360
531,002918,蒙娜丽莎,270851968
532,600223,福瑞达  ,270721472
533,601666,平煤股份,272293856
534,601058,赛轮轮胎,269707456
535,600172,黄河旋风,269241632
536,002465,海格通信,269566080
537,301516,中远通,269457568
538,002555,三七互娱,268028288
539,002632,道明光学,266259104
540,300141,和顺电气,266226640
