代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
002835	同为股份	-9.45	31443184	9.20	9.19	9.20	33203	198	0.00	          4.57	
002186	全 聚 德	-4.71	31124096	15.16	15.14	15.16	20279	137	0.00	          0.66	
600858	银座股份	-5.52	30817712	7.02	7.01	7.02	43256	10	0.00	          0.84	
000892	欢瑞世纪	-5.88	30586682	7.20	7.20	7.21	41792	351	-0.27	          1.06	
002579	中京电子	-9.95	30584700	7.69	7.69	7.70	38366	326	0.00	          1.09	
601010	文峰股份	-5.25	30567486	3.43	3.43	3.44	87448	5	0.00	          0.47	
603906	龙蟠科技	-9.13	30517126	12.74	12.74	12.75	23413	2	-0.07	          4.50	
603999	读者传媒	-7.02	30402936	6.75	6.74	6.75	44034	20	-1.16	          1.91	
002595	豪迈科技	-4.71	30362218	16.40	16.38	16.40	18281	131	0.00	          0.35	
002406	远东传动	-6.66	30361464	6.45	6.44	6.45	46042	413	-0.14	          1.18	
600746	江苏索普	-7.86	29692328	7.62	7.61	7.62	38045	20	0.13	          1.25	
601368	绿城水务	-4.51	29548424	7.83	7.82	7.83	37443	4	0.00	          1.27	
300583	赛托生物	-6.77	29340210	36.38	36.37	36.38	7867	83	-0.04	          2.30	
600854	春兰股份	-8.78	29272484	4.57	4.58	4.59	61808	726	-0.64	          1.19	
300187	永清环保	-6.76	29268874	9.38	9.37	9.38	30614	303	0.00	          0.51	
002811	亚泰国际	-10.01	29097228	15.65	--  	15.65	18024	219	0.00	          4.01	
603101	汇嘉时代	-8.38	28239284	11.70	11.69	11.70	23341	10	-0.58	          3.24	
603086	先达股份	-8.41	28235382	30.39	30.37	30.38	8999	1	-0.58	          4.50	
600223	鲁商置业	-5.85	28181970	3.54	3.54	3.55	77926	216	0.00	          0.78	
600097	开创国际	-3.04	28150620	14.04	14.02	14.06	19537	5	-0.56	          0.96	
603855	华荣股份	-6.62	27881766	9.87	9.85	9.86	27804	5	0.10	          3.36	
002204	大连重工	-3.00	27869660	3.88	3.88	3.89	71674	528	0.00	          0.37	
600167	联美控股	-0.74	27816864	24.15	23.54	24.30	11902	9	2.03	          0.56	
000632	三木集团	-4.40	27814784	5.65	5.65	5.68	48554	10	-0.17	          1.04	
300652	雷迪克	-7.60	27763498	23.47	23.45	23.47	11528	54	-0.33	          5.24	
02833	恒指ＥＴＦ	-2.22	27730672	30.900	--  	--  	901600	54200	0.32	--  	
000159	国际实业	-7.79	27608980	4.38	4.38	4.39	61372	345	0.23	          1.28	
300599	雄塑科技	-9.16	27603152	10.21	10.20	10.21	26082	230	-0.09	          2.88	
603556	海兴电力	-5.45	27501500	32.96	32.96	32.98	8214	2	-0.05	          0.65	
603966	法兰泰克	-9.98	27466718	12.72	--  	12.72	20691	13	-0.07	          2.89	
000607	华媒控股	-7.00	27421354	5.05	5.04	5.05	53314	436	0.00	          0.60	
300385	雪浪环境	-7.64	27368106	20.55	20.55	20.61	13043	103	-0.04	          2.05	
00525	广深铁路股份	-1.45	27297172	4.750	4.740	4.750	5788000	34000	0.64	          0.40	
603615	茶花股份	-8.78	27229402	11.01	10.98	10.99	24023	1	0.00	          3.21	
601999	出版传媒	-7.79	27147754	6.87	6.86	6.87	38295	18	-0.57	          0.70	
002133	广宇集团	-6.33	27024708	4.14	4.13	4.14	64190	535	0.00	          1.01	
600327	大东方	-5.95	26920400	6.64	6.63	6.64	39695	90	-0.14	          0.70	
300371	汇中股份	-9.63	26863608	17.08	17.07	17.08	15058	257	-0.05	          2.63	
300489	中飞股份	-8.23	26809806	15.72	15.72	15.73	16489	210	-0.62	          3.41	
002181	粤 传 媒	-8.41	26805350	4.14	4.13	4.14	62894	443	0.24	          0.55	
000573	粤宏远Ａ	-6.29	26788276	4.62	4.60	4.62	57422	797	0.87	          0.92	
002216	三全食品	-1.57	26777396	7.52	7.45	7.52	35956	668	1.21	          0.63	
01428	耀才证券金融	-3.86	26748942	2.490	--  	--  	10841000	10000	0.40	          0.64	
002306	*ST云网	-4.88	26673010	3.51	--  	3.51	75145	550	0.00	          0.94	
