代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
603017	中衡设计	1.49	103317280	13.59	13.57	13.59	72335	28	0.00	          2.65	
300598	诚迈科技	10.00	100237560	34.10	34.10	--  	29823	55	0.00	          6.17	
002840	华统股份	1.02	95790584	37.59	37.59	37.60	25650	413	0.05	          2.62	
000430	张家界	3.33	95102680	8.68	8.67	8.68	110417	1155	-0.22	          4.27	
002679	福建金森	1.37	88211728	22.95	22.95	22.96	38647	460	0.22	          2.79	
02098	卓尔集团	0.97	86856448	10.400	10.380	10.400	8465000	5000	0.00	          0.07	
600095	哈高科	10.02	83958152	6.92	6.92	--  	121327	2	0.00	          3.36	
603779	威龙股份	1.38	79935664	16.17	16.16	16.17	48029	5	-0.48	          5.19	
002453	天马精化	0.42	78501752	7.14	7.13	7.14	107491	284	0.14	          1.99	
300087	荃银高科	1.30	75923064	10.94	10.93	10.94	69433	917	0.18	          2.01	
02308	研祥智能	15.65	58725124	1.700	--  	--  	36060000	12000	1.19	         11.69	
600841	上柴股份	3.01	56537232	12.66	12.64	12.65	45630	108	0.08	          0.87	
00866	中国秦发	14.06	46239840	0.730	--  	--  	65910636	42000	0.00	          2.64	
300640	德艺文创	10.02	41386968	23.39	23.39	--  	17694	155	0.00	          8.85	
07388	ＦＩ南方国指	2.35	33266102	5.660	--  	--  	5796800	4000	-0.35	--  	
07312	ＦＩ　三星恒指	2.52	29829748	4.480	--  	--  	6628400	400	-0.22	--  	
002523	天桥起重	10.04	27756218	6.25	6.25	--  	44410	838	0.00	          0.54	
00197	亨泰	4.00	27533778	0.520	--  	--  	54053908	5000	1.96	          2.89	
02840	ＳＰＤＲ金ＥＴＦ	0.61	24664066	997.500	--  	--  	24750	80	-0.05	--  	
07362	ＦＩ未来国指	2.25	9529430	5.920	--  	--  	1608700	107400	-0.17	--  	
01630	建成控股	2.04	9382740	4.010	--  	--  	2394000	6000	0.00	          0.16	
07321	ＦＩ华夏恒指	2.41	8484907	5.940	--  	--  	1419600	36000	-0.17	--  	
数据来源:通达信
