代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08132	中油港燃	0.00	146300	0.054	--  	2700000	100000	0.00	          0.04	  1.67	0.054	
08411	K W NELSON GP	-1.69	144350	0.290	--  	500000	40000	0.00	          0.05	  0.49	0.295	
08163	万德金融	3.53	142940	0.088	--  	1700000	560000	6.02	          0.08	  0.73	0.085	
08126	Ｇ．Ａ．控股	1.18	136840	0.430	--  	312000	80000	0.00	          0.07	  1.16	0.430	
08395	齐家控股	-3.20	134720	0.121	--  	1100000	40000	0.00	          0.07	  0.24	0.125	
08352	成安控股	-1.41	132600	0.350	--  	380000	20000	0.00	          0.06	  0.45	0.345	
08405	恒智控股	0.00	131120	0.940	--  	140000	44000	0.00	          0.04	  0.95	0.880	
08028	天时软件	-3.77	129790	0.051	--  	2530000	300000	0.00	          0.09	  1.46	0.051	
08231	节能元件	-2.27	126430	0.215	--  	590000	80000	0.00	          0.04	  0.50	0.210	
08049	吉林长龙药业	0.64	126400	1.570	--  	80000	36000	-0.63	          0.05	  0.88	1.580	
08181	港深联合	1.32	126240	0.385	--  	328000	80000	0.00	          0.04	  0.44	0.375	
08236	宝德科技集团	0.66	122000	3.040	--  	40000	12000	-0.33	          0.07	  1.75	3.050	
08121	超凡网络	3.77	120910	0.110	--  	1130000	190000	1.85	          0.07	  4.67	0.102	
08103	万泰企业股份	6.09	119895	1.220	--  	105050	40000	-0.81	          0.07	  3.16	1.110	
08333	阿仕特朗金融	-3.28	113075	0.295	--  	375000	40000	0.00	          0.05	  1.39	0.300	
08153	科地农业	3.51	110330	0.118	--  	935000	935000	0.00	          0.05	  0.08	0.118	
08051	讯智海	-1.59	109252	12.400	--  	8920	200	0.00	          0.04	  1.76	12.600	
08383	东骏控股	-1.45	102840	0.340	--  	304000	8000	1.49	          0.04	  0.23	0.335	
08035	骏高控股	-0.40	101460	0.249	--  	420000	10000	-0.40	          0.07	  3.18	0.240	
08041	荟萃国际（控股）	-5.50	99140	0.103	--  	940000	400000	0.00	          0.01	  0.67	0.109	
08188	骏杰集团控股	-1.92	96260	0.255	--  	364000	140000	0.00	          0.07	  1.01	0.265	
08446	ITP HOLDINGS	-6.39	94500	2.930	--  	30000	10000	-6.98	          0.00	  0.12	3.150	
08009	华夏能源控股	-2.33	93765	0.042	--  	2245000	20000	0.00	          0.11	  2.97	0.041	
08191	鸿伟亚洲	0.00	93000	0.310	--  	300000	300000	0.00	          0.04	  0.37	0.310	
08072	罗马集团	0.91	91548	0.111	--  	833250	160000	0.00	          0.03	  1.36	0.110	
08340	域高金融	1.08	89750	0.470	--  	190000	40000	0.00	          0.03	  0.08	0.490	
08242	宏创高科	-1.44	87870	0.137	--  	650000	10000	1.48	          0.05	  0.64	0.138	
08222	壹照明	-5.37	86724	0.194	--  	444000	204000	-1.52	          0.10	  1.38	0.197	
08432	太平洋酒吧	-1.21	84700	0.163	--  	520000	340000	0.00	          0.06	  0.28	0.163	
08506	福纺控股	-2.76	84528	0.141	--  	600000	168000	0.00	          0.06	  0.43	0.141	
08267	蓝港互动	0.00	84455	1.150	--  	72500	10000	-1.71	          0.02	  0.21	1.150	
08481	盛龙锦秀国际	-1.06	80500	0.465	--  	180000	100000	0.00	          0.04	  0.44	0.430	
08232	CLASSIFIED GP	0.00	80200	1.150	--  	70000	65000	0.88	          0.02	  0.47	1.140	
08368	中国创意控股	-0.83	78153	0.239	--  	327000	17000	0.00	          0.02	  0.81	0.239	
08189	泰达生物	-2.33	77300	0.420	--  	180000	15000	0.00	          0.02	  0.15	0.430	
08161	医汇集团	-2.15	75240	0.091	--  	960000	10000	0.00	          0.09	  0.56	0.083	
08366	浙江联合投资	3.45	75100	0.600	--  	130000	10000	5.26	          0.01	  0.54	0.580	
08091	奥传思维控股	3.90	73850	0.160	--  	470000	10000	0.00	          0.07	  0.36	0.154	
08495	1957 & CO.	2.38	73680	0.430	--  	172000	48000	0.00	          0.05	  0.42	0.420	
08320	沛然环保	-4.49	73420	0.170	--  	430000	40000	0.00	          0.04	  3.98	0.178	
