代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08030	汇联金融服务	0.00	389950	--  	--  	455000	15000	0.00	          0.03	  0.63	0.860	
08192	环球能源资源	4.55	388960	--  	--  	1144000	12000	2.99	          0.11	  0.69	0.330	
08143	华夏医疗	-2.94	385908	--  	--  	3000000	200000	0.00	          0.13	  0.88	0.136	
08510	TOPSTANDARDCORP	-6.88	363880	--  	--  	1792000	136000	-0.98	          0.22	  0.88	0.201	
08285	森浩集团	-5.17	356175	--  	--  	1270000	130000	0.00	          0.23	  0.72	0.290	
08147	汇思太平洋	0.00	348556	--  	--  	1744000	4000	-0.50	          0.03	  0.12	0.200	
08026	长达健康	-5.00	345855	--  	--  	1222000	100000	0.00	          0.10	  0.51	0.285	
08457	健升物流中国	2.22	344560	--  	--  	1490000	100000	0.44	          0.19	  0.58	0.239	
08166	中国农业生态	-10.87	341200	--  	--  	4100000	500000	0.00	          0.07	  0.33	0.084	
08130	智城控股	2.41	340660	--  	--  	2000000	1160000	-0.58	          0.06	  0.10	0.169	
08203	凯顺能源	16.07	337910	--  	--  	1043000	10000	0.00	          0.18	 10.35	0.290	
08172	拉近网娱	0.00	336900	--  	--  	960000	40000	0.00	          0.02	  1.59	0.365	
08395	齐家控股	2.48	334260	--  	--  	2660000	20000	0.00	          0.17	  0.61	0.122	
08040	ＤＣＢ控股	-5.81	332150	--  	--  	400000	30000	-2.41	          0.13	  0.08	0.840	
08331	飞尚非金属	0.00	332000	--  	--  	540000	10000	0.00	          0.10	  0.43	0.590	
08229	FUTURE DATA	-1.25	305425	--  	--  	765000	40000	0.00	          0.19	  0.43	0.405	
08519	JIA GROUP	-0.56	300420	--  	--  	1690000	10000	0.00	          0.20	  0.83	0.178	
08506	福纺控股	-0.71	297612	--  	--  	2124000	120000	0.00	          0.21	  1.47	0.141	
08471	新达控股	-2.78	293250	--  	--  	820000	20000	0.00	          0.10	  0.87	0.360	
08007	环球战略集团	-2.31	289103	--  	--  	2206440	6440	-3.05	          0.04	  0.56	0.131	
08255	神州数字	-1.10	285960	--  	--  	318000	6000	0.00	          0.07	  0.64	0.900	
