date	Price
1608	4.67
1559	4.68
1558	4.68
1557	4.67
1556	4.68
1555	4.68
1554	4.67
1553	4.68
1552	4.68
1551	4.67
1550	4.68
1549	4.68
1548	4.68
1547	4.68
1546	4.68
1545	4.68
1544	4.67
1543	4.68
1542	4.67
1541	4.67
1540	4.67
1539	4.68
1538	4.68
1537	4.68
1536	4.67
1535	4.67
1534	4.67
1533	4.67
1532	4.67
1531	4.67
1530	4.67
1529	4.67
1528	4.67
1527	4.67
1526	4.67
1525	4.68
1524	4.67
1523	4.67
1522	4.67
1521	4.67
1520	4.68
1519	4.68
1518	4.68
1517	4.68
1516	4.69
1515	4.68
1514	4.68
1513	4.68
1512	4.68
1511	4.68
1510	4.68
1509	4.69
1508	4.68
1507	4.68
1506	4.68
1505	4.69
1504	4.69
1503	4.70
1502	4.70
1501	4.69
1500	4.70
1459	4.69
1458	4.69
1457	4.69
1456	4.70
1455	4.69
1454	4.69
1453	4.69
1452	4.70
1451	4.69
1450	4.69
1449	4.69
1448	4.69
1447	4.69
1446	4.69
1445	4.69
1444	4.69
1443	4.69
1442	4.69
1441	4.69
1440	4.69
1439	4.70
1438	4.69
1437	4.69
1436	4.69
1435	4.69
1434	4.69
1433	4.69
1432	4.69
1431	4.70
1430	4.69
1429	4.69
1428	4.70
1427	4.69
1426	4.70
1425	4.70
1424	4.69
1423	4.69
1422	4.69
1421	4.69
1420	4.69
1419	4.69
1418	4.69
1417	4.69
1416	4.69
1415	4.69
1414	4.70
1413	4.70
1412	4.69
1411	4.69
1410	4.69
1409	4.69
1408	4.69
1407	4.69
1406	4.70
1405	4.70
1404	4.70
1403	4.69
1402	4.70
1401	4.69
1400	4.70
1359	4.70
1358	4.70
1357	4.70
1356	4.69
1355	4.70
1354	4.69
1353	4.70
1352	4.70
1351	4.70
1350	4.70
1349	4.69
1348	4.70
1347	4.70
1346	4.70
1345	4.70
1344	4.69
1343	4.70
1342	4.70
1341	4.70
1340	4.70
1339	4.70
1338	4.70
1337	4.70
1336	4.69
1335	4.70
1334	4.70
1333	4.70
1332	4.70
1331	4.70
1330	4.70
1329	4.70
1328	4.70
1327	4.70
