Date,Open,High,Low,Close,Volume
1457	4.69	4.69	4.68	4.68	-234000
1502	4.69	4.69	4.68	4.68	-172000
1507	4.68	4.69	4.68	4.68	-226000
1512	4.69	4.69	4.68	4.68	-346000
1517	4.69	4.69	4.68	4.69	-160000
1522	4.69	4.69	4.68	4.68	-348000
1527	4.69	4.69	4.68	4.68	-3e+05
1532	4.69	4.69	4.68	4.68	-302000
1537	4.68	4.68	4.68	4.68	-362917
1542	4.69	4.7	4.68	4.7	-2256000
1547	4.69	4.7	4.69	4.7	-794000
1552	4.69	4.7	4.69	4.7	-768000
1557	4.69	4.7	4.66	4.66	29377353
0931	4.67	4.67	4.67	4.67	-611332
0936	4.67	4.67	4.66	4.66	-646000
0941	4.65	4.67	4.65	4.66	-1156000
0946	4.66	4.66	4.66	4.66	-120000
0951	4.66	4.67	4.66	4.66	-604000
0956	4.66	4.67	4.66	4.66	-444000
1001	4.65	4.66	4.65	4.66	-366000
1006	4.66	4.66	4.65	4.66	-304000
1011	4.66	4.66	4.66	4.66	-194000
1016	4.66	4.67	4.66	4.67	-502000
1021	4.66	4.67	4.66	4.67	-44000
1026	4.66	4.67	4.66	4.67	-152000
1031	4.66	4.66	4.66	4.66	-198000
1036	4.67	4.67	4.67	4.67	-224000
1041	4.67	4.67	4.66	4.66	-338282
1046	4.67	4.67	4.66	4.66	-592000
1051	4.66	4.66	4.66	4.66	-152987
1056	4.66	4.67	4.66	4.67	-388000
1101	4.66	4.67	4.66	4.67	-392000
1106	4.67	4.67	4.67	4.67	-98000
1111	4.66	4.67	4.66	4.67	-222000
1116	4.67	4.67	4.66	4.67	-234000
1121	4.67	4.67	4.67	4.67	-206000
1126	4.66	4.67	4.66	4.67	-96000
1131	4.67	4.67	4.67	4.67	-44839
1136	4.67	4.67	4.67	4.67	-104000
1141	4.67	4.67	4.66	4.67	-188000
1146	4.66	4.67	4.66	4.67	-236000
1151	4.66	4.67	4.66	4.67	-104000
1156	4.66	4.67	4.66	4.67	-2e+05
1300	4.67	4.67	4.67	4.67	-44000
1305	4.67	4.67	4.66	4.66	-74000
1310	4.67	4.67	4.66	4.66	-24000
1315	4.67	4.67	4.66	4.66	-54000
1320	4.66	4.67	4.66	4.66	-126000
1325	4.66	4.67	4.66	4.66	-192000
1330	4.67	4.67	4.66	4.66	-296000
1335	4.66	4.66	4.66	4.66	-2828000
1340	4.65	4.65	4.64	4.65	-92000
1345	4.64	4.65	4.64	4.65	-224000
1350	4.65	4.65	4.64	4.65	-108000
1355	4.65	4.65	4.64	4.65	-56000
1400	4.64	4.65	4.64	4.65	-118000
1405	4.65	4.65	4.65	4.65	-156494
1410	4.65	4.65	4.64	4.65	-162868
1415	4.65	4.65	4.63	4.65	-2752000
1420	4.64	4.64	4.64	4.64	-164000
1425	4.64	4.64	4.64	4.64	-384000
1430	4.64	4.65	4.64	4.64	-168000
1435	4.64	4.65	4.64	4.65	-84000
1440	4.65	4.65	4.64	4.65	-68000
1445	4.65	4.66	4.65	4.66	-654000
1450	4.66	4.66	4.66	4.66	-140000
1455	4.66	4.66	4.65	4.65	-268000
1500	4.65	4.66	4.65	4.65	-2e+05
1505	4.65	4.66	4.65	4.66	-70000
1510	4.66	4.66	4.65	4.65	-42000
1515	4.65	4.66	4.65	4.66	-308000
1520	4.66	4.66	4.65	4.66	-86000
1525	4.66	4.66	4.66	4.66	-114000
1530	4.66	4.66	4.65	4.66	-258000
1535	4.66	4.66	4.65	4.65	-246000
1540	4.66	4.66	4.66	4.66	-148000
1545	4.65	4.66	4.65	4.66	-492000
1550	4.66	4.66	4.65	4.66	-936000
1555	4.66	4.66	4.66	4.66	-2084000
1600	4.66	4.67	4.66	4.66	23413232
0934	4.66	4.67	4.66	4.67	-253000
0939	4.67	4.67	4.67	4.67	-910000
0944	4.66	4.67	4.65	4.65	-430000
0949	4.65	4.65	4.63	4.63	-1806000
0954	4.63	4.64	4.62	4.64	-3064000
0959	4.64	4.64	4.62	4.62	-2306000
1004	4.62	4.63	4.62	4.62	-544000
1009	4.62	4.63	4.62	4.63	-682000
1014	4.63	4.63	4.62	4.63	-296000
1019	4.63	4.64	4.62	4.63	-348000
1024	4.63	4.63	4.63	4.63	-350000
1029	4.63	4.63	4.62	4.63	-420000
1034	4.63	4.63	4.63	4.63	-518000
1039	4.62	4.63	4.62	4.63	-50000
1044	4.62	4.63	4.62	4.63	-294000
1049	4.62	4.63	4.62	4.63	-80000
1054	4.62	4.63	4.62	4.63	-116000
1059	4.63	4.63	4.62	4.62	-124000
1104	4.63	4.63	4.61	4.61	-1664000
1109	4.61	4.62	4.61	4.62	-108000
1114	4.61	4.62	4.61	4.62	-120000
1119	4.61	4.61	4.61	4.61	-236000
