代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
00144	招商局港口	0.91	44088768	17.680	17.700	2493560	94000	0.00	          0.08	  0.49	17.620	
03339	中国龙工	1.61	43900408	3.140	3.150	13937216	166000	0.64	          0.33	  1.95	3.150	
00506	中国食品	6.74	43480824	3.630	3.640	12042249	170000	0.55	          0.43	  4.27	3.510	
01528	红星美凯龙	3.06	43324352	9.760	9.780	4449600	115800	0.51	          0.42	  1.24	9.600	
01972	太古地产	-0.72	43018540	27.500	27.600	1554248	307000	0.00	          0.03	  0.81	28.200	
00338	上海石油化工股份	0.84	42681144	4.780	4.790	8904160	336000	0.00	          0.25	  0.61	4.800	
00270	粤海投资	0.32	41789556	12.480	12.520	3354406	550000	0.16	          0.05	  0.43	12.440	
00751	创维数码	3.68	41688940	3.650	3.660	11472361	460000	0.00	          0.37	  0.91	3.550	
01448	福寿园	5.13	41625220	7.570	7.580	5546000	33000	0.13	          0.26	  1.06	7.390	
01071	华电国际电力股份	2.48	41066000	2.880	2.890	14138000	86000	-0.34	          0.82	  1.95	2.820	
06818	中国光大银行	0.80	40339228	3.790	3.800	10582000	266000	0.00	          0.08	  0.72	3.800	
01194	麦盛资本	-34.00	40004540	--  	--  	1123709952	252000	6.45	          6.74	 18.59	0.050	
00658	中国高速传动	0.00	39812476	12.100	12.120	3302257	43000	0.17	          0.20	  1.10	12.500	
00604	深圳控股	2.76	39561584	3.340	3.350	11897230	1286000	0.30	          0.15	  1.35	3.290	
00165	中国光大控股	2.03	39536212	17.060	17.100	2324700	72000	0.35	          0.14	  0.93	16.920	
00493	国美零售	2.33	39430468	0.870	0.880	45126752	1253000	1.15	          0.21	  0.82	0.870	
02233	西部水泥	2.05	39139404	1.480	1.490	26210804	414000	0.00	          0.48	  0.62	1.500	
01458	周黑鸭	1.21	39008156	7.500	7.510	5233500	51000	0.00	          0.22	  0.66	7.610	
01579	颐海国际	5.96	38688320	12.760	12.800	3057337	76000	0.16	          0.29	  1.19	12.300	
00906	中粮包装	5.24	38644636	5.200	5.250	7440000	34000	-0.57	          0.63	  2.04	4.970	
01199	中远海运港口	0.00	38589228	6.880	6.890	5585989	248000	0.00	          0.18	  2.29	6.970	
01668	华南城	1.10	38489216	1.820	1.830	20972060	332000	-0.54	          0.26	  1.13	1.820	
01515	华润凤凰医疗	-0.61	38060840	9.790	9.800	3854500	19000	0.00	          0.30	  0.64	9.910	
00020	会德丰	0.09	37969424	58.400	58.500	649192	142000	0.17	          0.03	  0.58	58.900	
00576	浙江沪杭甬	-0.85	37370832	8.150	8.160	4569334	366000	0.00	          0.32	  0.99	8.250	
00410	ＳＯＨＯ中国	-0.24	37308392	4.190	4.200	8864624	1238000	-0.24	          0.17	  0.40	4.250	
01368	特步国际	4.78	37047876	4.370	4.380	8495000	275500	0.23	          0.38	  1.13	4.230	
00142	第一太平	-2.54	36925988	4.210	4.220	8728596	790000	0.24	          0.20	  1.63	4.320	
00607	丰盛控股	0.26	36790212	3.900	3.910	9365306	1340000	0.00	          0.05	  0.82	3.910	
02280	慧聪集团	1.17	36781968	6.030	6.040	5982668	31000	-0.17	          0.53	  1.00	6.080	
03933	联邦制药	5.72	35978240	7.940	7.950	4654912	76000	0.89	          0.29	  0.62	7.510	
03319	雅生活服务	1.43	35743316	--  	--  	3155780	7250	-0.18	          0.73	  0.94	11.380	
00177	江苏宁沪高速公路	-0.72	35652144	11.100	11.140	3203440	286000	-0.36	          0.26	  1.66	11.160	
00546	阜丰集团	6.51	35488196	4.900	4.910	7285955	235000	0.41	          0.29	  1.51	4.650	
02669	中海物业	-1.20	34893248	2.480	2.490	13959383	150000	-0.40	          0.42	  0.44	2.540	
02362	金川国际	-0.52	34745832	--  	--  	18199000	1000	0.00	          0.38	  0.60	1.960	
02001	新高教集团	0.90	34656932	5.580	5.590	6169000	26000	0.00	          0.43	  0.63	5.610	
03606	福耀玻璃	-0.66	34243164	30.200	30.250	1127514	56800	0.17	          0.22	  0.84	30.550	
00241	阿里健康	3.56	34012028	4.060	4.070	8327270	328000	0.00	          0.08	  1.24	4.000	
02768	佳源国际控股	1.63	33502270	9.990	10.000	3336000	108000	0.00	          0.14	  0.99	9.850	
00119	保利置业集团	0.51	33355916	3.960	3.970	8382535	123000	0.00	          0.23	  0.38	3.990	
00606	中国粮油控股	0.88	32781056	3.440	3.450	9525508	921000	0.00	          0.18	  0.96	3.430	
02232	晶苑国际	2.91	32759640	7.780	7.790	4244500	4500	0.39	          0.15	  1.19	7.610	
01138	中远海能	-1.44	32486218	4.100	4.140	7844074	612000	-0.97	          0.61	  3.67	4.200	
01083	港华燃气	2.58	31965180	7.120	7.150	4456819	172000	0.42	          0.16	  0.85	7.000	
00520	呷哺呷哺	3.21	31837222	--  	--  	2085500	500	0.26	          0.19	  0.48	15.120	
02268	优源控股	1.21	31757742	--  	--  	9428000	1000	1.21	          0.76	  0.96	3.320	
02386	中石化炼化工程	3.91	31710596	7.700	7.710	4180000	88000	0.65	          0.29	  0.75	7.530	
02858	易鑫集团	3.43	31248540	4.820	4.830	6492200	32500	0.21	          0.10	  0.42	4.730	
00659	新创建集团	0.14	31125610	14.400	14.420	2157345	659000	-0.55	          0.06	  1.57	14.680	
00877	昂纳科技集团	-1.74	30988538	--  	--  	6001136	1000	0.60	          0.75	  0.52	5.300	
03337	安东油田服务	-2.08	30723262	--  	--  	32112000	52000	0.00	          1.21	  0.55	0.980	
01898	中煤能源	0.31	30617138	3.210	3.220	9475947	809000	-0.62	          0.23	  0.33	3.250	
00023	东亚银行	-0.15	29659992	32.450	32.500	912600	123600	0.15	          0.03	  0.58	32.550	
01789	爱康医疗	-1.45	29600782	--  	--  	7192000	36000	0.00	          0.69	  0.71	4.200	
00777	网龙	1.66	28521252	19.580	19.680	1439700	24500	-0.10	          0.27	  1.01	19.800	
00179	德昌电机控股	1.15	28418410	30.800	30.900	929959	28000	0.49	          0.11	  1.48	30.900	
00316	东方海外国际	-0.35	28411934	71.400	71.500	397176	8000	0.14	          0.06	  0.46	72.350	
00317	中船防务	3.98	28390282	10.940	10.980	2574000	10000	0.55	          0.43	  1.90	10.740	
00951	超威动力	1.59	27700482	4.470	4.480	6169290	134000	-0.22	          0.56	  1.55	4.570	
00308	香港中旅	1.75	27697212	2.900	2.910	9592000	546000	0.34	          0.18	  0.85	2.880	
01266	西王特钢	0.61	26202482	--  	--  	16016000	40000	0.00	          0.71	  0.88	1.650	
00976	齐合环保	-1.66	26082422	4.150	4.160	6286000	26000	0.24	          0.39	  1.06	4.300	
02868	首创置业	0.21	26004972	--  	--  	5346315	24000	0.00	          0.52	  1.13	4.900	
01031	金利丰金融	0.83	25783384	3.630	3.650	6985961	4000	0.27	          0.05	  0.87	3.640	
00014	希慎兴业	0.25	25462778	40.700	40.750	624942	204000	-0.12	          0.06	  0.77	41.400	
06169	宇华教育	4.52	25442142	4.150	4.160	6190000	182000	0.00	          0.19	  0.72	4.090	
00486	俄铝	3.74	25328790	--  	--  	5338000	1000	0.00	          0.04	  0.80	4.660	
01141	民银资本	5.26	25187634	0.600	0.610	43333536	2060000	0.00	          0.09	  2.91	0.580	
01086	好孩子国际	10.19	24927532	--  	--  	5711000	39000	0.22	          0.34	  2.96	4.190	
00567	大昌微线集团	16.28	24821632	--  	--  	50306000	2000	0.00	          8.73	  1.34	0.430	
03396	联想控股	1.35	24721182	26.200	26.300	943100	26600	0.57	          0.24	  1.21	25.950	
01812	晨鸣纸业	4.17	24647042	13.500	13.520	1840500	2000	0.30	          0.52	  1.13	13.200	
01828	大昌行集团	1.50	24485842	4.040	4.050	6079000	298000	0.00	          0.33	  1.13	4.060	
01257	中国光大绿色环保	1.13	24228018	8.010	8.020	3020000	44000	-0.25	          0.15	  0.74	7.950	
00215	和记电讯香港	0.36	24182066	2.750	2.760	8763761	152000	0.00	          0.18	  1.00	2.760	
01536	煜荣集团	-2.62	24121600	--  	--  	12794800	2000	-0.53	          3.37	  0.21	1.920	
00853	微创医疗	1.27	24079238	8.000	8.020	3000806	12000	-0.25	          0.21	  1.40	7.800	
