代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
08009	华夏能源控股	4.76	28298	--  	--  	647500	20000	0.00	          0.03	  0.07	0.042	0.045	
08249	瑞远智控	0.47	27960	--  	--  	130000	60000	0.00	          0.10	  0.40	0.216	0.216	
08251	优越集团控股	2.99	27600	--  	--  	40000	20000	0.00	          0.01	  0.14	0.690	0.690	
08111	中科光电	-3.53	26020	--  	--  	350000	120000	0.00	          0.02	  1.46	0.085	0.085	
08169	环康集团	-1.23	25600	--  	--  	160000	30000	0.00	          0.02	  0.54	0.160	0.160	
08149	浩德控股	0.00	25600	--  	--  	80000	20000	0.00	          0.01	  0.66	0.320	0.320	
08236	宝德科技集团	-0.69	24880	--  	--  	9000	1000	0.00	          0.01	  1.15	2.890	2.890	
08116	中国幸福投资	1.39	22860	--  	--  	320000	80000	1.39	          0.01	  1.41	0.070	0.073	
08203	凯顺能源	-4.84	22200	--  	--  	75000	30000	0.00	          0.01	  0.05	0.310	0.310	
08333	阿仕特朗金融	-3.17	21350	--  	--  	70000	70000	0.00	          0.01	  0.10	0.305	0.305	
08066	品创控股	3.07	19630	--  	--  	130000	5000	8.39	          0.03	  0.57	0.149	0.168	
08301	明华科技	2.08	15680	--  	--  	16000	16000	0.00	          0.01	  0.06	0.980	0.980	
08290	亚势备份	-2.13	15640	--  	--  	170000	20000	0.00	          0.01	  0.37	0.092	0.092	
08277	骏东控股	4.23	14500	--  	--  	20000	12000	4.23	          0.01	  0.58	0.710	0.740	
08296	中国生命集团	0.00	14040	--  	--  	52000	12000	0.00	          0.01	  0.13	0.270	0.270	
08480	飞霓控股	2.56	12740	--  	--  	32000	20000	0.00	          0.01	  0.11	0.395	0.400	
08121	超凡网络	-3.77	12380	--  	--  	120000	50000	-0.97	          0.01	  0.20	0.105	0.105	
08201	宝联控股	0.00	12000	--  	--  	40000	20000	0.00	          0.01	  0.10	0.300	0.300	
08179	新煮意控股	-0.53	11960	--  	--  	65600	5600	-0.53	          0.00	  0.01	--  	0.187	
08076	新利软件	0.00	11935	--  	--  	80000	10000	0.00	          0.01	  0.15	0.149	0.150	
08027	吉辉控股	1.35	11400	--  	--  	150000	150000	-2.60	          0.00	  0.12	0.074	0.077	
08320	沛然环保	-1.11	10310	--  	--  	60000	20000	0.00	          0.01	  0.20	0.169	0.178	
08243	大贺传媒	1.32	9500	--  	--  	25000	25000	1.32	          0.01	  0.22	0.380	0.380	
08006	华泰瑞银	-3.67	9015	--  	--  	43000	10000	0.00	          0.01	  0.20	0.210	0.210	
08311	圆美光电	0.00	9000	--  	--  	30000	20000	0.00	          0.00	  0.12	0.300	0.300	
