代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
600313	农发种业	8.71	377998944	3.87	3.86	3.87	1000840	150	0.78	         10.07	
002192	融捷股份	0.11	375438496	27.69	27.69	27.70	135499	1858	-0.06	          7.11	
01099	国药控股	5.72	374880832	35.100	35.100	35.150	10822211	628000	-0.71	          0.91	
300409	道氏技术	2.31	374104352	52.36	52.36	52.37	71052	549	-0.16	          5.41	
002449	国星光电	5.28	374031520	18.34	18.34	18.35	207216	1566	0.22	          5.09	
002156	通富微电	4.67	370774016	10.30	10.30	10.31	361143	8163	-0.47	          3.71	
002352	顺丰控股	7.79	366970080	51.50	51.50	51.51	70953	707	0.10	          1.37	
600499	科达洁能	0.78	363221504	10.36	10.36	10.37	350096	11	-0.18	          2.48	
300367	东方网力	6.90	357987840	14.88	14.88	14.89	245382	1567	0.07	          4.47	
300433	蓝思科技	7.17	357851008	26.89	26.88	26.89	134627	1097	-0.40	          3.04	
002920	德赛西威	3.97	354618688	37.43	37.43	37.44	95218	1118	-0.04	          9.52	
601633	长城汽车	4.43	353463744	12.74	12.73	12.74	275248	54	-0.15	          0.46	
300075	数字政通	3.96	351173248	16.26	16.26	16.27	215074	2598	0.25	          7.85	
600433	冠豪高新	9.95	346192832	4.86	4.85	--  	724702	525	0.00	          6.09	
600100	同方股份	5.11	345386528	10.28	10.27	10.28	337401	40	0.00	          1.14	
600893	航发动力	4.27	340326848	24.42	24.40	24.41	140746	147	0.12	          0.72	
300450	先导智能	6.04	339438304	61.40	61.40	61.44	55447	367	0.16	          3.28	
601228	广州港	7.87	338785184	6.03	6.02	6.03	558188	14	0.00	          7.99	
002711	欧浦智网	7.74	336727392	10.16	10.16	10.17	354756	2426	-0.77	          3.39	
000517	荣安地产	5.17	334779776	4.27	4.26	4.27	819849	11668	0.23	          2.70	
002911	佛燃股份	9.12	331794848	26.20	26.20	26.21	129304	2901	0.77	         23.09	
600354	敦煌种业	4.56	331175264	7.33	7.32	7.33	459829	69	0.27	         10.27	
600198	大唐电信	6.25	329478816	7.82	7.81	7.82	434884	2	0.13	          5.00	
002589	瑞康医药	4.19	321474432	14.19	14.18	14.19	224853	1628	0.14	          1.91	
300725	药石科技	8.26	321200608	92.18	92.17	92.18	35615	504	-0.01	         19.43	
600206	有研新材	5.68	318635808	9.86	9.86	9.87	330052	49	0.20	          3.93	
002709	天赐材料	0.62	317515904	47.29	47.29	47.30	68110	761	0.02	          3.61	
300666	江丰电子	10.00	313610048	50.37	50.37	--  	64473	367	0.00	         11.79	
002153	石基信息	0.91	311199808	27.65	27.64	27.65	112210	1763	-0.03	          2.32	
00136	恒腾网络	7.25	307147488	0.370	0.370	0.375	839888000	2324000	0.00	          1.13	
300476	胜宏科技	3.56	291968320	25.91	25.91	25.92	113811	846	0.31	          6.10	
600967	内蒙一机	6.85	291825152	12.64	12.64	12.65	234154	4	0.48	          2.44	
002223	鱼跃医疗	4.34	287921984	22.35	22.35	22.36	131021	2934	0.59	          1.53	
600667	太极实业	4.94	284922976	7.43	7.42	7.43	389523	3	0.54	          3.27	
002179	中航光电	6.07	282858496	37.04	37.04	37.05	77031	236	-0.12	          0.98	
300496	中科创达	6.10	272116416	28.69	28.69	28.70	96808	1270	-0.13	          4.34	
300296	利亚德	6.67	269016288	20.16	20.15	20.16	136191	581	0.20	          1.40	
300377	赢时胜	5.75	259904896	11.96	11.96	11.97	219137	3353	0.08	          4.30	
02331	李宁	8.62	243019904	7.180	7.150	7.180	34990024	594000	0.42	          1.61	
000860	顺鑫农业	6.23	240771904	19.60	19.60	19.61	125498	2030	0.36	          2.20	
000049	德赛电池	5.54	239182272	35.82	35.82	35.83	67794	659	-0.07	          3.30	
02020	安踏体育	1.00	238224848	40.550	40.450	40.550	5865012	310000	0.62	          0.22	
600525	长园集团	1.93	236345072	15.83	15.80	15.83	149066	2	0.32	          1.19	
002009	天奇股份	4.85	234209024	16.20	16.15	16.20	149152	3768	0.87	          5.30	
002299	圣农发展	9.49	233671968	14.77	14.77	14.78	161650	859	-0.06	          4.00	
000525	红 太 阳	0.51	233623728	23.58	23.58	23.59	98908	889	0.26	          1.95	
300706	阿石创	6.73	232601216	62.65	62.65	62.66	37751	494	-0.18	         19.26	
300069	金利华电	3.39	232226256	32.05	32.05	32.07	78333	2047	0.38	          8.54	
002354	天神娱乐	5.74	229255040	16.04	16.04	16.05	145829	2236	0.00	          2.81	
300083	劲胜智能	4.51	224577696	7.19	7.18	7.19	317519	1876	-0.13	          2.67	
603505	金石资源	4.78	223427264	22.82	22.81	22.82	99614	7	1.24	         16.60	
00019	太古股份公司Ａ	2.45	222925392	79.400	79.300	79.400	2829793	204000	0.25	          0.31	
002707	众信旅游	3.38	219497184	13.17	13.16	13.17	168787	1509	0.00	          3.60	
002095	生 意 宝	6.30	218962208	41.03	41.03	41.05	55164	1716	1.01	          2.19	
300207	欣旺达	6.41	216438080	9.79	9.79	9.80	224888	1031	0.00	          1.91	
002645	华宏科技	10.02	215791168	24.04	24.04	--  	92815	186	0.00	          6.24	
600422	昆药集团	3.36	215707552	9.23	9.22	9.23	237591	60	0.22	          3.50	
300223	北京君正	5.66	213199280	27.09	27.09	27.10	80176	778	0.52	          8.14	
002279	久其软件	5.66	212042960	11.58	11.57	11.58	187357	2144	0.35	          6.84	
002745	木林森	4.72	209871936	40.60	40.60	40.61	52918	743	0.15	          3.26	
002737	葵花药业	0.85	208805872	35.65	35.64	35.65	58295	496	-0.02	          4.43	
300098	高新兴	8.02	204634896	12.25	12.24	12.25	168884	1166	0.25	          2.85	
300474	景嘉微	10.01	199545104	46.93	46.93	--  	44037	281	0.00	          6.57	
600172	黄河旋风	7.87	195771120	7.81	7.78	7.80	257067	10	0.77	          2.20	
300558	贝达药业	3.33	194505824	54.03	54.03	54.05	37002	125	0.06	          2.18	
603005	晶方科技	5.06	190967008	27.81	27.80	27.82	69792	11	0.07	          4.07	
002488	金固股份	7.50	190780032	13.47	13.47	13.48	145019	2281	0.60	          3.77	
000989	九 芝 堂	0.81	190656336	19.88	19.87	19.88	97012	1908	0.30	          1.98	
603648	畅联股份	5.14	189751776	18.62	18.62	18.63	103016	46	0.05	         11.18	
600698	湖南天雁	4.02	185026176	6.21	6.21	6.22	305321	13	0.00	          4.14	
002036	联创电子	9.99	184210496	15.19	15.19	--  	124529	168	0.00	          3.15	
601555	东吴证券	2.86	182793696	8.64	8.64	8.65	214544	2	0.12	          0.74	
002837	英维克	7.81	182390736	21.53	21.53	21.54	87107	2221	-0.13	         12.93	
600520	文一科技	3.15	181083008	18.31	18.32	18.33	100000	8	0.38	          6.31	
600822	上海物贸	5.46	174470800	12.75	12.74	12.75	139987	12	0.95	          3.53	
01478	丘钛科技	7.86	172935872	11.800	11.780	11.800	14979000	123000	-0.17	          1.34	
300429	强力新材	10.02	163663968	27.13	27.13	--  	61796	302	0.00	          6.16	
603458	勘设股份	5.17	161637152	64.72	64.68	64.70	24772	7	-0.04	          7.98	
000605	渤海股份	1.78	159175536	16.55	16.55	16.56	98452	2199	-0.29	          5.05	
600360	华微电子	5.49	158045248	6.72	6.71	6.72	239667	32	0.30	          3.25	
300693	盛弘股份	3.70	154388128	32.26	32.25	32.26	47868	682	0.44	         20.99	
603896	寿仙谷	10.00	152740384	46.65	46.65	--  	33386	107	0.00	          9.55	
300613	富瀚微	10.00	152698800	158.62	158.62	--  	9950	14	0.00	          7.69	
603138	海量数据	4.95	151982688	38.13	38.17	38.18	40812	81	0.63	         15.31	
300041	回天新材	4.40	151858640	9.97	9.97	9.98	154015	1762	0.10	          6.00	
002468	申通快递	3.61	151085440	24.40	24.39	24.40	62070	854	0.04	          1.87	
002658	雪迪龙	1.94	150743056	11.58	11.57	11.58	134221	1662	0.17	          4.41	
002061	浙江交科	0.19	147295024	15.56	15.55	15.56	94965	811	0.32	          2.10	
002139	拓邦股份	5.61	147016352	9.98	9.97	9.98	149723	675	0.10	          2.94	
300502	新易盛	7.98	146403392	25.18	25.18	25.20	59543	1238	0.32	          4.77	
002138	顺络电子	5.10	144324784	16.07	16.06	16.07	91653	896	0.44	          1.37	
00023	东亚银行	3.06	143739376	35.400	35.350	35.400	4106473	382600	0.28	          0.15	
600848	上海临港	3.02	141880736	23.53	23.52	23.53	60985	62	-0.07	          1.53	
002792	通宇通讯	4.75	140220352	27.34	27.33	27.34	53503	307	0.26	          7.57	
300002	神州泰岳	3.47	139256560	6.56	6.55	6.56	214715	1303	-0.14	          1.55	
600305	恒顺醋业	1.90	138829664	10.20	10.18	10.19	138588	111	0.30	          2.30	
600330	天通股份	3.86	138778560	8.61	8.60	8.61	163490	20	0.00	          1.99	
002029	七 匹 狼	6.26	138663856	9.00	8.99	9.00	157003	2731	0.33	          2.08	
300672	国科微	10.00	137812032	45.19	45.19	--  	31414	17	0.00	         11.24	
600478	科力远	7.67	136297536	6.32	6.31	6.33	217299	400	0.16	          1.70	
000818	方大化工	6.16	135330352	12.75	12.74	12.75	109593	2383	0.63	          1.59	
002842	翔鹭钨业	2.14	134757728	43.50	43.50	43.57	31202	640	-0.04	          7.39	
601388	怡球资源	1.86	134065232	3.84	3.83	3.84	353520	166	0.26	          1.75	
01316	耐世特	3.56	133728232	18.060	18.060	18.080	7435154	479000	0.11	          0.30	
300327	中颖电子	4.29	132531504	25.50	25.49	25.50	52307	806	0.20	          2.52	
002919	名臣健康	9.06	132238288	29.50	29.50	29.51	46142	1403	1.86	         22.66	
300336	新文化	4.16	132233272	10.77	10.77	10.78	124213	440	-0.08	          2.74	
002020	京新药业	1.81	131674024	10.69	10.69	10.70	124786	1198	-0.08	          2.44	
002368	太极股份	3.46	131201840	22.15	22.14	22.15	59989	1070	0.05	          1.53	
002079	苏州固锝	5.01	129922520	7.13	7.13	7.14	184784	2103	0.00	          2.55	
000519	中兵红箭	1.95	129818664	7.83	7.82	7.83	167763	1438	-0.12	          2.28	
300376	易事特	2.52	129018536	7.33	7.33	7.34	177552	4897	0.27	          0.77	
002025	航天电器	5.13	128928840	21.94	21.93	21.94	59917	266	0.00	          1.40	
000710	贝瑞基因	7.70	128526544	43.35	43.30	43.35	30617	348	-0.52	          2.02	
603128	华贸物流	3.17	127808520	8.13	8.12	8.13	157873	117	0.25	          1.73	
000893	东凌国际	1.78	127163400	5.16	5.16	5.17	248393	4274	-0.18	          6.20	
300639	凯普生物	4.47	126164896	50.99	50.99	51.00	24986	613	0.30	         11.13	
300141	和顺电气	2.34	125987544	10.49	10.48	10.49	120811	2832	0.10	          7.43	
01347	华虹半导体	9.64	125935112	15.920	15.900	15.920	8120163	67000	-0.13	          0.78	
300046	台基股份	9.99	124858616	16.51	16.51	--  	77864	44	0.00	          5.48	
300232	洲明科技	5.45	124755632	14.70	14.70	14.71	86410	507	0.00	          2.32	
603025	大豪科技	0.29	123554120	35.06	35.07	35.10	35352	29	0.89	          6.93	
002892	科力尔	2.65	122949600	38.70	38.70	38.71	32344	622	0.65	         18.38	
300458	全志科技	5.77	122733880	20.18	20.18	20.19	62058	874	0.10	          4.11	
002028	思源电气	0.13	115727528	15.93	15.93	15.94	73599	278	0.06	          1.27	
002491	通鼎互联	4.19	115725752	12.68	12.68	12.69	93209	2097	0.24	          0.81	
600037	歌华有线	4.21	114614736	12.37	12.35	12.36	94583	34	0.41	          0.81	
002501	利源精制	2.12	113719336	9.17	9.17	9.18	124627	3246	0.00	          1.33	
002087	新野纺织	0.76	113414008	5.30	5.29	5.30	217014	1963	0.00	          2.66	
300231	银信科技	3.73	113258424	10.02	10.02	10.03	114430	1854	0.20	          4.28	
300050	世纪鼎利	3.36	112484912	8.31	8.31	8.32	136831	2174	0.00	          4.11	
300520	科大国创	10.02	112250688	20.21	20.21	--  	57542	111	0.00	          5.11	
603083	剑桥科技	3.55	110099584	37.88	37.89	37.91	29166	1	0.37	         11.92	
002519	银河电子	10.00	109610432	6.82	6.82	--  	167978	1981	0.00	          2.11	
002055	得润电子	3.67	109425640	18.34	18.34	18.35	60282	1660	0.11	          1.50	
600562	国睿科技	5.04	108104960	18.56	18.54	18.56	58772	30	0.16	          1.79	
300621	维业股份	9.00	106571976	19.99	19.98	19.99	53412	1102	0.15	         15.71	
600933	爱柯迪	3.05	106566832	14.52	14.51	14.52	73736	4	0.28	          5.33	
300691	联合光电	5.41	106402888	53.81	53.81	53.87	19936	539	-0.14	          9.32	
603890	春秋电子	4.24	106043048	32.24	32.26	32.27	33301	2	0.12	          9.72	
002537	海联金汇	5.08	105686632	10.34	10.33	10.34	103862	1359	0.10	          0.89	
00293	国泰航空	2.76	105582056	13.400	13.360	13.400	7924541	213000	0.00	          0.20	
002815	崇达技术	6.48	105556304	29.40	29.40	29.41	36570	273	-0.33	          3.45	
603776	永安行	3.73	105060464	52.05	52.03	52.07	20345	2	0.10	          8.48	
002486	嘉麟杰	1.67	103508840	4.25	4.24	4.25	242939	3478	0.00	          3.01	
603111	康尼机电	4.21	102452496	11.89	11.88	11.89	87382	5	0.17	          1.82	
300310	宜通世纪	3.83	102411376	9.48	9.47	9.48	109474	1274	-0.20	          1.88	
603305	旭升股份	5.13	102047976	29.49	29.48	29.50	34998	1	-0.02	          8.41	
000711	京蓝科技	0.63	101622416	12.80	12.79	12.80	79830	1704	0.00	          2.37	
600119	长江投资	3.01	100382816	11.28	11.27	11.28	89787	20	0.09	          2.92	
603716	塞力斯	4.25	99992784	54.72	54.74	54.76	18555	10	-0.04	          4.83	
002887	绿茵生态	1.50	98839304	68.97	68.96	68.97	14462	200	0.28	          7.23	
603186	华正新材	1.56	98149584	22.13	22.12	22.14	44912	13	0.05	          6.09	
600193	创兴资源	3.55	98129944	4.96	4.96	4.98	200220	50	0.81	          4.71	
603933	睿能科技	10.00	97125728	38.84	38.84	--  	25888	5	0.00	         10.08	
600439	瑞贝卡	3.70	95975096	5.89	5.92	5.93	166455	90	0.68	          1.47	
300081	恒信东方	3.09	95160792	10.35	10.34	10.35	93475	1131	-0.18	          3.81	
603888	新华网	9.99	93691568	23.01	23.01	--  	41817	2	0.00	          2.37	
603357	设计总院	3.29	92205688	20.10	20.13	20.14	46402	3	0.05	          5.71	
300567	精测电子	4.59	91609880	116.60	116.59	116.60	7977	88	0.01	          1.94	
603936	博敏电子	1.15	91512368	21.04	21.03	21.04	45100	4	0.19	          8.04	
600761	安徽合力	4.14	91104376	10.57	10.57	10.58	87835	182	-0.08	          1.19	
600618	氯碱化工	2.04	89274048	11.00	10.99	11.00	82477	67	0.09	          1.10	
002818	富森美	3.84	88961056	27.33	27.33	27.34	33160	254	0.00	          3.62	
603078	江化微	9.76	87117672	54.87	54.85	54.87	16486	56	1.16	         10.99	
600686	金龙汽车	0.76	87073024	11.97	11.97	11.98	73107	49	0.00	          1.65	
600917	重庆燃气	1.78	86955168	8.59	8.59	8.60	100714	30	0.00	          0.65	
300709	精研科技	4.09	83674320	58.05	58.05	58.08	14563	144	0.03	          6.62	
300180	华峰超纤	3.33	83526856	24.80	24.80	24.88	34510	1733	-0.19	          0.91	
002859	洁美科技	4.98	83472632	31.18	31.18	31.20	26871	200	-0.02	          4.62	
300597	吉大通信	5.82	83282056	15.45	15.45	15.46	54863	800	0.26	          7.46	
603031	安德利	2.25	83167792	23.15	23.14	23.19	36362	23	1.54	          9.11	
300252	金信诺	3.68	81811944	12.40	12.40	12.41	67060	475	0.16	          2.22	
000088	盐 田 港	3.76	81688144	7.73	7.72	7.73	105856	995	0.13	          0.55	
300393	中来股份	4.78	81231648	36.61	36.60	36.61	22612	221	0.03	          1.25	
600391	航发科技	3.92	79581168	15.65	15.63	15.65	51362	32	0.19	          1.56	
002022	科华生物	4.14	79344592	12.58	12.58	12.59	63450	507	-0.07	          1.39	
300295	三六五网	3.42	78675792	15.72	15.72	15.73	50375	337	-0.05	          2.85	
300683	海特生物	10.00	78486912	46.11	46.11	--  	17547	33	0.00	          6.79	
603177	德创环保	4.52	77551400	17.11	17.11	17.12	46051	20	0.12	          7.46	
00860	奥立仕控股	4.21	76526472	1.980	--  	--  	38599500	20000	0.00	          0.65	
03306	江南布衣	9.89	74868992	14.440	--  	--  	5452500	500	-0.28	          1.05	
08392	舍图控股	26.67	74541400	0.570	--  	--  	138140000	20000	0.00	         13.81	
002215	诺 普 信	1.22	73409376	6.66	6.65	6.66	110476	1317	0.30	          1.56	
002346	柘中股份	4.72	73332232	17.32	17.32	17.33	42933	438	-0.11	          1.10	
300609	汇纳科技	2.30	72646392	29.36	29.36	29.37	25081	185	0.03	         10.03	
300378	鼎捷软件	2.34	70232960	12.23	12.23	12.24	57700	550	0.00	          2.21	
002246	北化股份	2.25	69471632	9.99	9.99	10.00	70291	963	-0.09	          1.70	
300233	金城医药	2.18	69092368	18.29	18.26	18.29	37806	225	1.72	          1.63	
600116	三峡水利	1.83	68856144	7.79	7.78	7.79	88817	11	0.00	          0.89	
300623	捷捷微电	10.00	68798504	58.61	58.61	--  	12252	15	0.00	          5.19	
002773	康弘药业	3.14	68703728	48.00	47.76	48.00	14347	122	0.00	          2.04	
002334	英威腾	5.01	68695936	7.97	7.96	7.97	87222	882	0.00	          1.53	
01666	同仁堂科技	2.36	67786664	13.000	12.940	13.000	5231000	11000	0.00	          0.83	
603387	基蛋生物	5.29	67647048	53.15	53.13	53.15	12901	8	-0.05	          3.91	
300638	广和通	10.01	67576712	35.60	35.60	--  	19698	1	0.00	          9.85	
