代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
000100	TCL 集团	7.00	959513920	3.67	3.66	3.67	2675778	36121	0.00	          2.28	
601766	中国中车	1.73	955179968	10.60	10.59	10.60	910616	388	-0.08	          0.40	
03993	洛阳钼业	5.14	947555776	6.750	6.740	6.750	141157248	2283000	0.60	          3.59	
600584	长电科技	6.95	943490304	19.39	19.38	19.40	493748	103	0.00	          5.01	
600581	八一钢铁	2.98	930339200	16.61	16.60	16.61	564205	135	0.85	          7.36	
002405	四维图新	4.53	929270912	21.90	21.90	21.91	426728	3113	0.00	          4.16	
300251	光线传媒	1.53	925858560	12.60	12.60	12.61	736877	11000	0.08	          2.68	
02382	舜宇光学科技	4.05	921275008	131.100	131.000	131.100	7111221	250700	0.08	          0.65	
02800	盈富基金	0.95	918501696	31.800	--  	--  	28906528	3316500	0.00	--  	
600903	贵州燃气	10.00	909843392	23.42	23.42	--  	394031	18	0.00	         32.31	
601601	中国太保	2.51	904175744	42.51	42.52	42.53	215180	10	-0.04	          0.34	
01211	比亚迪股份	2.12	894394880	74.750	74.750	74.800	11809425	425000	-0.20	          1.29	
000932	*ST华菱	3.52	881445568	10.30	10.29	10.30	862948	11793	0.10	          2.86	
600789	鲁抗医药	8.95	877247936	12.54	12.60	12.61	720273	56	-0.07	         12.38	
600392	盛和资源	4.10	867206400	15.73	15.71	15.72	556658	11	-0.31	          5.19	
002176	江特电机	3.19	834802752	11.64	11.63	11.64	725128	6647	0.17	          5.25	
600490	鹏欣资源	10.01	823246848	9.34	9.34	--  	890843	16	0.00	          5.99	
600596	新安股份	6.27	816258176	14.23	14.24	14.25	580962	40	0.57	          8.55	
600183	生益科技	7.03	805971712	17.36	17.36	17.37	473342	51	-0.22	          3.25	
600111	北方稀土	1.33	793391488	13.00	13.00	13.01	611651	45	0.08	          1.68	
00857	中国石油股份	0.90	781437696	5.620	5.610	5.620	138584624	12394000	0.18	          0.66	
600352	浙江龙盛	1.20	780025024	12.66	12.65	12.66	617109	2	0.32	          2.02	
600068	葛洲坝	1.30	761789056	9.33	9.33	9.34	821623	1	-0.10	          1.78	
000807	云铝股份	1.92	750368128	8.48	8.48	8.49	894987	8175	0.00	          3.97	
000636	风华高科	6.35	749053056	12.22	12.22	12.23	624735	5202	0.08	          7.14	
601828	美凯龙	5.16	746327744	18.34	18.34	18.35	416429	72	0.00	         13.22	
00883	中国海洋石油	1.21	745176512	11.680	11.660	11.680	63847364	4883000	0.17	          0.14	
600031	三一重工	2.21	739737280	8.77	8.77	8.78	844459	86	0.34	          1.10	
600276	恒瑞医药	2.02	732289344	74.76	74.77	74.78	98867	5	0.01	          0.35	
600782	新钢股份	1.52	723804544	8.01	8.01	8.02	901330	140	0.25	          3.23	
000488	晨鸣纸业	2.21	721864960	18.46	18.45	18.46	392056	4756	0.38	          3.55	
000776	广发证券	2.41	713878720	16.99	16.98	16.99	425090	3992	0.00	          0.72	
300017	网宿科技	3.63	704948800	11.43	11.42	11.43	620383	7675	0.18	          3.86	
002797	第一创业	2.48	701256000	8.69	8.69	8.70	815857	9601	0.12	          4.25	
002024	苏宁易购	2.79	700993408	12.53	12.53	12.54	562867	5462	0.00	          1.13	
600104	上汽集团	1.20	695976384	34.48	34.47	34.48	201496	37	0.17	          0.18	
601108	财通证券	4.92	692566464	16.20	16.21	16.22	435885	51	0.19	         12.14	
300418	昆仑万维	6.52	685168512	23.86	23.86	23.87	291193	1735	-0.03	          4.98	
000717	韶钢松山	4.81	682143808	7.84	7.84	7.85	877223	5498	-0.12	          3.63	
002073	软控股份	10.00	677542144	9.13	9.13	--  	761518	2004	0.11	         10.14	
02823	安硕Ａ５０	1.36	675165888	16.360	--  	--  	41484768	1380500	0.12	--  	
300058	蓝色光标	5.67	672079168	7.27	7.27	7.28	941524	12975	0.14	          5.60	
002475	立讯精密	4.96	665869760	25.40	25.39	25.40	265158	1081	0.24	          0.84	
002129	中环股份	10.06	665123520	8.64	8.64	--  	792862	1296	0.00	          3.00	
600115	东方航空	2.15	663526464	8.09	8.08	8.09	828530	158	0.00	          0.84	
300107	建新股份	7.27	658246848	9.15	9.15	9.16	713594	6262	0.00	         21.80	
000792	盐湖股份	1.81	645508096	12.97	12.97	12.98	496307	5090	-0.22	          1.80	
601336	新华保险	1.45	641296000	55.88	55.88	55.90	115098	38	-0.03	          0.55	
002839	张家港行	3.44	638683456	9.61	9.61	9.62	675518	11396	0.10	          8.10	
002440	闰土股份	0.47	637336704	23.62	23.62	23.63	271515	5130	-0.03	          4.43	
002016	世荣兆业	9.99	632213056	13.43	13.43	--  	497349	809	0.07	          7.70	
600549	厦门钨业	2.53	630332416	24.73	24.76	24.77	257402	18	0.12	          2.38	
00027	银河娱乐	1.85	626209984	68.650	68.550	68.650	9146091	667000	0.29	          0.21	
600000	浦发银行	0.08	620261056	12.73	12.73	12.74	488061	32	0.00	          0.17	
01928	金沙中国有限公司	1.93	619204416	44.850	44.750	44.850	13818021	1370400	0.34	          0.17	
601009	南京银行	0.64	611935744	9.50	9.49	9.50	645099	440	0.11	          0.80	
300115	长盈精密	8.68	611852288	18.79	18.79	18.80	332852	2807	-0.10	          3.71	
601989	中国重工	1.27	607887296	5.60	5.60	5.61	1091430	133	0.00	          0.59	
601211	国泰君安	3.32	604516032	18.34	18.34	18.35	334076	143	0.22	          0.71	
00386	中国石油化工股份	1.55	603071424	6.570	6.560	6.570	92156776	10264000	0.00	          0.36	
300676	华大基因	10.00	602565824	166.89	166.89	--  	37481	226	0.00	          9.35	
002600	江粉磁材	6.23	598152896	8.01	8.00	8.01	755608	6217	0.00	          5.69	
000528	柳 工	5.21	596062656	9.69	9.68	9.69	623275	8054	0.31	          5.54	
603516	淳中科技	4.84	592159616	47.87	47.85	47.87	122531	7	0.80	         52.39	
600673	东阳光科	5.84	590521088	9.25	9.25	9.26	651607	287	0.11	          2.65	
300166	东方国信	6.86	589761408	15.26	15.25	15.26	392465	4003	0.39	          4.87	
600325	华发股份	2.61	589369728	8.25	8.25	8.26	732371	5	0.36	          3.83	
600009	上海机场	6.04	583627968	49.69	49.68	49.69	118712	40	-0.09	          1.09	
600623	华谊集团	4.64	581198336	10.60	10.61	10.62	556574	1	-0.08	          5.96	
603559	中通国脉	10.01	579166336	30.87	30.87	--  	191517	1	0.00	         24.09	
03968	招商银行	0.14	577879040	34.800	34.800	34.850	16539190	1266000	-0.43	          0.36	
002185	华天科技	5.19	575616064	7.70	7.69	7.70	754945	12429	0.39	          3.54	
300027	华谊兄弟	2.78	569424192	9.61	9.61	9.62	597377	5646	0.10	          3.11	
600570	恒生电子	2.62	567596032	46.99	46.99	47.00	121046	20	0.11	          1.96	
00688	中国海外发展	1.06	563513344	28.650	28.600	28.650	19741778	1690000	0.00	          0.18	
600868	梅雁吉祥	1.54	559532416	4.62	4.62	4.63	1205588	40	-0.42	          6.35	
300088	长信科技	5.74	556806336	7.19	7.18	7.19	786360	11879	0.14	          3.48	
00763	中兴通讯	4.36	556671360	28.700	28.700	28.750	19477218	1189000	-1.03	          2.58	
601233	桐昆股份	7.15	552907328	26.97	26.97	26.98	210618	6	0.00	          1.75	
000983	西山煤电	1.27	550404864	9.60	9.60	9.61	572646	4735	0.21	          1.82	
02601	中国太保	1.79	547527680	39.750	39.700	39.750	13776482	1181000	0.13	          0.50	
002359	北讯集团	8.49	546901568	27.48	27.48	27.49	205323	1734	-0.03	          2.90	
603895	天永智能	0.92	546143104	53.96	53.96	54.00	100095	34	-0.05	         51.86	
00016	新鸿基地产	2.03	543762880	130.600	130.600	130.700	4172643	449000	-0.23	          0.14	
000977	浪潮信息	2.24	540861888	17.80	17.79	17.80	304557	2385	0.00	          2.37	
601997	贵阳银行	1.23	540820800	15.62	15.62	15.63	347899	17	0.06	          2.81	
002635	安洁科技	10.00	540532480	21.78	21.78	--  	257693	362	0.00	          8.08	
002493	荣盛石化	7.75	539007424	17.10	17.10	17.11	322007	6563	0.41	          0.94	
