代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
600636	*ST爱富	-0.27	53801344	14.95	14.95	14.96	36130	200	0.07	          0.85	
00494	利丰	-1.26	53733312	3.930	3.920	3.930	13592759	1016000	0.00	          0.16	
03309	希玛眼科	-2.77	51222124	11.220	--  	--  	4540000	4000	0.18	          0.44	
300566	激智科技	-9.99	45259232	29.10	--  	29.10	15553	1023	0.00	          2.14	
02005	石四药集团	-2.69	44562940	5.790	5.790	5.820	7693130	122000	-1.19	          0.26	
300300	汉鼎宇佑	-0.13	43667168	15.43	15.42	15.43	28236	477	-0.05	          1.03	
03339	中国龙工	-2.18	43020444	3.140	3.130	3.140	13611491	215000	0.32	          0.32	
01458	周黑鸭	-2.09	42537336	8.430	8.390	8.430	5045500	14500	0.48	          0.21	
08469	盛业资本	-1.72	42129944	7.420	--  	--  	5632000	2000	-0.80	          0.76	
03606	福耀玻璃	-1.23	42066360	32.200	32.150	32.200	1303400	98000	-0.31	          0.26	
00520	呷哺呷哺	-2.81	40624676	15.240	--  	--  	2641000	500	-0.13	          0.25	
00119	保利置业集团	-1.68	39588024	4.100	4.090	4.100	9652001	207000	0.00	          0.26	
000586	汇源通信	-1.74	39451340	15.84	15.83	15.84	25055	565	0.19	          1.30	
002669	康达新材	-0.26	38292584	22.70	22.70	22.71	16928	2877	0.71	          0.79	
00142	第一太平	-3.48	37267628	4.710	4.710	4.720	7779199	664000	-0.42	          0.18	
00354	中国软件国际	-0.36	32929590	5.560	5.560	5.570	5988961	28000	0.00	          0.25	
01337	雷蛇	-2.74	32381592	3.550	--  	--  	9083000	10000	0.28	          0.10	
002480	新筑股份	-0.58	29905476	6.80	6.79	6.80	44024	573	0.15	          0.69	
00123	越秀地产	-0.62	29482246	1.600	1.590	1.600	18466734	720000	0.63	          0.15	
002188	ST巴士	-4.99	28349600	8.00	--  	8.00	35437	914	0.00	          1.92	
01239	TEAMWAY INTL GP	-9.38	28243402	0.058	--  	--  	485860000	20000	1.75	          4.40	
603997	继峰股份	-0.94	28209072	10.54	10.53	10.54	26638	5	-0.18	          1.56	
00127	华人置业	-1.13	27997612	12.260	--  	--  	2291380	500	0.16	          0.12	
000506	中润资源	-9.91	27289876	4.82	--  	4.82	56618	894	0.00	          0.61	
03663	协众国际控股	-2.50	26111682	1.560	--  	--  	16780000	4000	0.00	          2.10	
600083	博信股份	-0.10	25676020	19.30	19.31	19.32	13403	6	0.10	          0.59	
00672	众安房产	-7.25	24026736	0.640	--  	--  	38037800	1000	1.59	          0.65	
300282	汇冠股份	-2.00	23010510	18.12	18.12	18.13	12742	111	-0.54	          0.60	
01310	香港宽频	-2.73	21662226	8.900	8.890	8.900	2415825	334500	-0.45	          0.24	
03983	中海石油化学	-1.63	21521802	2.420	--  	--  	8742000	326000	-0.41	          0.49	
02001	新高教集团	-0.76	21122742	5.240	--  	--  	4038000	117000	0.38	          0.28	
600658	电子城	-0.30	21046572	10.03	10.03	10.04	21066	5	-0.09	          0.26	
01826	丰展控股	-12.63	18784100	1.660	--  	--  	10760000	10000	0.00	          0.87	
01970	IMAX CHINA	-1.06	17787550	23.250	23.250	23.400	760500	4400	-0.21	          0.21	
02233	西部水泥	-0.73	17177946	1.360	1.360	1.370	12570187	394000	0.00	          0.23	
02669	中海物业	-0.36	16125721	2.730	2.730	2.740	5915331	30000	0.00	          0.18	
06158	正荣地产	-1.64	15723831	4.810	--  	--  	3266000	7000	0.63	          0.08	
600070	浙江富润	-0.11	14786301	9.47	9.47	9.48	15631	40	0.11	          0.39	
00512	远大医药	-1.31	14560721	5.270	--  	--  	2756000	4000	-0.57	          0.12	
00464	建福集团	-12.70	13685321	2.130	--  	--  	6416000	36000	0.00	          1.44	
00303	VTECH HOLDINGS	-1.28	13316785	107.600	107.400	107.600	123985	18300	0.19	          0.05	
00508	鼎亿集团投资	-4.17	13213001	0.920	--  	--  	14350000	545000	0.00	          0.21	
01686	新意网集团	-3.07	12995706	5.360	--  	--  	2408000	1000	0.00	          0.10	
00179	德昌电机控股	-1.07	12871936	32.400	32.300	32.400	396928	28500	0.15	          0.05	
00539	冠华国际控股	-3.40	12614063	0.142	--  	--  	88338000	20000	1.43	          1.76	
000668	荣丰控股	-1.04	12444986	13.36	13.35	13.36	9295	868	-0.36	          0.63	
01196	伟禄集团	-0.19	12054381	5.230	5.220	5.250	2294000	4000	-0.19	          0.20	
08156	众彩股份	-3.70	11909701	0.780	--  	--  	15115000	20000	-1.27	          0.46	
07341	ＦＩ华夏国指	-0.67	11777510	5.950	--  	--  	1977600	900	0.00	--  	
00043	卜蜂国际	-4.76	11583381	0.600	0.600	0.610	19212000	200000	-1.64	          0.08	
01913	普拉达	-1.36	11243766	32.600	--  	--  	345106	800	0.00	          0.01	
00853	微创医疗	-0.51	11085996	7.780	7.760	7.780	1417000	5000	0.39	          0.10	
01681	康臣药业	-3.30	11015106	8.510	--  	--  	1284695	47000	-0.58	          0.15	
00315	数码通电讯	-0.89	10974479	8.880	8.880	8.910	1226682	51500	-0.22	          0.11	
002199	东晶电子	-0.43	10923461	13.82	13.81	13.82	7981	116	-0.49	          0.36	
002485	希努尔	-1.25	10835876	25.97	25.96	25.97	4158	81	0.08	          0.13	
00863	品牌中国	-4.76	10652761	18.000	--  	--  	596000	6000	1.69	          0.24	
01243	宏安地产	-0.80	10353040	1.240	--  	--  	8352000	60000	0.00	          0.05	
002112	三变科技	-10.00	9961650	12.69	--  	12.69	7850	2791	0.00	          0.43	
01862	景瑞控股	-4.47	9889070	2.990	--  	--  	3345000	1000	2.75	          0.26	
00368	中外运航运	-0.86	9659028	2.310	2.310	2.330	4165500	123500	-0.43	          0.10	
00058	新威国际	-7.46	9355852	0.062	--  	--  	145920496	400000	-1.59	          2.32	
00888	路讯通	-3.21	9151344	1.810	--  	--  	5003800	2000	0.00	          0.50	
00061	绿领控股	-2.41	8856235	0.405	--  	--  	21586500	10000	1.25	          0.30	
00886	银基集团	-8.22	8522172	0.670	--  	--  	12388187	30000	-1.47	          0.55	
00317	中船防务	-1.23	8318221	11.260	11.240	11.260	739000	4000	0.00	          0.12	
08238	惠陶集团	-13.13	8230945	0.086	--  	--  	89784000	256000	-3.37	          1.04	
01238	宝龙地产	-1.25	8143946	3.950	3.950	3.980	2060000	13000	0.00	          0.05	
00345	VITASOY INT'L	-0.72	8015663	20.650	20.600	20.700	388804	16000	-0.24	          0.04	
00451	协鑫新能源	-1.00	7636321	0.495	0.495	0.500	15342000	250000	-1.00	          0.08	
06182	乙德投资控股	-1.64	7423121	0.600	--  	--  	12424000	8000	1.69	          1.55	
02633	雅各臣科研制药	-1.67	7408971	1.770	--  	--  	4170000	2000	-0.56	          0.23	
01293	广汇宝信	-0.93	7374216	3.200	3.200	3.210	2277000	38000	0.00	          0.08	
01591	汛和集团	-3.14	6972281	0.154	--  	--  	44300000	20000	0.65	          1.11	
00365	紫光控股	-0.70	6626261	4.260	--  	--  	1554000	6000	-0.23	          0.11	
01234	中国利郎	-0.69	6232571	7.230	7.170	7.230	869000	2000	0.56	          0.07	
01230	雅士利国际	-4.79	5967165	1.390	1.390	1.400	4242000	7000	-0.71	          0.09	
01639	安捷利实业	-0.52	5712501	1.900	--  	--  	2980000	20000	-1.04	          0.19	
01469	结好金融	-1.53	5500256	1.930	--  	--  	2834500	4000	0.52	          0.11	
00895	东江环保	-0.56	5359270	10.680	10.660	10.680	506125	1600	0.38	          0.25	
08328	信义香港	-2.27	5200303	2.150	--  	--  	2447000	4000	0.47	--  	
08328	信义香港	-2.27	5200303	2.150	2.110	2.150	2447000	4000	0.47	          0.45	
01848	中国飞机租赁	-1.15	5135156	7.770	7.770	7.860	652194	34000	-0.77	          0.10	
00716	胜狮货柜	-3.16	5094040	1.530	--  	--  	3298000	2000	-0.65	          0.14	
00595	AV CONCEPT HOLD	-6.25	4990400	0.600	--  	--  	8100800	200000	1.69	          0.87	
00207	大悦城地产	-1.53	4882520	1.290	1.280	1.290	3786000	2000	0.00	          0.03	
01636	中国金属利用	-1.76	4682520	5.030	5.010	5.060	928000	12000	0.40	          0.04	
03382	天津港发展	-1.72	4640403	1.140	1.140	1.150	4066252	38000	0.00	          0.07	
03303	巨涛海洋石油服务	-3.21	4614980	2.110	--  	--  	2174000	2000	-0.94	          0.13	
06123	先达国际物流	-1.52	4571000	5.850	--  	--  	772000	2000	-0.34	          0.19	
01366	江南集团	-3.70	4484920	0.520	--  	--  	8566000	36000	0.00	          0.21	
03689	康华医疗	-0.82	4431108	12.100	--  	--  	367000	200	0.33	          0.43	
01132	橙天嘉禾	-2.82	4406650	0.690	--  	--  	6360000	5000	0.00	          0.23	
03308	金鹰商贸集团	-1.89	4376120	10.400	10.400	10.420	419000	1000	0.00	          0.03	
00754	合生创展集团	-1.17	4356380	7.590	7.590	7.600	570000	2000	-0.13	          0.03	
06128	泛亚国际	-0.84	4252820	3.560	--  	--  	1182000	2000	0.00	          0.27	
002729	好利来	-9.99	4220805	44.95	--  	44.95	939	54	0.00	          0.14	
00309	新华通讯频媒	-6.06	4215960	0.310	--  	--  	13164000	6000	0.00	          0.91	
06166	中国宏泰发展	-1.45	4006420	4.080	--  	--  	973000	1000	-0.73	          0.06	
02239	国微技术	-4.34	3898205	7.720	--  	--  	502840	1000	-0.52	          0.16	
00638	建溢集团	-2.38	3869203	2.460	--  	--  	1566001	2000	0.00	          0.36	
00832	建业地产	-1.75	3835140	3.370	--  	--  	1139000	26000	0.90	          0.05	
00973	L'OCCITANE	-0.68	3800129	14.640	--  	--  	259600	250	0.00	          0.02	
07312	ＦＩ　三星恒指	-0.92	3718334	4.320	--  	--  	860800	600	0.00	--  	
07328	ＦＩ　三星国指	-0.67	3621620	4.480	--  	--  	808000	200000	0.00	--  	
01808	企展控股	-1.50	3583832	1.970	--  	--  	1834400	2000	1.03	          0.35	
00162	世纪金花	-2.15	3399414	0.455	--  	--  	7822000	50000	1.11	          0.69	
01569	民生教育	-0.62	3341040	1.590	1.580	1.590	2098000	96000	-0.62	          0.05	
07388	ＦＩ南方国指	-0.37	3252314	5.380	--  	--  	606200	4000	0.00	--  	
01885	中国优材	-2.00	3132720	1.960	--  	--  	1596000	4000	1.03	          0.16	
00062	载通	-0.63	2934860	23.600	--  	--  	124800	400	0.43	          0.03	
00218	申万宏源	-0.74	2898578	2.670	--  	--  	1077520	5000	0.38	          0.14	
03336	巨腾国际	-2.19	2875567	2.230	--  	--  	1289109	34000	0.90	          0.11	
00028	天安	-1.94	2747640	5.050	--  	--  	543000	1000	0.00	          0.04	
