代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
601818	光大银行	-2.50	913480960	4.29	4.29	4.30	2124679	34	0.00	          0.53	4.35	
002129	中环股份	-9.91	900375424	8.00	8.00	8.01	1121833	5863	0.13	          4.24	7.99	
002054	德美化工	10.01	885959104	7.58	7.58	--  	1313404	318	0.00	         41.72	6.61	
600740	山西焦化	-4.35	883808960	11.88	11.91	11.92	748244	37	-1.07	         11.39	12.02	
600276	恒瑞医药	5.05	878167104	70.97	70.90	70.97	125222	8	0.28	          0.44	67.89	
002027	分众传媒	8.43	850281152	14.15	14.15	14.16	614794	4122	0.07	          1.06	13.10	
601699	潞安环能	0.69	827301120	11.67	11.67	11.68	713560	3	0.52	          2.39	11.59	
603993	洛阳钼业	4.52	813297792	6.48	6.48	6.49	1273562	301	0.62	          0.98	6.24	
600000	浦发银行	-2.27	811027712	12.49	12.49	12.50	647992	41	-0.07	          0.23	12.66	
300058	蓝色光标	3.06	784995904	7.40	7.40	7.41	1062701	22212	0.00	          6.32	7.30	
300251	光线传媒	2.39	779976384	11.57	11.56	11.57	674121	9868	-0.16	          2.45	11.55	
600196	复星医药	7.37	779445568	37.44	37.46	37.47	212694	10	-0.04	          1.11	35.23	
300136	信维通信	2.48	776037120	36.02	36.01	36.02	217032	1707	0.11	          2.91	35.40	
000776	广发证券	-0.99	775078848	16.00	15.99	16.00	483266	7658	0.13	          0.82	16.15	
002176	江特电机	6.23	770378816	10.74	10.74	10.75	733354	8995	0.28	          5.31	10.07	
601336	新华保险	-0.15	769176000	51.55	51.58	51.59	149603	10	-0.01	          0.72	51.90	
000568	泸州老窖	5.66	739068096	58.59	58.58	58.59	127186	944	0.15	          0.91	55.70	
300065	海兰信	5.32	738713408	15.65	15.65	15.66	459278	5714	0.32	         16.76	16.25	
601933	永辉超市	3.11	737976000	9.96	9.96	9.97	745258	104	0.10	          1.14	9.71	
600115	东方航空	1.75	728046464	7.54	7.54	7.55	957188	599	-0.12	          0.98	7.47	
300017	网宿科技	5.73	719027456	11.25	11.25	11.26	648099	5386	0.27	          4.08	10.81	
600522	中天科技	5.43	715428992	11.84	11.83	11.84	615367	77	0.08	          2.25	11.34	
000825	太钢不锈	2.93	708108544	5.98	5.97	5.98	1193321	15033	0.00	          2.09	5.89	
002304	洋河股份	2.08	693307840	125.61	125.61	125.70	55318	353	-0.47	          0.45	123.11	
601997	贵阳银行	-0.66	690856512	15.06	15.06	15.07	459611	21	0.07	          3.80	15.18	
601211	国泰君安	-1.26	678398656	17.19	17.18	17.19	393407	416	-0.22	          0.83	17.51	
601766	中国中车	-1.16	671267264	10.22	10.22	10.23	656582	45	0.10	          0.29	10.17	
601012	隆基股份	5.93	666565824	32.89	32.89	32.90	205075	1	0.00	          1.04	31.25	
002916	深南电路	1.98	656409792	64.53	64.53	64.54	100871	2515	0.03	         14.41	64.07	
002049	紫光国芯	5.68	634975936	36.11	36.11	36.12	178511	3502	0.73	          2.96	34.80	
600031	三一重工	-0.36	634496384	8.25	8.24	8.25	769399	42	-0.11	          1.01	8.25	
600383	金地集团	0.00	632991936	12.60	12.58	12.60	503963	505	-0.23	          1.12	12.60	
600188	兖州煤业	1.52	631764736	15.38	15.39	15.40	414243	31	0.46	          1.40	15.15	
002086	东方海洋	-3.79	628593024	9.91	9.88	9.91	647027	26836	2.06	         13.60	9.27	
603871	嘉友国际	-1.74	627613760	78.89	78.89	78.91	77533	13	-0.15	         38.77	80.00	
002142	宁波银行	2.23	618947392	19.26	19.25	19.26	324621	1598	0.05	          0.72	18.81	
601828	美凯龙	3.18	614852736	17.21	17.20	17.21	351031	74	-0.11	         11.14	17.65	
600903	贵州燃气	1.13	611973888	21.42	21.43	21.44	288761	52	0.19	         23.68	20.63	
600779	水井坊	7.84	610417408	44.98	44.99	45.00	138936	34	0.49	          2.84	41.80	
300431	暴风集团	6.66	609730880	24.18	24.18	24.19	259960	4171	0.08	         11.08	22.95	
600352	浙江龙盛	2.37	594345472	11.23	11.23	11.24	530112	5	0.00	          1.73	11.00	
603019	中科曙光	4.87	578222080	37.03	37.01	37.04	157817	44	0.22	          2.45	35.82	
601628	中国人寿	-1.93	571263808	26.45	26.45	26.46	216464	38	0.00	          0.10	26.64	
300027	华谊兄弟	2.54	563583488	9.30	9.30	9.31	607567	5481	-0.20	          3.16	9.14	
000069	华侨城Ａ	1.45	558142784	8.42	8.41	8.42	663392	2564	0.12	          1.08	8.33	
601225	陕西煤业	0.84	555275200	8.41	8.41	8.42	658279	10	-0.35	          0.66	8.41	
600066	宇通客车	3.93	554599232	23.78	23.78	23.79	235707	4	0.04	          1.06	22.95	
600104	上汽集团	0.97	551583744	32.32	32.32	32.33	170044	15	0.15	          0.15	31.90	
002024	苏宁易购	1.27	550395072	11.97	11.97	11.98	458537	7026	-0.16	          0.92	11.97	
002475	立讯精密	4.44	549549504	23.75	23.75	23.76	234173	3783	-0.16	          0.74	22.70	
300216	千山药机	0.70	545562880	10.01	10.01	10.02	552430	9570	0.00	         21.17	9.90	
600282	南钢股份	4.36	534735392	5.27	5.26	5.27	1043696	37	0.19	          2.69	5.08	
000792	盐湖股份	6.64	531279072	11.89	11.89	11.90	449063	7841	-0.24	          1.63	11.35	
