代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
300431	暴风集团	1.04	963162944	27.31	27.31	27.32	356260	6843	-0.14	         15.18	26.45	
601668	中国建筑	-0.11	952928320	9.10	9.10	9.11	1047764	65	0.11	          0.35	9.07	
600581	八一钢铁	4.92	948723264	16.64	16.64	16.65	580109	35	-0.41	          7.57	15.63	
300110	华仁药业	1.40	945296832	6.51	6.50	6.51	1456110	21033	-0.14	         12.32	6.37	
002926	华西证券	2.06	938902912	14.86	14.86	14.87	639446	15123	0.07	         12.18	14.39	
000672	上峰水泥	7.53	938288576	12.86	12.86	12.87	749204	11633	0.23	          9.21	11.75	
600487	亨通光电	0.46	927946368	39.19	39.18	39.19	236985	21	-0.14	          1.91	38.68	
600584	长电科技	4.65	909417280	20.70	20.70	20.71	447285	14	-0.04	          4.54	19.65	
002008	大族激光	0.98	893523968	57.48	57.47	57.48	156761	1723	-0.02	          1.58	56.50	
600703	三安光电	1.44	893017600	26.01	26.02	26.03	345954	69	0.15	          0.85	25.28	
600028	中国石化	-0.31	878793664	6.39	6.39	6.40	1384096	10	0.16	          0.14	6.32	
000932	*ST华菱	4.58	878129984	10.74	10.73	10.74	833745	19096	0.28	          2.77	10.15	
300487	蓝晓科技	6.74	873438144	29.78	29.78	29.79	302274	3752	0.54	         35.73	27.00	
601088	中国神华	-1.32	872462208	23.84	23.83	23.84	365915	18	0.08	          0.22	23.79	
300058	蓝色光标	6.44	864591104	7.77	7.77	7.78	1149245	24039	0.39	          6.83	7.23	
601888	中国国旅	3.11	863342016	53.99	53.99	54.00	161503	20	0.00	          0.83	52.28	
600282	南钢股份	-1.06	857909760	5.59	5.59	5.60	1530092	70	0.18	          3.95	5.55	
002001	新 和 成	-0.98	853710400	37.36	37.36	37.37	229699	2309	0.03	          2.14	37.44	
600340	华夏幸福	-1.18	853227712	36.80	36.80	36.81	231373	169	-0.02	          0.78	36.70	
002916	深南电路	3.25	847134464	73.31	73.30	73.31	116835	2352	0.36	         16.69	70.00	
600392	盛和资源	1.21	837227200	16.70	16.68	16.69	507764	11	0.00	          4.73	16.35	
300085	银之杰	3.58	831520896	16.77	16.77	16.78	508803	4747	-0.17	         12.97	15.95	
300166	东方国信	6.94	830740032	17.11	17.11	17.12	497122	4991	-0.40	          6.16	16.07	
300367	东方网力	10.02	820355008	16.47	16.47	--  	514645	618	0.00	          9.38	14.80	
600031	三一重工	-0.72	820332544	8.22	8.22	8.23	998204	88	0.00	          1.31	8.17	
