代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
000923	河北宣工	10.02	312363936	2.13	23.39	--  	137383	461	0.00	          6.94	21.15	
600085	同仁堂	2.85	311145088	0.93	33.57	33.59	93198	6	0.03	          0.68	32.76	
000404	华意压缩	6.77	310850688	0.39	6.14	6.15	505426	3930	0.82	          7.29	5.71	
000778	新兴铸管	4.10	309769184	0.21	5.32	5.33	590632	10037	0.38	          1.62	5.11	
01208	五矿资源	2.30	307274240	0.120	5.320	5.340	56551832	448000	0.56	          0.71	5.320	
603969	银龙股份	6.28	305387968	0.83	14.04	14.05	221584	14	0.36	          5.54	13.02	
600175	美都能源	10.00	301134400	0.46	5.06	--  	595609	5000	0.00	          2.43	5.06	
603077	和邦生物	2.83	298539232	0.06	2.17	2.18	1384654	315	0.00	          1.57	2.11	
603367	辰欣药业	7.43	296642368	1.39	20.06	20.08	148642	137	-0.14	         14.86	18.60	
000507	珠海港	1.36	295357088	0.13	9.70	9.71	305666	3354	0.10	          3.96	9.65	
002158	汉钟精机	5.53	293663200	0.66	12.59	12.60	236920	2526	0.08	          4.47	11.90	
300601	康泰生物	1.72	280518976	0.87	51.32	51.35	54800	194	-0.26	          3.42	50.18	
07228	ＦＬ二　三星国指	2.45	273127840	0.210	--  	--  	31214600	3000	0.00	--  	8.710	
600027	华电国际	2.89	272122560	0.11	3.92	3.93	688704	36	-0.24	          1.02	3.82	
002431	棕榈股份	4.10	267837744	0.30	7.62	7.63	356652	8425	-1.03	          3.07	7.31	
000723	美锦能源	1.68	265082832	0.10	6.04	6.05	448480	38330	0.83	          4.15	5.89	
603619	中曼石油	2.38	263686352	0.84	36.18	36.19	73546	18	0.08	         18.39	35.49	
600477	杭萧钢构	3.18	258889488	0.29	9.39	9.40	278211	9	0.43	          2.21	9.10	
002893	华通热力	3.73	257214000	1.00	27.83	27.84	94266	1131	-0.38	         31.42	26.23	
603106	恒银金融	6.00	255759968	1.33	23.48	23.50	111140	63	0.09	         15.88	22.00	
002923	润都股份	3.07	254850912	1.15	38.57	38.58	66705	808	-0.30	         26.68	37.01	
300055	万邦达	5.05	254388528	0.83	17.27	17.28	149895	1551	0.06	          1.73	16.49	
002044	美年健康	3.71	251022880	0.89	24.86	24.87	102184	2387	0.24	          0.96	23.90	
603655	朗博科技	7.42	250589200	1.62	23.41	23.43	110216	37	-2.24	         41.59	21.55	
300140	中环装备	6.72	247303728	0.79	12.54	12.55	201052	5352	0.16	          8.19	11.84	
002342	巨力索具	5.80	245234736	0.34	6.19	6.20	404279	4772	0.16	          4.59	5.85	
002702	海欣食品	2.24	241337696	0.11	5.01	5.02	474539	4679	0.20	         16.01	4.95	
600233	圆通速递	6.23	240908544	1.08	18.39	18.40	132823	47	0.11	          1.70	17.40	
002675	东诚药业	9.98	240754608	0.99	10.91	--  	223265	1068	0.00	          3.85	10.45	
02196	复星医药	5.95	237548080	2.750	48.850	48.950	4881184	36500	0.31	          1.01	46.250	
603589	口子窖	6.01	237236224	2.61	46.04	46.05	52549	7	0.04	          1.79	43.40	
02607	上海医药	3.65	235672496	0.700	19.880	19.900	11937100	147000	-0.20	          1.30	19.400	
002737	葵花药业	5.58	230235760	2.07	39.15	39.16	59954	633	0.38	          4.56	37.26	
002908	德生科技	2.02	224865536	0.61	30.73	30.75	73291	1482	-0.41	         21.98	29.82	
300697	电工合金	5.22	222343232	1.14	22.99	23.00	96429	1384	0.17	         24.11	21.70	
603006	联明股份	10.02	219291120	1.43	15.70	--  	142914	10	0.00	         20.41	14.50	
600839	四川长虹	6.39	218340320	0.20	3.32	3.33	672187	20	1.22	          1.46	3.13	
000915	山大华特	3.68	215299872	0.90	25.37	25.39	85539	658	-0.03	          3.66	24.47	
002869	金溢科技	3.70	212412224	1.15	32.21	32.23	66838	581	-0.08	         22.64	31.18	
600550	保变电气	9.98	209451888	0.62	6.83	--  	318807	9	0.00	          2.08	6.21	
300732	设研院	2.55	208865968	2.05	82.53	82.55	25495	272	-0.03	         14.16	80.21	
002542	中化岩土	5.79	207760912	0.45	8.21	8.22	256520	5225	0.12	          3.84	7.72	
600146	商赢环球	5.05	207503840	1.19	24.72	24.73	84807	26	0.00	          4.24	23.69	
002424	贵州百灵	2.15	207393488	0.28	13.27	13.28	157322	2724	0.23	          2.16	13.03	
600790	轻纺城	1.89	205163376	0.11	5.92	5.93	348727	270	1.02	          3.33	5.85	
02186	绿叶制药	6.96	201974960	0.450	6.910	6.920	29560500	130000	0.14	          0.89	6.480	
300334	津膜科技	6.62	201825792	0.74	11.92	11.93	173456	3825	0.08	          6.31	11.30	
002846	英联股份	10.01	201092704	1.44	15.83	--  	128932	298	0.00	         25.58	14.40	
603648	畅联股份	4.21	199757984	0.78	19.29	19.31	105320	34	-0.35	         11.43	18.20	
603578	三星新材	4.40	198720416	1.54	36.53	36.59	54477	13	-0.07	         17.08	34.94	
002848	高斯贝尔	10.01	198248272	1.43	15.71	--  	132634	1306	0.83	         15.91	14.81	
603868	飞科电器	4.47	197808736	2.76	64.55	64.57	31196	23	0.50	          7.15	62.00	
601258	庞大集团	2.60	195522144	0.06	2.36	2.37	832368	244	0.42	          1.27	2.30	
00354	中国软件国际	3.92	195029600	0.230	6.090	6.110	31849838	566000	-0.81	          1.33	5.870	
002108	沧州明珠	2.52	194581232	0.25	10.17	10.18	192954	3671	-0.09	          1.77	9.91	
002895	川恒股份	2.28	193708352	0.54	24.23	24.24	80066	1210	0.08	         20.01	23.64	
600787	中储股份	1.63	193502768	0.16	9.97	9.98	194635	100	0.00	          1.05	9.80	
603477	振静股份	3.69	192559488	0.47	13.22	13.23	146774	19	-0.37	         24.46	12.66	
002292	奥飞娱乐	3.82	191249696	0.46	12.48	12.49	153316	2569	0.81	          2.01	12.40	
000958	东方能源	6.38	190981312	0.30	5.00	5.01	389173	4214	-0.39	          5.84	4.70	
300471	厚普股份	10.03	190828128	0.89	9.76	--  	199165	80	0.00	          9.09	8.94	
300723	一品红	10.00	190594192	3.33	36.64	--  	54059	85	0.00	         13.51	33.50	
002118	紫鑫药业	1.45	189839408	0.12	8.37	8.38	226102	1774	0.00	          2.20	8.32	
000626	远大控股	9.99	189321376	1.11	12.22	--  	156885	39	0.00	          3.88	11.06	
300731	科创新源	9.81	188528096	2.88	32.23	32.24	61214	890	-0.18	         27.82	29.11	
300500	启迪设计	10.02	184595664	3.13	34.38	--  	56089	20	0.00	         12.93	31.15	
600155	宝硕股份	3.47	183923728	0.34	10.13	10.14	183352	15	0.10	          1.63	9.72	
00867	康哲药业	4.40	182381696	0.700	16.580	16.600	11119346	286000	-0.12	          0.45	16.000	
601958	金钼股份	1.27	180087456	0.09	7.16	7.17	247721	20	0.14	          0.77	7.32	
000605	渤海股份	9.98	179952208	1.61	17.75	--  	105246	399	0.00	          5.40	16.10	
600201	生物股份	3.13	179816480	0.91	29.98	29.99	59993	23	-0.02	          0.70	29.27	
600594	益佰制药	3.47	177989792	0.33	9.83	9.84	182583	12	0.61	          2.31	9.47	
603683	晶华新材	4.02	177633472	0.84	21.72	21.73	82720	3	0.42	         26.12	20.87	
600876	洛阳玻璃	1.54	176239744	0.28	18.52	18.53	94469	32	0.22	          3.61	18.05	
002317	众生药业	3.56	176221424	0.40	11.62	11.65	152880	4741	0.43	          2.35	11.34	
01530	三生制药	4.59	174190960	0.700	15.920	15.940	11035014	115000	-0.13	          0.43	15.400	
002809	红墙股份	7.17	173761312	1.98	29.58	29.59	59788	1191	0.03	          9.94	27.71	
02380	中国电力	4.12	173676000	0.080	2.010	2.020	86334560	1176000	0.00	          0.88	1.960	
002120	韵达股份	3.92	173476608	1.80	47.70	47.80	36180	77	-0.45	          3.71	45.90	
300692	中环环保	3.69	171275424	1.29	36.27	36.28	47599	744	0.00	         17.85	34.98	
002864	盘龙药业	8.90	169379392	2.55	31.19	31.20	56371	1393	-0.15	         26.01	28.66	
600597	光明乳业	3.95	168407840	0.51	13.41	13.42	127241	10	-0.06	          1.04	12.85	
603127	昭衍新药	9.99	167385920	5.44	59.87	--  	28757	3	0.00	         14.03	55.21	
002847	盐津铺子	10.01	162674272	2.37	26.05	--  	64783	76	0.00	         18.35	23.45	
600836	界龙实业	1.32	162267648	0.07	5.37	5.38	304848	12	0.37	          4.67	5.25	
603357	设计总院	4.19	160349072	0.84	20.89	20.90	77571	48	-0.18	          9.55	19.90	
002014	永新股份	10.03	159855376	1.15	12.61	--  	126863	77	0.00	          3.92	12.61	
300645	正元智慧	7.82	155772784	2.75	37.90	37.92	41782	346	-0.70	         25.07	34.70	
002919	名臣健康	5.01	155647344	1.55	32.33	32.50	47896	1240	1.94	         23.52	30.70	
603050	科林电气	9.99	154788144	1.77	19.48	--  	81358	10	0.00	         20.34	17.90	
002355	兴民智通	4.03	153703936	0.41	10.58	10.59	146509	1009	-0.08	          4.95	10.25	
