代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
08083	中国创新支付	17.02	109627368	--  	--  	212912000	100000	1.85	          3.05	 10.64	0.470	0.550	
08291	万成金属包装	-1.24	46979852	--  	--  	19130000	20000	5.29	          4.78	 10.21	2.420	2.600	
08473	弥明生活百货	-5.13	37196900	--  	--  	49050000	10000	0.00	          4.38	  0.32	0.790	0.800	
08392	舍图控股	-5.66	22416502	--  	--  	43040000	1770000	-1.96	          4.30	  0.55	0.550	0.590	
08227	西安海天天	2.16	19240480	--  	--  	3138000	2000	-0.32	          0.49	  1.56	6.040	6.200	
08062	俊盟国际	11.32	18038550	--  	--  	31135000	5000	-1.67	          6.49	  3.01	0.540	0.610	
08359	HYPEBEAST	2.82	16083601	--  	--  	21500000	40000	0.00	          1.08	  0.52	0.720	0.800	
08349	美固科技控股	15.38	15542401	--  	--  	2120000	10000	0.00	          0.53	  0.97	6.300	7.500	
08207	中新控股	-1.09	15179281	--  	--  	16640000	20000	0.00	          0.07	  0.52	0.920	0.930	
08469	盛业资本	0.67	15039781	--  	--  	1990000	2000	-0.53	          0.27	  0.89	7.600	7.600	
08138	同仁堂国药	1.92	13954521	--  	--  	1010000	1000	0.00	          0.12	  1.17	13.580	13.960	
08455	礼建德集团	1.75	11823201	--  	--  	6680000	10000	0.00	          0.83	 17.22	1.780	1.780	
08228	国艺娱乐	0.00	11649901	--  	--  	32360000	20000	1.39	          0.72	  1.78	0.360	0.365	
08462	桥英控股	3.57	11129001	--  	--  	6730000	195000	2.35	          1.12	  2.19	1.680	1.740	
08483	名仕快相	-6.06	9161080	--  	--  	28320000	96000	-1.59	          3.54	  0.29	0.335	0.345	
08137	洪桥集团	2.44	7408761	--  	--  	4446000	8000	0.60	          0.05	  0.72	1.640	1.680	
08101	壹家壹品	11.97	7237669	--  	--  	55612000	4000	0.00	          1.92	  1.05	0.117	0.137	
08059	朝威控股	0.00	6764201	--  	--  	12280000	5000	1.82	          1.32	 23.98	0.560	0.570	
08001	东方汇财证券	0.00	6425761	--  	--  	7596000	104000	-1.16	          1.76	  3.44	0.830	0.860	
08445	怡康泰工程集团	10.71	6374401	--  	--  	10710000	10000	1.64	          1.78	  2.68	0.560	0.640	
08275	永勤集团控股	5.37	5851201	--  	--  	3940000	20000	0.00	          0.66	  0.56	1.430	1.650	
08022	永耀集团控股	-0.91	5806081	--  	--  	5367000	3000	0.00	          0.32	  0.91	1.120	1.120	
08406	合宝丰年	4.84	5472451	--  	--  	16980000	20000	0.00	          2.12	  2.49	0.310	0.335	
08422	ＷＴ集团	-6.62	5103700	--  	--  	4070000	10000	0.00	          0.41	  1.96	1.320	1.380	
08198	乐透互娱	7.73	5042896	--  	--  	20688000	8000	-0.42	          0.66	  2.96	0.230	0.255	
08463	TOMO HOLDINGS	2.01	4842680	--  	--  	3188000	232000	0.00	          0.71	  9.42	1.500	1.630	
08340	域高金融	-3.12	4511600	--  	--  	9580000	20000	0.00	          1.50	  5.72	0.475	0.490	
08073	兴业新材料	0.00	4334897	--  	--  	2870977	60000	0.00	          0.60	  1.25	1.520	1.520	
08350	骏溢环球金融	6.67	3931640	--  	--  	10000000	8000	0.00	          1.25	 11.30	0.380	0.440	
08379	汇安智能	-5.26	3732900	--  	--  	10160000	20000	0.00	          1.27	  1.05	0.375	0.390	
08342	飞思达科技	1.47	3711250	--  	--  	2705000	100000	-0.72	          0.56	  7.14	1.360	1.390	
08522	德益控股	1.65	3638280	--  	--  	2980000	20000	0.82	          0.80	  0.63	1.220	1.250	
08292	盛良物流	1.56	3303500	--  	--  	2540000	10000	0.00	          0.32	  0.80	1.280	1.380	
08479	金泰丰国际控股	-6.88	3298480	--  	--  	1584000	12000	1.00	          0.38	  0.22	2.300	2.300	
08133	铸能控股	3.49	3241200	--  	--  	18520000	120000	0.00	          0.53	  4.45	0.192	0.192	
08178	中国信息科技	-0.79	3020304	--  	--  	24433600	48000	0.00	          0.43	  1.80	0.124	0.126	
08090	中国融保金融集团	0.00	2973060	--  	--  	3488000	318000	-1.18	          0.20	  1.73	0.860	0.870	
08596	星亚控股	6.67	2922500	--  	--  	625000	50000	0.00	          0.05	0.00	4.500	4.800	
08287	ZIONCOM	0.00	2813200	--  	--  	6430000	10000	1.15	          0.97	  7.62	0.430	0.440	
08430	春能控股	0.00	2698700	--  	--  	8495000	5000	1.56	          1.33	  6.65	0.320	0.340	
08100	智易控股	0.00	2644080	--  	--  	6528000	6000	1.23	          1.47	  1.10	0.410	0.410	
08300	皇玺餐饮集团	-2.31	2348040	--  	--  	18320000	120000	-0.78	          0.69	  0.55	0.129	0.131	
08347	Ｆ８企业	11.11	2289560	--  	--  	5296000	40000	0.00	          0.66	  3.09	0.405	0.450	
08257	靖洋集团	5.77	2273100	--  	--  	8640000	20000	-1.79	          0.86	  1.84	0.260	0.280	
08337	直通电讯	-1.11	2181950	--  	--  	12410000	10000	-0.56	          0.40	  0.13	0.180	0.190	
08050	量子思维	10.50	2180720	--  	--  	1004000	6000	1.84	          0.07	  2.21	2.000	2.220	
08128	中国地能	0.61	2131728	--  	--  	12960000	480000	0.61	          0.32	  0.20	0.165	0.173	
08238	惠陶集团	-2.86	2099784	--  	--  	30632000	3200000	0.00	          0.35	  0.68	0.070	0.072	
08532	宝发控股	-5.24	2045000	--  	--  	9288000	104000	0.00	          1.16	  0.67	0.230	0.230	
08437	德斯控股	-9.09	2007760	--  	--  	3896000	24000	-1.96	          0.65	  2.79	0.540	0.550	
08367	倩碧控股	-2.55	1982610	--  	--  	8710000	10000	-1.29	          1.09	  0.45	0.237	0.237	
08089	华人策略控股	0.37	1964454	--  	--  	727400	1800	0.37	          0.35	  0.52	2.730	2.730	
08170	KSL HOLDINGS	-1.39	1932140	--  	--  	527000	4000	-0.56	          0.13	  0.87	3.700	3.700	
08142	德利机械	0.00	1860950	--  	--  	5100000	100000	0.00	          0.51	  0.61	0.365	0.375	
08250	丝路能源	3.45	1743480	--  	--  	28700000	80000	0.00	          0.42	  3.31	0.058	0.062	
08147	汇思太平洋	0.81	1739832	--  	--  	6928000	12000	0.00	          0.13	  0.47	0.250	0.255	
08279	亚博科技控股	3.61	1707040	--  	--  	1996000	4000	1.18	          0.02	  0.57	0.880	0.880	
08130	智城控股	0.00	1687255	--  	--  	9700600	1000000	0.00	          0.30	  3.36	0.170	0.175	
08040	ＤＣＢ控股	0.00	1640650	--  	--  	1360000	15000	-0.83	          0.42	  0.22	1.190	1.250	
08452	富银融资股份	-3.15	1620120	--  	--  	1232000	2000	-0.81	          1.37	  2.77	1.240	1.350	
08203	凯顺能源	1.85	1609040	--  	--  	6176000	10000	3.77	          1.07	  4.99	0.260	0.275	
08283	正力控股	-3.68	1601850	--  	--  	1225000	30000	0.00	          0.25	  2.03	1.360	1.370	
08256	金利通	0.00	1579428	--  	--  	43824000	20000	0.00	          3.61	  0.58	0.039	0.040	
08413	亚洲杂货	3.28	1543350	--  	--  	8330000	90000	-0.53	          0.72	  0.67	0.186	0.190	
08192	环球能源资源	-4.29	1542240	--  	--  	4596000	12000	1.52	          0.44	  2.14	0.350	0.350	
08132	中油港燃	0.00	1519660	--  	--  	29390000	20000	9.62	          0.48	  8.70	0.052	0.057	
08415	乐嘉思控股	4.51	1475860	--  	--  	5970000	200000	2.00	          0.53	  1.25	0.246	0.255	
08156	众彩股份	1.22	1320050	--  	--  	1610000	10000	0.00	          0.05	  0.19	0.820	0.830	
08118	濠亮环球	-1.72	1310040	--  	--  	4640000	128000	1.79	          0.93	  1.26	0.290	0.290	
08175	中国数码文化	1.54	1264700	--  	--  	1980000	10000	0.00	          0.10	  1.32	0.640	0.660	
08375	弘浩国际控股	1.55	1151390	--  	--  	5470000	100000	-4.37	          0.68	  7.31	0.194	0.230	
08419	ＡＶ策划推广	0.00	1044500	--  	--  	1640000	600000	-1.59	          0.41	  2.37	0.620	0.650	
08030	汇联金融服务	2.35	1030350	--  	--  	1210000	10000	2.35	          0.07	  2.31	0.840	0.870	
08356	中国新华电视	-2.02	1007270	--  	--  	10120000	10000	0.00	          0.25	  0.65	0.097	0.104	
08425	兴铭控股	0.00	909960	--  	--  	660000	52000	0.00	          0.17	  0.33	1.360	1.390	
08361	中国育儿网络	2.08	896270	--  	--  	1870000	10000	2.08	          0.18	  0.23	0.480	0.495	
08047	中国海洋捕捞	-1.72	886200	--  	--  	1560000	80000	0.00	          0.05	  0.42	0.560	0.580	
08421	永顺控股香港	0.00	867600	--  	--  	2000000	10000	3.45	          0.33	  1.56	0.435	0.450	
08457	健升物流中国	-3.51	857500	--  	--  	3100000	120000	0.00	          0.39	  0.60	0.275	0.285	
08331	飞尚非金属	5.56	856200	--  	--  	1530000	50000	0.00	          0.27	  1.16	0.550	0.570	
08429	冰雪集团	-3.80	847550	--  	--  	1115000	10000	2.70	          0.23	  0.51	0.790	0.790	
08055	中国网络信息科技	0.00	842200	--  	--  	2280000	8000	1.35	          0.06	  0.29	0.370	0.375	
08231	节能元件	1.32	781050	--  	--  	3430000	140000	0.00	          0.21	  2.71	0.224	0.231	
08226	树熊金融集团	-1.52	773536	--  	--  	3984000	40000	-1.02	          0.16	  0.73	0.200	0.200	
08158	中国再生医学	-1.14	724960	--  	--  	4185000	5000	0.00	          0.02	  0.04	0.177	0.177	
08085	香港生命科学	1.12	675264	--  	--  	7584000	100000	0.00	          0.13	  0.69	0.090	0.091	
08037	中国生物科技服务	-1.00	672704	--  	--  	337000	40000	0.00	          0.04	  1.57	2.010	2.040	
08526	荣丰集团亚洲	2.90	659450	--  	--  	1890000	20000	0.00	          0.33	  0.14	0.345	0.365	
08217	联旺集团	0.00	655750	--  	--  	2310000	150000	0.00	          0.19	  0.74	0.285	0.290	
08509	威扬酒业控股	-1.35	653120	--  	--  	888000	24000	0.00	          0.22	  2.75	0.740	0.750	
08032	非凡中国	0.00	619200	--  	--  	720000	80000	0.00	          0.01	  0.28	0.860	0.860	
08157	象兴国际	-3.33	614500	--  	--  	2120000	20000	0.00	          0.21	  0.79	0.295	0.295	
08487	ISP GLOBAL	3.51	590400	--  	--  	1030000	30000	0.00	          0.13	  1.74	0.570	0.590	
08071	中彩网通控股	-2.11	585220	--  	--  	3150000	1650000	0.00	          0.07	  1.03	0.188	0.190	
08067	东方大学城控股	5.90	573190	--  	--  	149000	1000	1.28	          0.08	  6.96	3.740	3.950	
08013	ECI TECH	-0.56	561060	--  	--  	3120000	40000	-1.11	          0.20	  0.49	0.180	0.181	
08266	卓信国际控股	0.69	558208	--  	--  	3824000	16000	0.69	          0.09	  0.38	0.137	0.152	
08007	环球战略集团	0.00	546205	--  	--  	4207700	10000	2.36	          0.07	  1.03	0.131	0.132	
08513	迎宏控股	-1.04	539560	--  	--  	1116000	36000	0.00	          0.28	  1.51	0.475	0.510	
08255	神州数字	-2.17	525360	--  	--  	600000	6000	0.00	          0.13	  4.77	0.900	0.900	
08166	中国农业生态	6.25	513820	--  	--  	6490000	60000	0.00	          0.11	  9.38	0.072	0.090	
08308	古兜控股	-1.04	507040	--  	--  	272000	8000	-0.52	          0.03	  0.49	1.850	1.970	
08510	TOPSTANDARDCORP	0.41	474776	--  	--  	1944000	8000	0.00	          0.24	  0.59	0.243	0.249	
08470	莹岚集团	0.00	448400	--  	--  	272000	40000	0.00	          0.05	  0.10	1.610	1.680	
08355	超智能控股	-1.41	433900	--  	--  	1290000	30000	7.69	          0.13	  5.42	0.350	0.360	
08145	电讯首科	-2.61	429580	--  	--  	190000	40000	0.00	          0.15	  0.40	2.300	2.300	
08285	森浩集团	0.00	422950	--  	--  	1335000	100000	0.00	          0.24	  0.46	0.305	0.330	
08102	利宝阁集团	0.00	421300	--  	--  	990000	10000	0.00	          0.12	  0.75	0.430	0.435	
08078	ＨＭＶ数码中国	1.26	420886	--  	--  	1761272	272	0.41	          0.01	  0.27	0.241	0.245	
08020	宏海控股集团	23.15	418850	--  	--  	3310000	60000	0.00	          0.13	  5.02	0.120	0.149	
08491	COOL LINK	-1.08	415550	--  	--  	905000	105000	0.00	          0.15	  0.14	0.465	0.465	
08313	杰地集团	1.61	404550	--  	--  	1300000	100000	0.00	          0.07	  0.69	0.310	0.315	
08043	ATLINKS	1.72	395250	--  	--  	660000	15000	0.00	          0.17	  0.72	0.580	0.620	
08450	钜京控股	2.19	392900	--  	--  	2090000	10000	0.00	          0.21	  0.65	0.183	0.190	
08113	扬宇科技	1.52	391866	--  	--  	585184	40000	0.00	          0.09	  1.29	0.670	0.670	
08410	安领国际	-1.52	387800	--  	--  	300000	30000	0.00	          0.03	  0.35	1.300	1.300	
08423	CHI HO DEV	-3.45	381300	--  	--  	350000	10000	1.82	          0.04	  0.47	1.080	1.130	
08041	荟萃国际（控股）	-0.97	379420	--  	--  	3850000	40000	6.25	          0.06	  1.07	0.098	0.102	
08081	互娱中国	2.63	378280	--  	--  	9810000	350000	2.63	          0.18	  0.88	0.038	0.039	
08325	中国支付通	0.00	372000	--  	--  	400000	10000	0.00	          0.02	  0.70	0.920	0.950	
08519	JIA GROUP	-1.08	368480	--  	--  	2000000	10000	1.10	          0.23	  0.36	0.186	0.187	
08471	新达控股	-1.32	362650	--  	--  	960000	180000	0.00	          0.12	  0.60	0.380	0.380	
08373	靛蓝星	0.99	362550	--  	--  	340000	5000	0.00	          0.09	  0.51	0.920	1.150	
08196	建禹集团	-3.47	360320	--  	--  	72000	12000	0.00	          0.02	  0.87	5.100	5.180	
08310	大丰港	-2.78	359500	--  	--  	540000	20000	0.00	          0.04	  0.77	0.640	0.700	
08181	港深联合	0.00	352720	--  	--  	976000	408000	1.41	          0.11	  1.00	0.355	0.375	
08383	东骏控股	0.00	345400	--  	--  	984000	8000	0.00	          0.12	  0.72	0.365	0.365	
08465	高科桥	0.34	338760	--  	--  	116000	2000	0.00	          0.04	  4.46	2.920	2.940	
08120	国农金融投资	2.38	331213	--  	--  	2581000	40000	0.00	          0.26	  2.35	0.127	0.129	
08426	雅居投资控股	1.36	323060	--  	--  	1460000	10000	-0.88	          0.18	  0.39	0.234	0.234	
08267	蓝港互动	-3.82	317195	--  	--  	248000	1500	0.00	          0.07	  1.33	1.300	1.310	
08201	宝联控股	-7.69	301700	--  	--  	1000000	20000	0.00	          0.37	  2.51	0.320	0.320	
08005	裕兴科技	0.00	300860	--  	--  	402000	2000	0.00	          0.02	  0.67	0.770	0.770	
08246	北方新能源	-3.57	300720	--  	--  	1112000	144000	0.00	          0.03	  0.72	0.280	0.280	
08371	尝高美集团	0.00	299720	--  	--  	360000	4000	0.00	          0.09	  2.73	0.830	0.860	
08315	冠辉集团控股	0.00	295580	--  	--  	8890000	10000	0.00	          0.11	  0.36	0.033	0.034	
08009	华夏能源控股	0.00	291780	--  	--  	6680000	1000000	0.00	          0.31	  1.02	0.044	0.044	
08195	L&A INTL HOLD	-2.94	281093	--  	--  	4154400	576000	0.00	          0.32	  0.20	0.068	0.070	
08187	积木集团	-1.90	276000	--  	--  	180000	5000	0.00	          0.04	  0.94	1.580	1.580	
08485	竣球控股	-0.63	270290	--  	--  	1720000	10000	1.28	          0.17	  0.66	0.160	0.160	
08162	港银控股	-4.00	270100	--  	--  	610000	70000	0.00	          0.13	  7.82	0.435	0.480	
08407	兴证国际	0.00	260400	--  	--  	210000	180000	1.63	          0.01	  1.68	1.300	1.300	
08535	荧德控股	-1.45	257640	--  	--  	1880000	100000	0.00	          0.16	  0.32	0.138	0.138	
08412	高门集团	-1.96	254910	--  	--  	1020000	390000	0.00	          0.13	  3.13	0.241	0.250	
08265	中国之信集团	1.00	253960	--  	--  	84000	4000	0.00	          0.00	  0.32	3.010	3.050	
08345	火岩控股	3.50	248640	--  	--  	42000	10000	0.00	          0.03	  0.89	5.920	5.920	
08400	亚洲先锋娱乐	-1.47	243010	--  	--  	1220000	40000	0.00	          0.12	  0.41	0.204	0.204	
08385	万里印刷	-1.67	235800	--  	--  	800000	70000	0.00	          0.10	  0.55	0.290	0.300	
08377	申酉控股	4.08	221200	--  	--  	440000	10000	0.00	          0.06	  0.90	0.490	0.530	
08269	富誉控股	-4.80	220420	--  	--  	1860000	240000	2.59	          0.23	  0.35	0.125	0.125	
08136	英马斯集团	-1.52	219850	--  	--  	680000	50000	0.00	          0.07	  0.24	0.325	0.325	
08476	大洋环球控股	0.00	217420	--  	--  	310000	2000	0.00	          0.11	  1.12	0.710	0.710	
08202	汇创控股	2.65	209410	--  	--  	1350000	20000	0.00	          0.13	  6.31	0.150	0.159	
08506	福纺控股	0.00	205224	--  	--  	1464000	12000	1.43	          0.15	  1.61	0.141	0.144	
08411	K W NELSON GP	0.00	198000	--  	--  	720000	130000	0.00	          0.07	  0.87	0.280	0.280	
08245	安悦国际控股	6.12	193920	--  	--  	3730000	500000	0.00	          0.10	  2.52	0.052	0.052	
08029	太阳国际	-1.35	193150	--  	--  	260000	100000	0.00	          0.02	  0.87	0.780	0.780	
08095	北大青鸟环宇	0.70	184030	--  	--  	130000	1000	2.86	          0.02	  0.50	1.430	1.450	
08046	恒芯中国	0.00	182424	--  	--  	4916000	68000	2.70	          0.06	  0.09	0.038	0.038	
08427	瑞强集团	1.89	181640	--  	--  	672000	32000	-1.82	          0.11	  0.19	0.275	0.275	
08200	修身堂	0.00	179680	--  	--  	4280000	200000	0.00	          0.08	  0.50	0.042	0.043	
08165	华普智通	2.86	179209	--  	--  	5065625	80000	0.00	          0.22	  0.62	0.036	0.037	
08362	运兴泰集团	3.31	173880	--  	--  	1420000	200000	0.81	          0.10	  0.51	0.121	0.125	
08225	中国医疗集团	0.00	172700	--  	--  	700000	20000	0.00	          0.07	  5.30	0.245	0.260	
08056	饮食概念	4.00	164550	--  	--  	640000	80000	0.00	          0.08	  0.77	0.250	0.260	
08352	成安控股	-1.37	164500	--  	--  	450000	10000	0.00	          0.07	  0.48	0.365	0.370	
08365	建泉国际控股	1.89	161250	--  	--  	305000	100000	0.00	          0.06	  0.89	0.530	0.540	
08193	汉华专业服务	0.00	155932	--  	--  	3123000	1270000	0.00	          0.05	  0.49	0.049	0.052	
08179	新煮意控股	-0.57	147775	--  	--  	856800	36000	0.00	          0.04	  0.20	0.173	0.175	
08481	盛龙锦秀国际	0.00	144875	--  	--  	345000	145000	0.00	          0.07	  3.45	0.405	0.440	
08351	俊文宝石	1.43	142000	--  	--  	400000	140000	0.00	          0.01	  0.34	0.355	0.355	
08420	NEXION TECH	0.00	139100	--  	--  	245000	100000	0.00	          0.04	  0.31	0.560	0.580	
08307	密迪斯肌	1.79	137800	--  	--  	240000	20000	0.00	          0.05	  0.11	0.580	0.580	
08319	思博系统	7.91	137730	--  	--  	930000	10000	0.00	          0.12	  3.12	0.139	0.156	
08523	常满控股	1.12	130200	--  	--  	290000	40000	1.12	          0.07	  0.15	0.465	0.465	
08366	浙江联合投资	-1.59	130100	--  	--  	210000	110000	1.64	          0.01	  0.26	0.630	0.630	
08080	北亚策略	-0.80	128432	--  	--  	1070000	8000	0.00	          0.04	  2.25	0.120	0.124	
08495	1957 & CO.	-2.30	124640	--  	--  	288000	160000	0.00	          0.09	  1.03	0.440	0.440	
08299	大唐潼金	6.67	124545	--  	--  	8212465	660000	0.00	          0.04	  0.60	0.015	0.016	
08240	展程控股	2.69	124370	--  	--  	550000	30000	0.44	          0.04	  0.75	0.230	0.230	
08075	寰亚传媒	-4.76	120304	--  	--  	620000	4000	-4.31	          0.03	  0.66	0.202	0.211	
08376	方圆房服集团	1.79	115640	--  	--  	208000	4000	3.64	          0.05	  0.31	0.560	0.570	
08460	基地锦标集团	0.00	113100	--  	--  	490000	80000	0.00	          0.05	  0.98	0.230	0.235	
08328	信义香港	0.47	112315	--  	--  	53000	4000	0.00	--  	 22.29	2.120	2.130	
08230	中国宇天	-6.86	110225	--  	--  	230000	25000	0.00	          0.03	  2.84	0.490	0.490	
08021	汇隆控股	0.00	107820	--  	--  	3080000	520000	0.00	          0.02	  0.27	0.036	0.036	
08428	国茂控股	-2.95	102300	--  	--  	432000	12000	-2.95	          0.04	  0.25	0.237	0.237	
08186	同仁资源	-2.50	99616	--  	--  	1329200	20000	6.85	          0.16	  3.60	0.077	0.087	
08456	民信国际控股	0.00	98760	--  	--  	240000	12000	0.00	          0.06	  0.35	0.410	0.420	
08051	讯智海	0.15	97900	--  	--  	7600	800	0.00	          0.03	  1.26	12.900	13.000	
08431	浩柏国际	-0.58	97210	--  	--  	570000	150000	0.00	          0.04	  0.53	0.182	0.182	
08312	中国瀚亚	0.00	96000	--  	--  	150000	150000	0.00	          0.02	  0.50	0.640	0.640	
08087	中国三三传媒	-3.33	94900	--  	--  	3240000	1500000	0.00	          0.06	  0.63	0.030	0.030	
08191	鸿伟亚洲	0.00	93000	--  	--  	300000	300000	0.00	          0.04	  0.64	0.310	0.310	
08232	CLASSIFIED GP	-1.68	91650	--  	--  	80000	20000	0.00	          0.02	  0.10	1.150	1.170	
08436	德宝集团控股	-1.72	90950	--  	--  	165000	75000	5.56	          0.04	  0.35	0.560	0.570	
08402	GT STEEL GROUP	3.39	90025	--  	--  	300000	5000	0.00	          0.06	  0.44	0.300	0.305	
08057	麦迪森控股	4.73	90000	--  	--  	60000	8000	4.03	          0.00	  0.69	1.490	1.550	
08326	同景新能源	-0.88	89600	--  	--  	80000	80000	0.00	          0.01	  0.53	1.120	1.120	
08086	新维国际控股	0.00	87392	--  	--  	334400	24000	1.96	          0.01	  0.22	0.260	0.265	
08027	吉辉控股	-2.82	87330	--  	--  	1235000	30000	0.00	          0.04	  0.27	0.072	0.073	
08395	齐家控股	0.77	85580	--  	--  	660000	180000	1.55	          0.04	  0.29	0.130	0.133	
08123	华亿金控	0.00	84420	--  	--  	1206000	1200000	0.00	          0.02	  0.63	0.070	0.070	
08082	仁智国际集团	0.00	82803	--  	--  	347000	2000	0.00	          0.03	  0.72	0.240	0.240	
08129	云信投资控股	0.00	82700	--  	--  	3260000	1200000	0.00	          0.11	  0.21	0.025	0.026	
08321	泰锦控股	1.06	81570	--  	--  	430000	30000	0.00	          0.05	  0.24	0.188	0.194	
08247	中生北控生物科技	0.49	81260	--  	--  	40000	4000	0.00	          0.06	  1.06	2.030	2.050	
08432	太平洋酒吧	1.38	76940	--  	--  	510000	20000	0.68	          0.06	  1.11	0.153	0.155	
08213	新智控股	3.64	76160	--  	--  	1401353	10000	5.56	          0.03	  0.85	0.058	0.059	
08143	华夏医疗	0.00	70932	--  	--  	572000	8000	0.00	          0.02	  0.51	0.121	0.125	
08237	华星控股	1.69	70320	--  	--  	120000	66000	1.69	          0.00	  0.23	0.590	0.600	
08183	尚捷集团控股	1.12	69500	--  	--  	155000	10000	0.00	          0.03	  1.02	0.450	0.450	
08501	庄皇集团公司	-0.66	62640	--  	--  	42000	10000	0.00	          0.02	  0.92	1.510	1.530	
