代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00700	腾讯控股	2.76	4068608512	275.800	268.400	100	14834194	--  	271.600	276.800	270.400	--  	0.22	2.38	7.400	   6778	275.600	275.800	39589900.00	
02318	中国平安	4.00	1312548096	48.150	46.300	500	27560624	--  	46.950	48.200	46.500	--  	0.00	3.67	1.850	   2155	48.150	48.150	577331776.00	
02800	盈富基金	0.79	1046698048	25.650	25.450	500	40857504	--  	25.500	25.700	25.450	341469952	0.00	0.98	0.200	    452	--  	25.650	0.00	
02828	恒生Ｈ股	1.26	832774272	104.600	103.300	200	8000800	--  	103.500	104.900	103.400	121588608	0.00	1.45	1.300	    297	--  	104.600	0.00	
03333	中国恒大	4.54	652094464	9.910	9.480	1000	66327568	--  	9.530	10.020	9.480	--  	0.00	5.70	0.430	   2149	9.900	9.910	135086800.00	
00005	汇丰控股	1.49	628383488	68.000	67.000	400	9278896	--  	67.050	68.000	67.050	--  	2.40	1.42	1.000	   1315	67.950	68.000	237498592.00	
00941	中国移动	1.11	598623104	86.700	85.750	500	6925649	--  	86.200	86.750	85.900	--  	1.43	0.99	0.950	   1589	86.650	86.700	152099392.00	
02628	中国人寿	2.47	505398816	24.850	24.250	1000	20414160	--  	24.500	25.000	24.300	--  	0.00	2.89	0.600	   1189	24.800	24.850	280570208.00	
00175	吉利汽车	2.68	493945888	11.500	11.200	5000	42777504	--  	11.280	11.680	11.220	--  	1.04	4.11	0.300	   1556	11.480	11.500	6758283.50	
01299	友邦保险	0.27	311120928	54.850	54.700	200	5666097	--  	55.350	55.350	54.600	--  	1.16	1.37	0.150	   1554	54.850	54.850	18507400.00	
00857	中国石油股份	1.71	290021920	5.350	5.260	2000	54324556	--  	5.300	5.370	5.300	--  	0.00	1.33	0.090	    743	5.340	5.350	238985104.00	
01336	新华保险	2.40	286743040	40.550	39.600	100	7097572	--  	39.900	40.900	39.500	--  	0.00	3.54	0.950	    907	40.500	40.550	71053296.00	
00027	银河娱乐	1.38	243797024	40.550	40.000	1000	6011092	--  	39.900	40.900	39.750	--  	0.00	2.88	0.550	    748	40.550	40.550	6626103.00	
00883	中国海洋石油	0.66	232116960	9.190	9.130	1000	25187664	--  	9.230	9.270	9.150	--  	2.50	1.31	0.060	    802	9.190	9.190	63768100.00	
01928	金沙中国有限公司	0.29	226368544	34.000	33.900	400	6632662	--  	33.900	34.400	33.900	--  	0.00	1.47	0.100	    747	33.950	34.000	1118300.00	
03968	招商银行	2.33	212452288	21.950	21.450	500	9728727	--  	21.450	22.000	21.350	--  	0.00	3.03	0.500	   1200	21.900	21.950	600067392.00	
03888	金山软件	3.77	210470608	22.000	21.200	1000	9679500	--  	21.750	22.200	21.350	--  	0.45	4.01	0.800	    840	22.000	22.000	1757895.25	
02388	中银香港	0.15	198718560	34.350	34.300	500	5813925	--  	34.350	34.400	33.900	--  	1.82	1.46	0.050	   1104	34.350	34.350	232778096.00	
02007	碧桂园	-0.12	195915056	8.190	8.200	1000	23729720	--  	8.280	8.440	8.130	--  	1.39	3.78	-0.010	   1855	8.190	8.190	59157160.00	
00799	IGG	3.10	189501952	11.960	11.600	1000	15890200	--  	11.740	12.140	11.560	--  	0.00	5.00	0.360	   1391	11.960	11.960	24343.10	
01088	中国神华	1.06	179364976	19.000	18.800	500	9447153	--  	18.820	19.140	18.680	--  	0.00	2.45	0.200	   1018	18.980	19.000	59632200.00	
00388	香港交易所	0.56	175286752	196.800	195.700	100	890984	--  	196.000	197.500	195.700	--  	0.00	0.92	1.100	    643	196.700	196.800	24547400.00	
00001	长和	0.80	172506704	100.400	99.600	500	1717243	--  	101.000	101.000	99.850	--  	1.94	1.15	0.800	    583	100.300	100.400	101346496.00	
01918	融创中国	3.06	168312736	11.440	11.100	1000	14740000	--  	11.300	11.580	11.220	--  	2.51	3.24	0.340	   1068	11.420	11.440	29318310.00	
00291	华润啤酒	6.78	164188992	19.840	18.580	2000	8607594	--  	18.660	19.840	18.580	--  	0.45	6.78	1.260	    558	19.820	19.840	4263000.00	
02333	长城汽车	2.00	160200624	8.180	8.020	500	19625500	--  	8.020	8.250	8.000	--  	0.00	3.12	0.160	   1597	8.170	8.180	8983688.00	
00386	中国石油化工股份	0.64	142313888	6.300	6.260	2000	22572788	--  	6.260	6.340	6.240	--  	0.00	1.60	0.040	   1061	6.300	6.300	147891696.00	
00347	鞍钢股份	4.51	129464912	5.330	5.100	2000	24670092	--  	5.180	5.340	5.180	--  	0.00	3.14	0.230	    776	5.330	5.330	9380500.00	
00914	安徽海螺水泥股份	2.53	129096216	26.300	25.650	500	4933196	--  	25.850	26.450	25.600	--  	0.00	3.31	0.650	    683	26.250	26.300	11131118.00	
02822	南方Ａ５０	0.68	126448760	11.780	11.700	200	10705840	--  	11.740	11.860	11.720	15314313	0.00	1.20	0.080	    238	--  	11.780	0.00	
01099	国药控股	2.52	126395432	34.550	33.700	400	3721513	--  	34.100	34.600	33.900	--  	0.00	2.08	0.850	    499	34.500	34.550	15938198.00	
02328	中国财险	0.62	123407512	13.020	12.940	2000	9469256	--  	12.940	13.100	12.940	--  	2.65	1.24	0.080	    735	13.020	13.020	47594900.00	
00241	阿里健康	6.33	115780664	4.030	3.790	2000	28851000	--  	3.830	4.120	3.830	--  	0.00	7.65	0.240	   1245	4.020	4.030	167970.00	
01113	长实地产	0.70	113311728	57.650	57.250	500	1962021	--  	57.450	58.200	57.250	--  	1.99	1.66	0.400	    553	57.650	57.650	39683600.00	
