代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00700	腾讯控股	1.41	6670980608	258.200	254.600	100	25854156	-0.08	256.200	259.200	255.200	--  	0.24	1.57	3.600	   8979	258.000	258.200	39589900.00	
02318	中国平安	0.88	2117811200	46.050	45.650	500	45815292	0.11	45.650	46.700	45.500	--  	0.00	2.63	0.400	   4958	46.000	46.050	577331776.00	
00005	汇丰控股	0.22	1914141952	68.100	67.950	400	28096544	0.00	67.800	68.250	67.800	--  	2.39	0.66	0.150	   3368	68.100	68.100	237498592.00	
03188	华夏沪深三百	1.55	655257024	39.200	38.600	200	16798106	0.13	38.700	39.200	38.650	217669456	0.00	1.42	0.600	    826	--  	39.200	0.00	
02823	Ｘ安硕Ａ５０中国	1.61	627319552	11.340	11.160	100	55439624	0.00	11.180	11.360	11.160	142627168	0.00	1.79	0.180	   2971	--  	11.340	0.00	
03968	招商银行	1.71	596168832	20.850	20.500	500	28595784	0.00	20.500	21.100	20.450	--  	0.00	3.17	0.350	   1983	20.850	20.850	600067392.00	
01088	中国神华	1.00	580684864	18.260	18.080	500	31764804	0.00	18.080	18.500	17.960	--  	0.00	2.99	0.180	   1859	18.260	18.260	59632200.00	
02822	南方Ａ５０	1.73	414084384	11.740	11.540	200	35403912	0.00	11.540	11.740	11.540	73983976	0.00	1.73	0.200	   1073	--  	11.740	0.00	
00883	中国海洋石油	0.55	383660928	9.060	9.010	1000	42371960	0.33	9.030	9.100	9.020	--  	2.54	0.89	0.050	   1786	9.050	9.060	63768100.00	
00688	中国海外发展	0.23	364970400	22.050	22.000	2000	16507523	0.00	22.050	22.200	22.000	--  	1.90	0.91	0.050	   1306	22.000	22.050	57128928.00	
00799	IGG	4.26	329645696	11.760	11.280	1000	28225374	-0.17	11.340	11.880	11.280	--  	0.00	5.32	0.480	   2653	11.740	11.760	24343.10	
00288	万洲国际	0.59	327231456	6.830	6.790	500	47935476	0.15	6.830	6.870	6.780	--  	3.07	1.33	0.040	   3306	6.820	6.830	1361100.00	
01800	中国交通建设	0.00	312168896	10.900	10.900	1000	28534608	0.00	10.900	11.080	10.860	--  	0.00	2.02	0.000	   1973	10.900	10.900	81650384.00	
00823	领展房产基金	1.31	310689344	58.100	57.350	500	5376277	0.35	57.450	58.100	57.300	34853100	0.00	1.39	0.750	   2618	--  	58.100	0.00	
02888	渣打集团	1.42	281381024	75.200	74.150	50	3731587	0.27	75.250	75.800	74.600	--  	0.00	1.62	1.050	   2553	75.200	75.200	64669200.00	
00932	御药堂	6.88	269336288	4.660	4.360	4000	58768500	0.22	4.360	4.740	4.340	--  	0.00	9.17	0.300	   1283	--  	4.660	23537.80	
01357	美图公司	1.57	249078784	10.320	10.160	500	24227200	-0.19	10.120	10.480	10.060	--  	0.00	4.13	0.160	   2849	10.300	10.320	655026.50	
01113	长实地产	0.35	238063520	57.400	57.200	500	4158565	0.17	57.200	57.600	57.050	--  	2.00	0.96	0.200	    962	57.350	57.400	39683600.00	
00322	康师傅控股	0.59	191486016	10.240	10.180	2000	18927584	0.00	10.160	10.340	10.100	--  	1.20	2.36	0.060	    873	10.240	10.240	813748.88	
00914	安徽海螺水泥股份	-0.20	190696544	24.900	24.950	500	7638579	0.00	24.950	25.300	24.700	--  	0.00	2.40	-0.050	   1488	24.850	24.900	11131118.00	
01177	中国生物制药	2.99	189794128	6.540	6.350	1000	29274418	0.00	6.340	6.550	6.340	--  	0.23	3.31	0.190	   1827	6.530	6.540	2053952.63	
00836	华润电力	0.42	183874528	14.440	14.380	2000	12654830	-0.14	14.400	14.660	14.340	--  	5.19	2.23	0.060	    698	14.440	14.440	20011146.00	
02007	碧桂园	1.05	179963072	7.670	7.590	1000	23495048	0.52	7.660	7.750	7.580	--  	1.49	2.24	0.080	   1720	7.670	7.670	59157160.00	
01458	周黑鸭	4.51	179955296	9.040	8.650	500	19867000	-0.44	8.610	9.250	8.570	--  	1.11	7.86	0.390	   1848	9.040	9.040	410701.59	
00966	中国太平	0.60	169692448	20.100	19.980	200	8419042	0.25	19.980	20.400	19.800	--  	0.00	3.00	0.120	   1784	20.050	20.100	50540576.00	
00200	新濠国际发展	0.93	142521104	17.380	17.220	1000	8244700	0.46	17.140	17.580	17.000	--  	0.12	3.37	0.160	   1317	17.340	17.380	10365093.00	
01093	石药集团	0.71	139987200	11.300	11.220	2000	12362900	0.36	11.180	11.440	11.180	--  	1.06	2.32	0.080	   1048	11.280	11.300	1476018.63	
00019	太古股份公司Ａ	0.87	111839512	75.000	74.350	500	1494770	0.00	75.200	75.200	74.300	--  	1.47	1.21	0.650	    647	75.000	75.000	37349800.00	
00017	新世界发展	0.20	107471376	9.830	9.810	1000	10961795	0.31	9.800	9.830	9.760	--  	1.32	0.71	0.020	   1050	9.810	9.830	42038888.00	
01918	融创中国	0.39	106295192	10.280	10.240	1000	10332784	0.00	10.320	10.360	10.220	--  	2.79	1.37	0.040	    758	10.280	10.280	29318310.00	
02777	富力地产	1.66	104428304	12.240	12.040	400	8496256	0.33	12.000	12.420	12.000	--  	0.00	3.49	0.200	   1134	12.220	12.240	23250372.00	
