代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
000650	仁和药业	1.93	43834800	5.82	5.71	0	76464	0.00	5.70	5.82	5.67	--  	0.00	2.63	0.11	   1353	5.81	0.000	382850.72	
01919	中远海控	1.48	43831292	3.420	3.370	500	12894200	0.59	3.360	3.460	3.340	--  	0.00	3.56	0.050	    722	3.420	3.420	12057430.00	
01194	麦盛资本	3.31	43830220	0.156	0.151	2000	273681984	-0.64	0.151	0.170	0.149	923262	0.00	13.91	0.005	   1228	--  	0.156	1349319.50	
002541	鸿路钢构	2.06	43568064	17.36	17.01	0	25133	0.00	17.10	17.56	16.90	--  	0.00	3.88	0.35	   1811	17.36	0.000	745856.25	
002240	威华股份	1.92	43567608	11.14	10.93	0	39685	0.00	10.95	11.17	10.72	--  	0.00	4.12	0.21	   1407	11.14	0.000	254666.17	
600486	扬农化工	0.99	43157648	35.60	35.25	0	12276	-0.30	35.25	35.87	34.66	--  	0.00	3.43	0.35	    672	35.60	-0.000	607627.13	
300080	易成新能	1.62	43144072	7.52	7.40	0	58135	-0.13	7.35	7.54	7.30	--  	0.00	3.24	0.12	   2155	7.52	-0.000	662518.63	
01898	中煤能源	2.31	43103020	3.550	3.470	1000	12252528	0.28	3.500	3.550	3.470	--  	1.24	2.31	0.080	   1172	3.530	3.550	24265770.00	
002178	延华智能	1.72	42972264	10.08	9.91	0	42983	0.00	9.91	10.09	9.88	--  	0.00	2.12	0.17	   1162	10.08	-0.000	222691.34	
300441	鲍斯股份	1.06	42902788	21.93	21.70	0	19813	-0.04	21.56	21.98	21.30	--  	0.00	3.13	0.23	   1024	21.93	0.000	194977.25	
300164	通源石油	1.22	42899396	7.45	7.36	0	58046	0.00	7.31	7.47	7.31	--  	0.00	2.17	0.09	   1181	7.45	-0.000	205891.47	
