代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00700	腾讯控股	0.46	2801460480	259.400	258.200	100	10809011	0.08	259.600	260.600	257.800	--  	0.24	1.08	1.200	   4156	259.200	259.400	39589900.00	
00005	汇丰控股	1.10	998870336	68.850	68.100	400	14553372	0.07	68.000	68.900	68.000	--  	2.37	1.32	0.750	   1842	68.850	68.850	237498592.00	
01398	工商银行	0.98	971353664	5.130	5.080	1000	189477680	0.20	5.100	5.150	5.090	--  	0.00	1.18	0.050	   1242	5.120	5.130	2490493696.00	
02828	恒生Ｈ股	1.35	934137920	104.800	103.400	200	8911908	0.19	103.800	105.200	103.800	--  	0.00	1.35	1.400	    404	--  	104.800	0.00	
02318	中国平安	1.41	769845312	46.700	46.050	500	16457706	0.00	46.300	47.000	46.300	--  	0.00	1.52	0.650	   1526	46.650	46.700	577331776.00	
00939	建设银行	0.94	765623744	6.430	6.370	1000	118992768	0.00	6.410	6.450	6.400	--  	0.00	0.78	0.060	   1888	6.430	6.430	2169520384.00	
00001	长和	0.89	693518400	102.500	101.600	500	6811037	0.29	102.000	102.800	101.500	--  	1.90	1.28	0.900	    904	102.300	102.500	101346496.00	
02800	盈富基金	0.39	664405120	25.450	25.350	500	26085476	0.00	25.400	25.500	25.400	--  	0.00	0.39	0.100	    409	--  	25.450	0.00	
03988	中国银行	1.58	569735488	3.860	3.800	1000	148141808	0.26	3.810	3.870	3.810	--  	0.00	1.58	0.060	   1435	3.850	3.860	1891754880.00	
02628	中国人寿	1.43	525246816	24.900	24.550	1000	21093302	0.20	24.650	25.000	24.650	--  	0.00	1.43	0.350	   1174	24.850	24.900	280570208.00	
00883	中国海洋石油	1.55	455323872	9.200	9.060	1000	49613128	0.00	9.120	9.210	9.100	--  	2.50	1.21	0.140	   1144	9.200	9.200	63768100.00	
01299	友邦保险	0.45	450095872	55.650	55.400	200	8074090	0.00	55.800	56.150	55.400	--  	1.15	1.35	0.250	   1996	55.600	55.650	18507400.00	
03968	招商银行	2.88	342868160	21.450	20.850	500	15988577	0.23	21.100	21.700	21.050	--  	0.00	3.12	0.600	   1048	21.450	21.450	600067392.00	
00857	中国石油股份	0.19	314744384	5.320	5.310	2000	59050912	-0.37	5.310	5.370	5.300	--  	0.00	1.32	0.010	    861	5.320	5.320	238985104.00	
00388	香港交易所	0.66	306671360	196.800	195.500	100	1559862	0.15	196.000	197.400	195.500	--  	1.04	0.97	1.300	   1030	196.600	196.800	24731800.00	
01800	中国交通建设	1.47	306363328	11.060	10.900	1000	27606708	-0.18	11.100	11.260	10.940	--  	0.00	2.94	0.160	   2396	11.060	11.060	81650384.00	
00027	银河娱乐	0.86	271734016	40.900	40.550	1000	6636640	0.00	41.250	41.250	40.650	--  	0.00	1.48	0.350	    919	40.900	40.900	6626103.00	
01928	金沙中国有限公司	0.14	255394480	34.550	34.500	400	7392453	-0.14	35.200	35.200	34.300	--  	0.00	2.61	0.050	   1597	34.550	34.550	1118300.00	
03188	华夏沪深三百	0.26	246436640	39.300	39.200	200	6269800	0.00	39.250	39.500	39.250	--  	0.00	0.64	0.100	    450	--  	39.300	0.00	
02333	长城汽车	-0.24	233425920	8.170	8.190	500	28597160	0.00	8.190	8.230	8.110	--  	0.00	1.47	-0.020	   1618	8.170	8.170	8983688.00	
00799	IGG	3.23	231724000	12.140	11.760	1000	19350926	0.00	11.860	12.180	11.700	--  	0.00	4.08	0.380	   1273	12.120	12.140	24343.10	
02823	Ｘ安硕Ａ５０中国	0.71	218111168	11.420	11.340	100	19083052	0.18	11.400	11.460	11.380	--  	0.00	0.71	0.080	   1016	--  	11.420	0.00	
02601	中国太保	1.20	214778352	29.450	29.100	200	7268498	0.17	29.500	29.850	29.350	--  	0.00	1.72	0.350	    708	29.400	29.450	108917104.00	
00386	中国石油化工股份	1.92	212248304	6.370	6.250	2000	33375824	0.16	6.300	6.390	6.300	--  	2.98	1.44	0.120	    734	6.370	6.370	149860896.00	
00688	中国海外发展	1.36	208313952	22.350	22.050	2000	9354993	0.00	22.250	22.400	22.050	--  	1.88	1.59	0.300	    597	22.350	22.350	57128928.00	
02822	南方Ａ５０	0.51	183084016	11.800	11.740	200	15486925	0.17	11.780	11.860	11.780	--  	0.00	0.68	0.060	    373	--  	11.800	0.00	
01357	美图公司	-0.78	177484960	10.240	10.320	500	17266000	0.00	10.500	10.500	10.180	--  	0.00	3.10	-0.080	   1427	10.220	10.240	655026.50	
02388	中银香港	1.98	175265728	33.450	32.800	500	5274824	0.00	32.900	33.450	32.900	--  	1.87	1.68	0.650	    811	33.400	33.450	232778096.00	
02328	中国财险	1.09	149888048	13.000	12.860	2000	11509058	-0.15	12.960	13.100	12.840	--  	2.65	2.02	0.140	    582	13.000	13.000	47594900.00	
01288	农业银行	0.83	148122272	3.660	3.630	1000	40440660	-0.27	3.640	3.680	3.640	--  	0.00	1.10	0.030	    973	3.660	3.660	2032398336.00	
00066	港铁公司	1.82	140710096	47.500	46.650	500	2976374	0.11	46.850	47.500	46.650	--  	6.36	1.82	0.850	    808	47.450	47.500	25734000.00	
01099	国药控股	0.29	140403072	34.350	34.250	400	4083450	0.15	34.300	34.700	34.250	--  	0.00	1.31	0.100	    756	34.300	34.350	15938198.00	
00914	安徽海螺水泥股份	2.01	136251136	25.400	24.900	500	5379500	0.20	25.300	25.500	25.200	--  	0.00	1.20	0.500	   1000	25.400	25.400	11131118.00	
00762	中国联通	0.77	127782384	10.480	10.400	2000	12191761	0.00	10.500	10.580	10.440	--  	0.00	1.35	0.080	    860	10.480	10.480	61415400.00	
01113	长实地产	0.44	127197496	57.650	57.400	500	2216287	0.17	57.550	57.750	57.150	--  	1.99	1.05	0.250	    557	57.650	57.650	39683600.00	
00686	联合光伏	7.56	124188936	1.280	1.190	2000	96808416	0.00	1.200	1.340	1.200	--  	0.00	11.76	0.090	    505	--  	1.280	1718100.00	
06881	中国银河	4.28	122681768	7.060	6.770	500	17674800	0.00	6.790	7.060	6.790	--  	0.00	3.99	0.290	   1057	7.050	7.060	23491816.00	
00823	领展房产基金	-0.09	118643504	58.050	58.100	500	2034452	0.00	58.400	58.800	57.900	--  	0.00	1.55	-0.050	    769	--  	58.050	0.00	
00916	龙源电力	1.85	118349512	6.040	5.930	1000	19818000	0.17	5.940	6.050	5.900	--  	0.00	2.53	0.110	    405	6.030	6.040	13866069.00	
01988	民生银行	1.57	104881032	7.760	7.640	500	13462481	0.39	7.700	7.890	7.680	--  	0.00	2.75	0.120	    800	7.750	7.760	595660672.00	
00002	中电控股	1.27	104426912	83.950	82.900	500	1247162	0.06	83.700	84.000	83.500	--  	1.30	0.60	1.050	    496	83.900	83.950	20597800.00	
00932	御药堂	0.86	102319784	4.700	4.660	4000	21590000	0.21	4.670	4.830	4.670	--  	0.00	3.43	0.040	    459	--  	4.700	23537.80	
00011	恒生银行	0.92	101634368	164.400	162.900	100	618693	0.06	163.500	165.000	163.300	--  	1.70	1.04	1.500	    694	164.300	164.400	137724192.00	
00390	中国中铁	1.21	97489280	6.710	6.630	1000	14442550	0.15	6.680	6.850	6.670	--  	0.00	2.71	0.080	    994	6.710	6.710	75781448.00	
00998	中信银行	1.03	97090168	4.920	4.870	1000	19726804	0.00	4.900	4.940	4.880	--  	0.00	1.23	0.050	   1415	4.920	4.920	575186176.00	
03888	金山软件	2.06	96860488	22.250	21.800	1000	4348541	-0.22	22.200	22.600	21.950	--  	0.45	2.98	0.450	    395	22.200	22.250	1757895.25	
00607	丰盛控股	0.00	93593032	3.380	3.380	2500	27590000	-0.29	3.390	3.430	3.380	--  	0.50	1.48	0.000	    284	3.380	3.380	4829467.50	
06030	中信证券	2.30	90027432	16.000	15.640	500	5652200	0.13	15.720	16.000	15.720	--  	0.00	1.79	0.360	    510	15.980	16.000	62457908.00	
01109	华润置地	1.45	89875560	21.000	20.700	2000	4306415	0.00	20.700	21.050	20.650	--  	2.91	1.93	0.300	    333	21.000	21.000	42704476.00	
01766	中国中车	0.95	82710960	7.460	7.390	1000	11074646	-0.27	7.430	7.510	7.410	--  	0.00	1.35	0.070	    543	7.460	7.460	34417644.00	
00303	VTECH HOLDINGS	7.50	76345872	110.300	102.600	100	706272	0.18	103.800	110.800	103.300	--  	1.20	7.31	7.700	    723	110.000	110.300	109930.00	
03328	交通银行	0.34	75822032	5.920	5.900	1000	12794285	0.00	5.940	5.950	5.900	--  	0.00	0.85	0.020	    939	5.920	5.920	873371072.00	
06837	海通证券	2.06	74745496	12.900	12.640	400	5811578	0.00	12.640	12.980	12.580	--  	0.00	3.16	0.260	    495	12.900	12.900	55905444.00	
01114	BRILLIANCE CHI	1.20	73826440	13.440	13.280	2000	5498940	0.15	13.500	13.700	13.280	--  	0.00	3.16	0.160	    494	13.420	13.440	3104301.25	
07200	ＦＬ二南方恒指	1.50	73175200	8.100	7.980	100	9043500	0.00	8.070	8.110	8.060	--  	0.00	0.63	0.120	    166	--  	8.100	0.00	
01065	天津创业环保股份	3.88	73061024	5.620	5.410	2000	12974000	0.18	5.420	5.780	5.420	--  	0.00	6.65	0.210	    736	5.610	5.620	1082913.25	
01458	周黑鸭	-0.22	70349368	9.020	9.040	500	7758500	0.11	9.100	9.300	8.900	--  	1.11	4.42	-0.020	    848	9.020	9.020	410701.59	
01339	中国人民保险集团	1.24	69989024	3.260	3.220	1000	21428020	0.00	3.250	3.280	3.240	--  	1.17	1.24	0.040	    570	3.250	3.260	93214896.00	
08059	朝威控股	16.67	68527656	0.700	0.600	5000	107530000	0.00	0.610	0.710	0.580	--  	0.00	21.67	0.100	    483	--  	0.700	20408.70	
01186	中国铁建	0.54	67146864	11.220	11.160	500	5955000	-0.18	11.240	11.460	11.140	--  	0.00	2.87	0.060	    451	11.220	11.220	77476544.00	
01918	融创中国	0.00	65812624	10.280	10.280	1000	6416900	0.00	10.360	10.420	10.120	--  	2.79	2.92	0.000	    656	10.260	10.280	29318310.00	
01317	枫叶教育	2.69	58476652	7.260	7.070	2000	7980000	-0.41	7.110	7.400	7.090	--  	0.83	4.38	0.190	    537	7.260	7.260	331632.91	
03993	洛阳钼业	4.74	53918760	2.430	2.320	3000	22381228	0.00	2.330	2.440	2.330	--  	0.00	4.74	0.110	    481	2.430	2.430	8808833.00	
00012	恒基地产	0.50	51933500	49.900	49.650	1000	1041943	0.10	49.900	50.000	49.700	--  	2.26	0.60	0.250	    222	49.850	49.900	35549800.00	
02020	安踏体育	0.70	50895384	21.700	21.550	1000	2346000	0.46	21.700	21.950	21.500	--  	1.94	2.09	0.150	    438	21.700	21.700	1422354.13	
00551	裕元集团	0.46	47735092	32.950	32.800	500	1434396	-0.15	33.600	33.950	32.800	--  	3.03	3.51	0.150	    441	32.950	32.950	761177.38	
03320	华润医药	-0.11	47713852	9.120	9.130	500	5231000	0.33	9.190	9.200	9.070	--  	0.99	1.42	-0.010	    363	9.110	9.120	13398551.00	
01980	天鸽互动	-0.87	47496500	5.730	5.780	1000	8197304	-0.17	5.800	5.890	5.710	--  	1.22	3.11	-0.050	    177	5.720	5.730	290704.19	
06886	HTSC	2.50	45699612	14.780	14.420	200	3106800	0.00	14.480	14.800	14.460	--  	3.78	2.36	0.360	    728	14.760	14.780	40145040.00	
00135	昆仑能源	-0.85	44757256	6.980	7.040	2000	6354213	0.00	7.080	7.120	6.970	--  	1.06	2.13	-0.060	    294	6.980	6.980	13876900.00	
