代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00700	腾讯控股	0.00	3351307008	259.000	259.000	100	12943026	-0.08	261.600	261.600	256.200	--  	0.24	2.08	0.000	   5937	258.800	259.000	39589900.00	
00005	汇丰控股	0.15	1023892928	68.950	68.850	400	14866154	-0.07	68.900	69.100	68.550	--  	2.36	0.80	0.100	   2091	68.950	68.950	237498592.00	
02828	恒生Ｈ股	-0.19	696645760	104.700	104.900	200	6649584	0.10	105.100	105.400	104.300	199879792	0.00	1.05	-0.200	    358	--  	104.700	0.00	
03988	中国银行	-0.26	575184640	3.880	3.890	1000	147752720	-0.26	3.920	3.940	3.870	--  	0.00	1.80	-0.010	   2727	3.880	3.880	1891754880.00	
00941	中国移动	0.58	524230816	86.050	85.550	500	6115957	0.06	85.900	86.150	85.200	--  	1.44	1.11	0.500	   1555	86.000	86.050	152099392.00	
01299	友邦保险	0.61	480950368	55.400	55.063	200	8662949	0.09	55.800	55.800	55.150	--  	1.15	1.18	0.337	   1656	55.350	55.400	18507400.00	
01357	美图公司	1.93	349248288	10.560	10.360	500	33141500	0.19	10.620	10.700	10.300	--  	0.00	3.86	0.200	   2717	10.540	10.560	655026.50	
01088	中国神华	1.08	317303392	18.780	18.580	500	16989878	-0.21	18.620	18.840	18.400	--  	0.00	2.37	0.200	   1143	18.780	18.780	59632200.00	
00027	银河娱乐	1.96	317021280	41.700	40.900	1000	7654778	0.00	40.900	41.750	40.900	--  	0.00	2.08	0.800	    985	41.650	41.700	6626103.00	
00388	香港交易所	-0.36	302999072	196.400	197.100	100	1541394	-0.05	197.600	197.700	195.600	--  	0.00	1.07	-0.700	   1101	196.400	196.400	24547400.00	
00267	中信股份	3.30	292663520	11.900	11.520	1000	24589020	0.51	11.740	12.000	11.720	--  	1.93	2.43	0.380	   1043	11.880	11.900	723799488.00	
00883	中国海洋石油	0.43	288988320	9.240	9.200	1000	31199072	0.00	9.280	9.300	9.220	--  	2.49	0.87	0.040	   1031	9.230	9.240	63768100.00	
00386	中国石油化工股份	-1.24	200736096	6.370	6.450	2000	31327276	0.00	6.530	6.530	6.360	--  	2.98	2.64	-0.080	   1047	6.360	6.370	149860896.00	
00991	大唐发电	7.14	197468416	2.850	2.660	2000	70751408	1.42	2.740	2.850	2.700	--  	0.00	5.64	0.190	   1334	2.840	2.850	23203878.00	
00425	敏实集团	-0.81	188539552	30.750	31.000	2000	6075480	0.00	31.000	31.600	30.550	--  	2.21	3.39	-0.250	    822	30.700	30.750	1505071.25	
01288	农业银行	-1.08	181364528	3.660	3.700	1000	49441600	0.00	3.700	3.720	3.640	--  	0.00	2.16	-0.040	    796	3.660	3.660	2032398336.00	
00285	比亚迪电子	2.50	180296928	13.920	13.580	500	12849833	-0.29	13.760	14.300	13.580	--  	0.55	5.30	0.340	   1937	13.900	13.920	2399498.75	
02888	渣打集团	1.46	145038960	76.600	75.500	50	1891616	0.07	77.000	77.200	76.300	--  	0.00	1.19	1.100	    934	76.500	76.600	64669200.00	
01093	石药集团	2.26	139620992	11.740	11.480	2000	12094000	0.00	11.640	11.800	11.500	--  	1.02	2.61	0.260	    495	11.720	11.740	1476018.63	
02009	金隅股份	1.82	137406288	3.920	3.850	1000	35561500	0.26	3.860	3.930	3.800	--  	0.00	3.38	0.070	    872	3.910	3.920	20960400.00	
01071	华电国际电力股份	3.14	134699120	3.610	3.500	2000	37510000	0.28	3.560	3.620	3.550	--  	4.21	2.00	0.110	   1499	3.600	3.610	21307572.00	
00836	华润电力	2.68	133583136	15.300	14.900	2000	8782223	0.26	15.000	15.340	14.900	--  	4.90	2.95	0.400	    946	15.280	15.300	20011146.00	
