代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00700	腾讯控股	0.44	2166571008	274.800	273.600	100	7870763	0.00	273.400	277.000	273.400	--  	0.00	1.32	1.200	   2803	274.600	274.800	43573800.00	
02800	盈富基金	0.58	1485513984	25.800	25.650	500	57486260	0.00	25.700	25.900	25.700	--  	0.00	0.78	0.150	    768	--  	25.800	0.00	
03333	中国恒大	4.80	1282875776	12.220	11.660	1000	105430528	0.16	11.880	12.460	11.680	--  	0.00	6.69	0.560	   3130	12.200	12.220	135086800.00	
02318	中国平安	1.96	1110549760	49.450	48.500	500	22467156	0.20	48.950	49.850	48.700	--  	0.00	2.37	0.950	   1659	49.450	49.450	577331776.00	
02828	恒生Ｈ股	0.96	829350528	105.600	104.600	200	7853932	-0.09	104.900	106.100	104.900	--  	0.00	1.15	1.000	    277	--  	105.600	0.00	
00688	中国海外发展	3.08	601241920	23.450	22.750	2000	25713016	-0.21	22.850	23.600	22.800	--  	1.79	3.52	0.700	   1229	23.450	23.450	57128928.00	
02628	中国人寿	1.40	598369856	25.350	25.000	1000	23519900	0.00	25.100	25.700	25.000	--  	0.00	2.80	0.350	   1292	25.350	25.350	280570208.00	
00939	建设银行	1.27	545304192	6.380	6.300	1000	85609224	0.00	6.330	6.400	6.320	--  	0.00	1.27	0.080	   1187	6.370	6.380	2169520384.00	
03968	招商银行	4.36	503910528	23.950	22.950	500	21215828	0.21	23.300	24.150	23.000	--  	0.00	5.01	1.000	   1030	23.900	23.950	600067392.00	
02007	碧桂园	5.45	355220768	8.700	8.250	1000	40882844	-0.46	8.380	8.880	8.380	--  	1.31	6.06	0.450	   2854	8.690	8.700	59157160.00	
00410	ＳＯＨＯ中国	3.03	345465152	4.420	4.290	500	80246512	0.00	4.340	4.470	4.340	--  	8.76	3.03	0.130	    731	4.410	4.420	6740584.50	
00941	中国移动	0.58	308079648	86.800	86.300	500	3549967	0.06	86.850	86.900	86.600	--  	1.43	0.35	0.500	    664	86.750	86.800	152099392.00	
01398	工商银行	0.59	266580144	5.140	5.110	1000	51861572	0.19	5.110	5.160	5.110	--  	0.00	0.98	0.030	    717	5.140	5.140	2490493696.00	
03988	中国银行	0.78	260189600	3.890	3.860	1000	66993608	0.26	3.860	3.900	3.860	--  	0.00	1.04	0.030	    583	3.880	3.890	1891754880.00	
01109	华润置地	3.71	255819280	22.350	21.550	2000	11447510	0.00	21.900	22.700	21.800	--  	2.74	4.18	0.800	    778	22.300	22.350	42704476.00	
00001	长和	-0.29	236967600	101.400	101.700	500	2322148	0.00	101.700	102.400	101.300	--  	1.92	1.08	-0.300	    551	101.400	101.400	101346496.00	
00027	银河娱乐	0.23	234662256	42.750	42.650	1000	5469509	0.12	42.800	43.200	42.500	--  	0.00	1.64	0.100	    624	42.700	42.750	6626103.00	
00288	万洲国际	1.57	232763360	7.130	7.020	500	32639864	0.00	7.090	7.170	7.060	--  	2.95	1.57	0.110	   1523	7.130	7.130	1361100.00	
02822	南方Ａ５０	1.34	205352032	12.100	11.940	200	17016990	0.00	11.940	12.120	11.940	--  	0.00	1.51	0.160	    181	--  	12.100	0.00	
00175	吉利汽车	-1.03	205296880	11.540	11.660	5000	17596836	-0.17	11.840	11.860	11.500	--  	1.04	3.09	-0.120	    708	11.520	11.540	6758283.50	
00016	新鸿基地产	0.96	190301568	115.200	114.100	1000	1651495	0.09	114.400	116.400	114.400	--  	0.95	1.75	1.100	    414	115.100	115.200	62100100.00	
02202	万科企业	2.47	183960192	20.350	19.860	100	9060966	0.00	19.980	20.500	19.960	--  	0.00	2.72	0.490	    884	20.300	20.350	88692136.00	
01288	农业银行	1.08	177096816	3.740	3.700	1000	47383700	0.00	3.710	3.760	3.700	--  	0.00	1.62	0.040	    787	3.730	3.740	2032398336.00	
02823	Ｘ安硕Ａ５０中国	1.22	151300560	11.660	11.520	100	13048450	0.17	11.500	11.660	11.500	--  	0.00	1.39	0.140	    266	--  	11.660	0.00	
01918	融创中国	0.83	149463968	12.160	12.060	1000	12180287	-0.16	12.160	12.400	12.120	--  	2.36	2.32	0.100	    912	12.140	12.160	29318310.00	
02333	长城汽车	1.25	146337168	8.110	8.010	500	18207036	-0.12	8.040	8.190	8.020	--  	0.00	2.12	0.100	    576	8.110	8.110	8983688.00	
00857	中国石油股份	0.19	121932720	5.330	5.320	2000	22843664	0.00	5.370	5.370	5.310	--  	0.00	1.13	0.010	    363	5.330	5.330	238985104.00	
03383	雅居乐集团	2.82	120098448	7.300	7.100	2000	16600300	0.27	7.120	7.330	7.100	--  	6.16	3.24	0.200	    932	7.290	7.300	13172490.00	
01044	恒安国际	0.72	114177256	55.600	55.200	500	2060417	0.00	55.250	55.900	55.250	--  	2.21	1.18	0.400	    524	55.550	55.600	3414472.75	
02601	中国太保	2.77	112310552	29.650	28.850	200	3801694	0.00	29.200	29.800	29.150	--  	0.00	2.25	0.800	    782	29.600	29.650	108917104.00	
01336	新华保险	0.37	107008368	40.950	40.800	100	2604056	-0.12	41.200	41.400	40.950	--  	0.00	1.10	0.150	    445	40.950	40.950	71053296.00	
01141	天顺证券	0.00	92964464	0.430	0.430	10000	209826000	0.00	0.435	0.450	0.425	--  	0.00	5.81	0.000	    195	--  	0.430	282755.09	
00823	领展房产基金	1.36	92088744	59.800	59.000	500	1544381	-0.17	59.400	59.900	59.300	--  	0.00	1.02	0.800	    344	--  	59.800	0.00	
02388	中银香港	1.01	88686152	34.900	34.550	500	2549460	0.14	34.700	34.950	34.400	--  	1.79	1.59	0.350	    487	34.850	34.900	232778096.00	
00728	中国电信	0.78	85012264	3.890	3.860	2000	21762710	-0.26	3.890	3.940	3.880	--  	0.00	1.55	0.030	    436	3.890	3.890	65236800.00	
01099	国药控股	2.00	84686856	35.700	35.000	400	2393061	-0.14	35.400	35.700	35.250	--  	0.00	1.29	0.700	    748	35.650	35.700	15938198.00	
00136	恒腾网络	-4.29	84432600	0.134	0.140	4000	605225856	0.00	0.143	0.148	0.132	--  	0.00	11.43	-0.006	   1474	0.133	0.134	110087.60	
00960	龙湖地产	0.81	83428584	14.940	14.820	500	5545476	-0.27	14.960	15.300	14.760	--  	3.49	3.64	0.120	    745	14.920	14.940	22483038.00	
01999	敏华控股	8.03	83152672	7.670	7.100	400	11090800	0.39	7.280	7.680	7.160	--  	1.83	7.32	0.570	    778	7.670	7.670	633196.63	
00004	九龙仓集团	1.52	82116184	66.800	65.800	1000	1227784	0.15	66.950	67.300	66.400	--  	2.35	1.37	1.000	    313	66.700	66.800	44382700.00	
00883	中国海洋石油	0.55	81975952	9.170	9.120	1000	8964114	0.00	9.140	9.190	9.110	--  	2.51	0.88	0.050	    568	9.160	9.170	63768100.00	
01088	中国神华	0.31	81726536	19.380	19.320	500	4213939	0.00	19.480	19.480	19.320	--  	0.00	0.83	0.060	    554	19.380	19.380	59632200.00	
02328	中国财险	0.31	79875064	12.860	12.820	2000	6208317	0.00	12.820	12.960	12.760	--  	2.68	1.56	0.040	    255	12.860	12.860	47594900.00	
00799	IGG	-0.73	79485792	10.840	10.920	1000	7209209	-0.55	10.960	11.200	10.820	--  	0.00	3.48	-0.080	    711	10.860	10.860	24343.10	
00696	中国民航信息网络	3.23	78352736	22.400	21.700	1000	3548410	0.45	21.750	22.850	21.700	--  	1.11	5.30	0.700	    315	22.300	22.400	1813066.38	
00386	中国石油化工股份	0.80	77538568	6.320	6.270	2000	12278189	-0.16	6.280	6.340	6.280	--  	0.00	0.96	0.050	    340	6.310	6.320	147891696.00	
00992	联想集团	0.00	75379760	4.870	4.870	2000	15493941	0.00	4.910	4.910	4.840	--  	0.00	1.44	0.000	    582	4.870	4.870	2720379.50	
02777	富力地产	2.82	73840808	12.380	12.040	400	5973833	-0.16	12.100	12.480	12.100	--  	0.00	3.16	0.340	    554	12.360	12.380	23250372.00	
