代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00700	腾讯控股	1.16	4519556608	278.600	275.400	100	16212569	-0.07	279.000	280.600	277.600	--  	0.22	1.09	3.200	   7067	278.400	278.600	39589900.00	
02318	中国平安	1.76	1652196224	49.050	48.200	500	33630408	-0.20	48.400	49.500	48.300	--  	0.00	2.49	0.850	   3200	49.050	49.050	577331776.00	
02628	中国人寿	2.01	947889024	25.350	24.850	1000	37438440	0.20	24.950	25.650	24.850	--  	0.00	3.22	0.500	   1924	25.300	25.350	280570208.00	
03968	招商银行	5.92	885131776	23.250	21.950	500	38691928	0.22	21.950	23.550	21.850	--  	0.00	7.74	1.300	   2869	23.200	23.250	600067392.00	
02800	盈富基金	0.19	758754048	25.700	25.650	500	29536408	0.00	25.700	25.750	25.600	110286832	0.00	0.58	0.050	    359	--  	25.700	0.00	
02828	恒生Ｈ股	0.58	538903360	104.900	104.300	200	5146666	0.00	104.300	105.200	104.200	16493441	0.00	0.96	0.600	    358	--  	104.900	0.00	
00175	吉利汽车	1.03	510263776	11.720	11.600	5000	43268884	0.17	11.520	11.940	11.500	--  	1.02	3.79	0.120	   1598	11.700	11.720	6758283.50	
00027	银河娱乐	2.79	488828000	42.300	41.150	1000	11636428	0.12	41.700	42.450	41.400	--  	0.00	2.55	1.150	   1538	42.250	42.300	6626103.00	
00941	中国移动	0.06	359454336	86.500	86.450	500	4153743	0.00	86.050	86.800	86.050	--  	1.44	0.87	0.050	   1302	86.450	86.500	152099392.00	
01336	新华保险	1.83	324669952	41.650	40.900	100	7806300	0.00	40.600	42.050	40.600	--  	0.00	3.55	0.750	   2212	41.600	41.650	71053296.00	
02382	舜宇光学科技	0.56	311647392	63.000	62.650	1000	4850733	-1.33	63.600	64.850	63.000	--  	0.51	2.95	0.350	   1280	63.000	63.000	1163653.88	
00241	阿里健康	8.88	295708352	4.660	4.280	2000	64002048	-0.21	4.350	4.890	4.300	--  	0.00	13.79	0.380	   2444	4.660	4.660	167970.00	
03333	中国恒大	0.61	277819872	9.920	9.860	1000	28009696	-0.20	9.940	10.040	9.780	--  	0.00	2.64	0.060	   1310	9.920	9.920	135086800.00	
01928	金沙中国有限公司	1.31	273868736	34.750	34.300	400	7866329	0.14	34.700	35.050	34.500	--  	0.00	1.60	0.450	   1498	34.700	34.750	1118300.00	
03188	华夏沪深三百	0.38	273068800	39.600	39.450	200	6890410	0.00	39.450	39.750	39.400	131894128	0.00	0.89	0.150	    486	--  	39.600	0.00	
01088	中国神华	2.01	246785840	19.280	18.900	500	12880700	-0.10	18.720	19.400	18.700	--  	0.00	3.70	0.380	   1012	19.260	19.280	59632200.00	
02822	南方Ａ５０	1.02	244446304	11.940	11.820	200	20497260	-0.17	11.820	12.000	11.820	67639264	0.00	1.52	0.120	    291	--  	11.940	0.00	
02388	中银香港	1.60	223622624	35.000	34.450	500	6445421	0.00	34.100	35.000	34.100	--  	1.79	2.61	0.550	    989	34.950	35.000	232778096.00	
01128	永利澳门	2.78	213040112	17.020	16.560	400	12520200	0.00	16.660	17.200	16.640	--  	2.47	3.38	0.460	   1539	17.020	17.020	4294547.50	
02823	Ｘ安硕Ａ５０中国	1.05	207041552	11.560	11.440	100	17966896	0.00	11.460	11.600	11.420	36435312	0.00	1.57	0.120	    410	--  	11.560	0.00	
00200	新濠国际发展	8.22	199749376	19.480	18.000	1000	10421400	0.62	18.140	19.640	18.140	--  	0.10	8.33	1.480	   1122	19.460	19.480	10365093.00	
00285	比亚迪电子	-0.42	179546016	14.320	14.380	500	12097500	-0.56	14.480	15.080	14.300	--  	0.54	5.42	-0.060	   1905	14.300	14.320	2399498.75	
02601	中国太保	1.04	173915456	29.250	28.950	200	5917600	-0.34	28.800	29.650	28.750	--  	0.00	3.11	0.300	   1265	29.250	29.250	108917104.00	
01288	农业银行	0.55	169926384	3.670	3.650	1000	46450928	0.00	3.670	3.680	3.640	--  	0.00	1.10	0.020	    683	3.660	3.670	2032398336.00	
00880	澳博控股	0.83	153729280	7.300	7.240	1000	21176864	-0.14	7.290	7.400	7.260	--  	2.47	1.93	0.060	    758	7.300	7.300	3875500.00	
00762	中国联通	1.35	150056400	10.500	10.360	2000	14398085	0.77	10.380	10.500	10.340	--  	0.00	1.54	0.140	    577	10.480	10.500	61415400.00	
00288	万洲国际	0.00	141224656	6.950	6.950	500	20336788	0.00	6.980	6.990	6.900	--  	3.02	1.29	0.000	   1366	6.940	6.950	1361100.00	
01060	阿里影业	2.99	114330952	1.380	1.340	10000	83108200	0.00	1.350	1.410	1.340	--  	0.00	5.22	0.040	    820	1.370	1.380	1956306.25	
00019	太古股份公司Ａ	1.66	103589152	76.750	75.500	500	1357321	0.07	76.250	76.850	75.800	--  	1.43	1.39	1.250	    366	76.700	76.750	37349800.00	
03888	金山软件	-0.68	103065456	21.950	22.100	1000	4663900	0.00	22.400	22.400	21.800	--  	0.46	2.71	-0.150	    530	21.950	21.950	1757895.25	
00958	华能新能源	0.00	85691880	2.620	2.620	2000	32710900	0.00	2.640	2.640	2.600	--  	1.76	1.53	0.000	    587	2.610	2.620	8544461.00	
01169	海尔电器	2.50	84452056	19.680	19.200	1000	4323058	0.10	19.220	19.800	19.220	--  	0.86	3.02	0.480	    636	19.660	19.680	3614897.50	
00267	中信股份	0.50	83541752	12.160	12.100	1000	6881904	0.16	12.180	12.180	12.040	--  	1.89	1.16	0.060	    854	12.140	12.160	723799488.00	
00460	四环医药	1.16	83394576	3.500	3.460	1000	23787100	0.57	3.460	3.550	3.460	--  	2.97	2.60	0.040	   1122	3.490	3.500	1218760.38	
02328	中国财险	0.77	81165144	13.100	13.000	2000	6184052	-0.15	13.000	13.200	12.960	--  	2.63	1.85	0.100	    493	13.100	13.100	47594900.00	
02688	新奥能源	-0.12	79419056	40.850	40.900	1000	1935175	-0.37	42.100	42.100	40.800	--  	2.03	3.18	-0.050	    444	40.800	40.850	5138100.00	
