代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
03968	招商银行	0.66	553181696	22.950	22.800	500	23853662	0.00	22.800	23.600	22.700	--  	0.00	3.95	0.150	   1471	22.950	22.950	600067392.00	
00005	汇丰控股	0.22	445094528	67.800	67.650	400	6574636	0.00	67.400	67.950	67.300	--  	2.40	0.96	0.150	    933	67.750	67.800	237498592.00	
03333	中国恒大	5.74	433922176	10.500	9.930	1000	41936416	0.00	10.040	10.540	10.000	--  	0.00	5.44	0.570	   1578	10.480	10.500	135086800.00	
00001	长和	0.90	341138368	101.200	100.300	500	3366924	-0.10	100.600	102.000	100.200	--  	1.92	1.79	0.900	   1182	101.200	101.200	101346496.00	
00762	中国联通	1.49	262421104	10.920	10.760	2000	24123388	0.18	10.760	11.020	10.760	--  	0.00	2.42	0.160	    659	10.900	10.920	61415400.00	
01299	友邦保险	0.00	197975952	54.800	54.800	200	3617629	0.09	54.800	54.950	54.500	--  	1.16	0.82	0.000	    914	54.750	54.800	18507400.00	
01088	中国神华	2.00	192520672	19.400	19.020	500	9962195	0.10	19.100	19.420	19.100	--  	0.00	1.68	0.380	   1066	19.400	19.400	59632200.00	
00200	新濠国际发展	-0.20	176601312	19.560	19.600	1000	9068095	0.41	19.400	19.900	18.940	--  	0.10	4.90	-0.040	   1405	19.540	19.560	10365093.00	
00288	万洲国际	-0.14	137206928	6.990	7.000	500	19636234	-0.14	6.970	7.010	6.960	--  	3.00	0.71	-0.010	   1212	6.990	6.990	1361100.00	
00293	国泰航空	4.18	118990896	11.960	11.480	1000	10095173	0.34	11.500	12.060	11.480	--  	0.00	5.05	0.480	    762	11.940	11.960	17742100.00	
00688	中国海外发展	0.45	110035928	22.550	22.450	2000	4890954	-0.22	22.450	22.600	22.350	--  	1.86	1.11	0.100	    445	22.550	22.550	57128928.00	
