代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
02018	瑞声科技	2.89	771736128	153.000	153.000	153.100	5038858	248500	-0.20	          0.41	
601111	中国国航	2.81	769039744	13.53	13.53	13.54	577315	251	0.52	          0.68	
002371	北方华创	1.94	750489216	37.25	37.24	37.25	199357	1455	0.03	          5.69	
601328	交通银行	0.31	749493760	6.47	6.47	6.48	1162171	186	0.00	          0.30	
600276	恒瑞医药	2.31	746919552	76.19	76.22	76.23	98475	136	0.00	          0.35	
600760	中航沈飞	4.86	742844352	31.49	31.47	31.48	240345	60	-0.09	          6.97	
601601	中国太保	3.51	723746048	40.39	40.39	40.40	182538	68	0.30	          0.29	
601888	中国国旅	2.97	720905216	55.13	55.16	55.17	131866	2	-0.15	          0.68	
02601	中国太保	2.14	714353600	38.150	38.150	38.200	18796488	1878000	-0.65	          0.68	
00981	中芯国际	4.22	702564992	10.860	10.860	10.900	64343432	1328500	-0.37	          1.31	
01928	金沙中国有限公司	2.74	688819584	43.050	43.000	43.050	16054713	893200	-0.35	          0.20	
600282	南钢股份	4.09	669314176	5.34	5.34	5.35	1279596	386	0.19	          3.30	
601108	财通证券	2.81	660201984	16.44	16.44	16.45	404240	820	0.24	         11.26	
002016	世荣兆业	7.08	657762048	14.22	14.21	14.22	474614	5568	0.00	          7.35	
603559	中通国脉	4.44	653782400	34.34	34.33	34.34	192278	32	-0.45	         24.19	
02357	中航科工	13.45	650298112	5.060	5.060	5.070	131792984	2224000	-0.20	          5.59	
002600	江粉磁材	4.83	646036160	8.46	8.46	8.47	770216	11834	0.12	          5.80	
002223	鱼跃医疗	3.04	627938048	22.68	22.68	22.69	277387	1960	0.04	          3.24	
600216	浙江医药	4.02	626640128	17.59	17.58	17.59	362863	1	0.06	          3.83	
601012	隆基股份	1.72	618044928	36.67	36.66	36.69	168867	105	0.19	          0.85	
02382	舜宇光学科技	1.54	617717248	131.900	131.900	132.000	4697357	194300	-0.30	          0.43	
601678	滨化股份	6.24	617005632	10.22	10.21	10.22	628088	477	0.49	          5.29	
300676	华大基因	0.01	616459648	175.18	175.18	175.19	34883	221	0.01	          8.70	
300316	晶盛机电	3.50	605260736	19.82	19.82	19.83	301672	2354	-0.19	          3.28	
600325	华发股份	5.37	605231552	8.44	8.44	8.46	735305	828	0.12	          3.84	
300110	华仁药业	2.05	596398784	6.48	6.47	6.48	933616	16321	0.00	          7.90	
002024	苏宁易购	1.01	595013568	12.94	12.93	12.94	464199	6436	0.08	          0.93	
000776	广发证券	2.14	583672448	16.72	16.71	16.72	351357	3732	0.06	          0.59	
002019	亿帆医药	1.08	582896192	21.48	21.47	21.48	269194	1908	-0.04	          3.80	
603260	合盛硅业	7.71	582862016	62.01	61.97	61.98	96552	15	0.83	         13.79	
002102	冠福股份	3.11	570040384	5.30	5.30	5.31	1104132	23078	0.19	          6.98	
600348	阳泉煤业	9.24	569495424	8.87	8.85	8.86	666724	3	-0.10	          2.77	
002027	分众传媒	0.00	556222720	14.82	14.81	14.82	376161	4986	0.27	          0.65	
000970	中科三环	0.85	552349760	12.98	12.97	12.98	425995	6233	-0.14	          4.00	
002680	长生生物	8.94	552188864	16.20	16.19	16.20	346769	3326	0.19	          8.64	
