代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
600633	浙数文化	-2.19	134226784	    10.12	        209.35亿	          0.69	出版业	5	0.00	16.09	16.40	16.62	15.91	
600718	东软集团	-0.87	120229576	    89.68	        197.67亿	          0.61	软件服务	8	-0.12	15.90	15.96	16.18	15.79	
600728	佳都科技	-4.32	169824000	   215.99	        154.13亿	          1.32	软件服务	1	-0.30	9.56	9.96	9.96	9.49	
600797	浙大网新	-1.55	229808496	    50.84	        140.66亿	          2.07	软件服务	13	0.15	13.32	13.41	13.60	13.16	
600839	四川长虹	-1.12	160003680	    73.34	        163.42亿	          0.97	家用电器	205	0.00	3.54	3.57	3.60	3.51	
600895	张江高科	0.18	71403424	    49.49	        260.33亿	          0.27	园区开发	13	-0.11	16.82	16.91	16.97	16.71	
603015	弘讯科技	0.10	17099968	    56.00	         40.14亿	          1.08	电气设备	30	0.71	9.90	9.88	10.02	9.79	
603019	中科曙光	2.63	1628655104	   276.04	        278.62亿	          5.83	电脑设备	83	0.12	43.36	41.91	45.17	41.91	
603160	汇顶科技	-2.00	298432512	    49.58	        504.14亿	          1.16	元器件	12	0.00	111.20	112.44	114.95	109.69	
603656	泰禾光电	-1.14	89292480	    49.39	         40.60亿	          8.82	专用机械	7	-0.07	38.25	38.45	38.49	37.50	
数据来源:通达信
