代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
002418	康盛股份	-0.87	41593348	    41.10	        103.53亿	          0.82	机械基件	432	0.11	9.12	9.18	9.31	9.04	
002434	万里扬	-2.45	101000352	    18.99	        145.26亿	          0.91	汽车配件	606	-0.08	10.77	10.93	11.00	10.60	
002441	众业达	-1.99	70548440	    24.39	         61.61亿	          1.58	批发业	769	-0.08	11.32	11.50	11.58	11.21	
002450	康得新	0.25	769497472	    34.12	        854.92亿	          1.10	化工原料	5318	0.17	24.19	24.29	24.40	23.93	
002452	长高集团	-1.46	156064144	    40.09	         39.09亿	          5.99	电气设备	2833	-0.52	7.45	7.50	7.66	7.42	
002454	松芝股份	-2.19	72189792	    24.22	         52.83亿	          1.80	汽车配件	327	0.08	12.52	12.75	12.80	12.35	
002472	双环传动	-1.75	77439384	    29.86	         72.14亿	          1.31	机械基件	313	0.09	10.66	11.12	11.18	10.60	
002516	旷达科技	1.25	145482848	    22.16	         85.04亿	          3.30	纺织	1641	0.00	5.67	5.80	5.85	5.58	
002519	银河电子	0.97	56112204	    47.62	         83.61亿	          0.90	通信设备	531	0.27	7.33	7.22	7.35	7.08	
002529	海源机械	0.36	23696170	   102.54	         43.81亿	          0.70	专用机械	87	0.00	16.86	16.77	17.04	16.62	
002533	金杯电工	-0.69	21522062	    27.80	         40.05亿	          0.58	电气设备	185	0.00	7.25	7.30	7.34	7.20	
002540	亚太科技	-2.68	32389316	    25.08	         71.66亿	          0.66	铝	798	-0.28	6.90	7.08	7.11	6.88	
002590	万安科技	-3.57	117106064	    54.63	         68.69亿	          1.87	汽车配件	721	0.07	14.33	14.51	14.74	14.12	
002594	比亚迪	1.47	903065024	    47.09	       1164.94亿	          1.23	汽车整车	1237	-0.07	64.25	63.32	65.65	63.03	
002610	爱康科技	-1.20	50915356	    53.53	        110.48亿	          0.48	电气设备	2048	-0.39	2.47	2.48	2.49	2.45	
002611	东方精工	0.76	58341656	    56.02	        152.84亿	          1.25	轻工机械	630	-0.36	13.31	13.30	13.35	13.06	
002617	露笑科技	-0.38	44194744	    36.68	        114.19亿	          0.41	电气设备	1005	0.26	15.55	15.68	15.68	15.30	
002632	道明光学	-0.23	26585304	    47.78	         52.87亿	          0.55	化工原料	120	0.12	8.69	8.71	8.79	8.64	
002660	茂硕电源	-3.84	105540776	   120.30	         29.59亿	          5.05	电气设备	2089	0.00	10.77	11.26	11.33	10.63	
002662	京威股份	-0.49	150420208	    39.37	        122.25亿	          1.50	汽车配件	2336	0.12	8.15	8.14	8.28	8.02	
002664	信质电机	-0.77	107655048	    47.86	        123.01亿	          1.00	汽车配件	244	0.07	30.76	31.05	31.29	30.55	
