代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
300708	聚灿光电	10.04	1798709	    32.15	         39.78亿	          0.18	半导体	48	0.00	--  	15.46	15.46	15.46	
600100	同方股份	0.55	219598048	--  	        326.62亿	          0.90	电脑设备	70	0.09	11.03	10.97	11.17	10.92	
600130	波导股份	-4.78	165693552	--  	         47.46亿	          3.52	通信设备	24	0.00	6.18	6.07	6.24	6.06	
600171	上海贝岭	2.36	265838352	    43.14	         87.73亿	          3.05	半导体	22	0.39	13.04	12.63	13.08	12.61	
600198	大唐电信	1.06	148902048	--  	        118.11亿	          1.28	通信设备	10	0.22	13.39	13.25	13.47	13.15	
600360	华微电子	-4.80	242244352	    74.96	         55.59亿	          4.37	半导体	453	0.00	7.52	7.33	7.75	7.32	
600460	士兰微	2.64	1044720832	    72.79	        131.08亿	          8.12	半导体	31	1.15	10.52	10.14	10.59	9.85	
600584	长电科技	2.40	1424464640	   142.01	        312.76亿	          6.24	半导体	27	-0.34	23.02	22.40	23.89	22.08	
600667	太极实业	4.40	673063616	    41.65	        164.91亿	          7.21	半导体	231	0.13	7.83	7.58	8.05	7.53	
600703	三安光电	2.57	1101377664	    34.38	       1089.76亿	          1.02	半导体	11	0.53	26.73	25.91	27.08	25.80	
600770	综艺股份	-0.27	48626360	   199.13	         94.77亿	          0.51	综合类	56	0.00	7.30	7.29	7.45	7.22	
603005	晶方科技	1.87	130427000	    78.07	         67.32亿	          2.66	半导体	5	0.70	28.95	28.12	29.17	28.11	
603010	万盛股份	3.64	103272336	    58.69	         78.33亿	          1.55	化工原料	20	0.46	30.80	29.60	30.81	29.38	
603019	中科曙光	2.63	1628655104	   276.04	        278.62亿	          5.83	电脑设备	83	0.12	43.36	41.91	45.17	41.91	
603160	汇顶科技	-2.00	298432512	    49.58	        504.14亿	          1.16	元器件	12	0.00	111.20	112.44	114.95	109.69	
603501	韦尔股份	4.12	655609280	   103.74	        138.82亿	         47.35	半导体	45	-0.35	33.30	32.38	34.50	32.20	
603986	兆易创新	0.00	0	    73.05	        330.63亿	          0.00	半导体	0	0.00	--  	--  	--  	--  	
数据来源:通达信
