代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
600846	同济科技	-5.06	333520768	    47.94	         64.48亿	          5.09	综合类	20	0.00	10.33	10.91	10.96	10.08	
600874	创业环保	-2.94	197237136	    39.70	        165.37亿	          1.18	环境保护	16	0.00	15.21	15.40	15.58	15.09	
600969	郴电国际	-1.36	22414494	    37.69	         36.29亿	          0.61	水力发电	25	0.51	13.76	13.90	13.93	13.64	
601113	华鼎股份	2.51	47131792	   131.86	        102.05亿	          0.61	化纤	10	0.49	12.26	11.92	12.27	11.73	
601158	重庆水务	-0.75	25603540	    15.97	        319.20亿	          0.08	水务	29	0.00	6.66	6.72	6.73	6.63	
601200	上海环境	2.72	597944384	    31.05	        196.29亿	          3.21	环境保护	562	0.22	27.95	26.97	27.96	26.82	
601368	绿城水务	-0.69	37674564	    19.85	         74.24亿	          1.27	水务	827	0.20	10.14	10.14	10.18	9.97	
603200	上海洗霸	-3.19	109835232	    59.81	         36.43亿	         12.04	环境保护	2	0.08	49.42	50.56	51.02	48.28	
603603	博天环境	-3.39	138604832	    94.66	        173.28亿	          7.87	环境保护	5	-0.38	43.32	44.70	45.20	43.12	
603797	联泰环保	1.11	152693120	    78.05	         46.44亿	         13.10	环境保护	18	0.23	21.78	21.92	22.27	21.38	
603817	海峡环保	-2.62	63288684	    61.28	         63.59亿	          3.91	环境保护	8	-0.55	14.13	14.65	14.76	14.03	
603903	中持股份	-1.61	64002728	   108.44	         42.70亿	          5.95	环境保护	9	-0.06	41.68	42.18	42.55	41.50	
数据来源:通达信
