代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
600863	内蒙华电	0.00	30353050	    27.11	        175.39亿	          0.17	火力发电	5	-0.32	3.03	3.02	3.04	3.01	
600864	哈投股份	-0.25	23346328	    39.16	        168.05亿	          0.19	火力发电	44	0.25	7.98	8.03	8.06	7.93	
600868	梅雁吉祥	-2.11	183139632	    55.41	         87.88亿	          2.08	水力发电	509	0.22	4.63	4.73	4.73	4.57	
600886	国投电力	0.13	267196400	    12.93	        508.95亿	          0.53	水力发电	1	-0.12	7.49	7.48	7.53	7.39	
600900	长江电力	0.38	411728128	    14.91	       3528.80亿	          0.22	水力发电	29	-0.05	16.03	15.92	16.08	15.79	
600969	郴电国际	-1.36	22414494	    37.69	         36.29亿	          0.61	水力发电	25	0.51	13.76	13.90	13.93	13.64	
600979	广安爱众	-0.37	22332706	    18.75	         51.38亿	          0.58	水力发电	9	0.37	5.42	5.42	5.46	5.35	
600995	文山电力	-1.85	63827464	    16.28	         48.28亿	          1.31	水力发电	2	0.10	10.08	10.29	10.35	10.00	
601016	节能风电	-0.53	43294336	    40.82	        154.59亿	          0.28	新型电力	2	0.27	3.72	3.72	3.74	3.69	
601619	嘉泽新能	0.00	0	    89.15	        152.71亿	          0.00	新型电力	0	0.00	--  	--  	--  	--  	
601985	中国核电	0.13	449297248	    22.19	       1214.10亿	          1.37	新型电力	254	0.00	7.80	7.77	7.82	7.69	
601991	大唐发电	0.67	104900384	    23.68	        452.74亿	          0.23	火力发电	30	0.22	4.53	4.50	4.56	4.46	
数据来源:通达信
