代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08251	优越集团控股	-1.54	292300	0.640	--  	450000	10000	0.00	          0.11	  1.68	0.650	
08218	毅高国际控股	-1.05	290408	0.188	--  	1560000	24000	0.00	          0.16	  2.03	0.184	
08212	誉满国际控股	2.92	282054	0.176	--  	1594014	336000	0.00	          0.10	 10.62	0.171	
08095	北大青鸟环宇	-4.90	278700	1.360	--  	202000	12000	-2.16	          0.03	  0.46	1.370	
08405	恒智控股	3.45	265280	0.900	--  	288000	24000	0.00	          0.07	  7.35	0.880	
08170	KSL HOLDINGS	1.27	260750	3.180	--  	83000	34000	1.60	          0.02	  0.33	3.170	
08030	汇联金融服务	0.00	242200	0.890	--  	275000	15000	0.00	          0.02	  0.47	0.880	
08419	ＡＶ策划推广	-2.94	239750	0.660	--  	370000	15000	3.12	          0.09	  1.64	0.660	
08456	民信国际控股	-2.38	237840	0.410	--  	576000	28000	-3.53	          0.14	  0.34	0.410	
08167	中国新电信	-0.60	233692	0.167	--  	1396000	12000	-0.60	          0.01	  0.37	0.168	
08007	环球战略集团	-2.78	225174	0.140	--  	1613900	10000	0.00	          0.03	  1.09	0.144	
08165	华普智通	-11.76	223225	0.030	--  	7382500	60000	-6.25	          0.32	  6.22	0.032	
08178	中国信息科技	2.36	212760	0.130	--  	1656000	24000	0.00	          0.03	  1.36	0.127	
08373	靛蓝星	-7.00	207950	0.930	--  	215000	10000	1.09	          0.05	  0.19	0.930	
08400	亚洲先锋娱乐	-3.43	207910	0.197	--  	1040000	10000	1.55	          0.10	  1.21	0.198	
08491	COOL LINK	-1.45	199475	0.340	--  	620000	60000	6.25	          0.10	  3.20	0.325	
08309	万成环球控股	-1.16	196650	0.425	--  	470000	50000	0.00	          0.08	  0.32	0.420	
08198	乐透互娱	4.00	191708	0.182	--  	1064000	80000	0.00	          0.03	  2.05	0.172	
08201	宝联控股	-2.67	189345	0.365	--  	512200	20000	0.00	          0.19	  1.49	0.375	
