代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08207	中新控股	-1.09	61467344	--  	--  	66914308	12000	0.00	          0.30	  1.35	0.920	
08227	西安海天天	5.99	55188772	--  	--  	8210000	2000	0.00	          1.27	  2.70	6.400	
08083	中国创新支付	3.77	30758072	--  	--  	56293000	44000	1.85	          0.81	  0.73	0.530	
08479	金泰丰国际控股	24.64	29694968	--  	--  	11124002	4000	0.78	          2.65	  1.75	2.260	
08349	美固科技控股	10.36	28783986	--  	--  	3581120	10000	-0.12	          0.90	  1.42	7.230	
08047	中国海洋捕捞	5.00	26091282	--  	--  	42788000	300000	-1.56	          1.47	  2.26	0.600	
08469	盛业资本	1.73	23126302	--  	--  	3050000	4000	0.00	          0.41	  1.52	7.640	
08291	万成金属包装	-50.88	17479200	--  	--  	11920000	10000	-2.63	          2.98	  1.92	2.130	
08473	弥明生活百货	1.49	14437801	--  	--  	20980000	90000	-1.45	          1.87	  0.35	0.690	
08228	国艺娱乐	0.00	13774401	--  	--  	38560000	100000	0.00	          0.85	  1.77	0.360	
08392	舍图控股	0.00	13266601	--  	--  	25770000	1120000	2.00	          2.58	  0.69	0.500	
08062	俊盟国际	3.57	13011201	--  	--  	22805000	35000	0.00	          4.75	  1.03	0.550	
08101	壹家壹品	6.41	12805277	--  	--  	75892000	52000	-0.60	          2.62	  1.10	0.158	
08359	HYPEBEAST	8.45	11753028	--  	--  	15380037	80000	0.00	          0.77	  0.50	0.740	
08138	同仁堂国药	2.30	11687421	--  	--  	825000	3000	0.28	          0.10	  0.98	14.000	
08445	怡康泰工程集团	5.97	10786201	--  	--  	15460000	20000	0.00	          2.58	  1.40	0.680	
08522	德益控股	4.76	10772801	--  	--  	8180000	20000	0.76	          2.20	  2.07	1.260	
08137	洪桥集团	3.03	10130320	--  	--  	6008000	2000	0.00	          0.06	  0.83	1.660	
08100	智易控股	0.00	9519010	--  	--  	22699000	6000	1.20	          5.11	  2.52	0.415	
08170	KSL HOLDINGS	3.02	9314590	--  	--  	2503000	4000	0.27	          0.61	  9.99	3.790	
08351	俊文宝石	5.63	9123900	--  	--  	24860000	40000	0.00	          0.69	 19.90	0.340	
08487	ISP GLOBAL	29.03	9090400	--  	--  	12460000	10000	-3.61	          1.56	  4.57	0.620	
08022	永耀集团控股	0.00	8508120	--  	--  	7908000	3000	0.00	          0.48	  1.30	1.080	
08279	亚博科技控股	13.79	7570641	--  	--  	7864000	4000	0.00	          0.07	  2.11	0.890	
08275	永勤集团控股	11.35	7548301	--  	--  	3810000	10000	1.48	          0.64	  0.63	1.850	
08179	新煮意控股	1.67	7471906	--  	--  	40082400	72000	0.00	          1.90	 15.43	0.181	
08128	中国地能	-3.37	7424677	--  	--  	41924000	8000	1.18	          1.04	  0.56	0.178	
08040	ＤＣＢ控股	13.01	6418901	--  	--  	4835000	5000	-0.71	          1.51	  2.03	1.240	
08532	宝发控股	18.23	5804177	--  	--  	25072000	24000	0.00	          3.13	  2.05	0.203	
08287	ZIONCOM	7.69	5748701	--  	--  	12380000	100000	2.08	          1.88	  3.81	0.455	
08457	健升物流中国	-8.30	5114900	--  	--  	21210000	10000	-0.82	          2.65	  6.91	0.265	
08367	倩碧控股	13.74	4852110	--  	--  	20670000	100000	0.00	          2.58	  1.58	0.211	
08073	兴业新材料	5.26	4425850	--  	--  	2848522	2217	0.63	          0.59	  1.15	1.540	
08158	中国再生医学	-1.14	4339295	--  	--  	25395000	50000	1.17	          0.14	  0.51	0.175	
08596	星亚控股	0.81	4060000	--  	--  	825000	50000	-0.20	          0.07	  0.62	4.800	
08483	名仕快相	-1.64	3949320	--  	--  	13040000	200000	0.00	          1.63	  0.27	0.300	
08226	树熊金融集团	-9.63	3623220	--  	--  	21560000	4000	0.60	          0.88	  4.60	0.187	
08342	飞思达科技	0.00	3566750	--  	--  	2585000	5000	0.00	          0.53	  1.97	1.380	
08265	中国之信集团	0.66	2925200	--  	--  	964000	4000	0.00	          0.04	  4.65	3.040	
08142	德利机械	1.39	2877600	--  	--  	7900000	150000	0.00	          0.79	  1.24	0.365	
08156	众彩股份	-3.66	2746850	--  	--  	3430000	10000	-1.25	          0.10	  0.47	0.820	
08163	万德金融	-2.30	2675260	--  	--  	32200000	500000	0.00	          1.58	  1.61	0.085	
08272	华人饮食集团	26.67	2658040	--  	--  	152020000	20000	5.56	          4.80	 18.81	0.015	
08462	桥英控股	1.12	2618350	--  	--  	1475000	5000	1.12	          0.25	  0.34	1.820	
08195	L&A INTL HOLD	0.00	2531741	--  	--  	31283600	144000	1.25	          2.44	  0.92	0.085	
08427	瑞强集团	1.85	2511080	--  	--  	8952000	40000	-3.51	          1.44	  3.44	0.265	
08426	雅居投资控股	2.65	2479141	--  	--  	10830002	20000	0.43	          1.35	  2.63	0.226	
08238	惠陶集团	6.25	2431498	--  	--  	35857600	136000	1.49	          0.42	  0.97	0.067	
08055	中国网络信息科技	-2.63	2356160	--  	--  	6216000	8000	-1.33	          0.17	  0.78	0.380	
08385	万里印刷	10.00	2207850	--  	--  	6710000	20000	0.00	          0.84	  3.90	0.300	
08300	皇玺餐饮集团	0.00	2177360	--  	--  	16680000	260000	0.00	          0.63	  0.77	0.131	
08422	ＷＴ集团	0.00	2080100	--  	--  	1710000	10000	2.48	          0.17	  0.67	1.230	
08313	杰地集团	1.61	2009300	--  	--  	6360000	500000	-1.56	          0.32	  3.71	0.310	
08246	北方新能源	0.00	1971680	--  	--  	7344000	80000	0.00	          0.21	  4.90	0.265	
08410	安领国际	-0.77	1912200	--  	--  	1480000	10000	0.00	          0.15	  3.43	1.320	
08147	汇思太平洋	0.00	1765492	--  	--  	7204000	20000	0.81	          0.13	  0.53	0.250	
08350	骏溢环球金融	-2.60	1500160	--  	--  	3968000	8000	1.35	          0.50	  1.59	0.375	
08347	Ｆ８企业	-1.18	1467880	--  	--  	3504000	48000	0.00	          0.44	  1.08	0.410	
08526	荣丰集团亚洲	7.25	1419800	--  	--  	3870000	30000	0.00	          0.67	  0.56	0.345	
08337	直通电讯	-9.84	1392110	--  	--  	7720000	120000	0.00	          0.25	  0.21	0.193	
