代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
02800	盈富基金	-0.16	690700608	--  	--  	21741746	777000	0.00	--  	  0.76	31.800	
02828	恒生中国企业	-0.31	671939072	--  	--  	5267285	79800	0.16	--  	  0.97	128.000	
00823	领展房产基金	-0.15	663204800	--  	--  	9672569	5968500	0.51	--  	  2.39	68.100	
02822	南方Ａ５０	-1.34	489153792	--  	--  	30041486	669000	-0.12	--  	  0.90	16.380	
02823	安硕Ａ５０	-1.50	454598880	--  	--  	28654912	872400	-0.13	--  	  1.05	16.000	
03188	华夏沪深三百	-1.16	276477728	--  	--  	5368189	150000	0.00	--  	  0.81	51.600	
07228	ＦＬ二　三星国指	-1.50	166067104	--  	--  	18012800	1000	-0.22	--  	  1.39	9.200	
07267	ＦＬ二华夏国指	-1.46	66634352	--  	--  	5461400	100	0.00	--  	  2.29	12.060	
07288	ＦＬ二南方国指	-1.43	59818788	--  	--  	5422800	8000	0.00	--  	  0.89	11.280	
07200	ＦＬ二南方恒指	-0.78	35775280	--  	--  	2805400	100	0.00	--  	  0.53	12.940	
02778	冠君产业信托	0.88	32586870	--  	--  	5701071	2076000	0.18	--  	  1.61	5.660	
00405	越秀房产信托基金	-0.91	27491212	--  	--  	5068015	1141000	0.18	--  	  0.83	5.460	
00778	置富产业信托	-0.32	26924066	--  	--  	2874678	650000	0.32	--  	  1.49	9.420	
07300	ＦＩ南方恒指	0.39	26746548	--  	--  	5187500	15900	0.00	--  	  0.46	5.140	
07221	ＦＬ二华夏恒指	-0.84	25676188	--  	--  	1819400	10000	0.14	--  	  0.97	14.040	
07230	ＦＬ二未来国指	-1.55	25247714	--  	--  	2202900	3000	0.00	--  	  1.04	11.380	
00808	泓富产业信托	-2.03	14778846	--  	--  	4377125	541000	0.00	--  	  6.13	3.440	
00435	阳光房地产基金	0.37	6044801	--  	--  	1131000	485000	0.37	--  	  1.44	5.340	
83115	安硕恒生指数－Ｒ	0.38	4567140	--  	--  	50000	1700	0.00	--  	  0.63	91.300	
02801	安硕中国ＥＴＦ	0.00	3744780	--  	--  	121800	200	0.00	--  	  0.83	30.900	
03040	未来ＭＳＣＩ中国	0.13	2315235	--  	--  	60800	100	-0.13	--  	  0.68	38.100	
02803	ＰＰ中国基石经济	-0.57	1708600	--  	--  	195000	5000	-0.23	--  	  0.50	8.750	
01881	富豪产业信托	0.82	1685020	--  	--  	683600	2000	0.41	--  	  0.90	2.450	
