代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
000895	双汇发展	-4.37	649676480	25.82	25.81	25.82	246269	1963	-0.26	          0.75	
600596	新安股份	-10.03	615687872	11.66	--  	11.66	486714	20	0.00	          7.17	
000426	兴业矿业	-5.33	615032768	11.02	11.02	11.03	525525	4650	1.01	          3.95	
002050	三花智控	-1.27	607552448	17.95	17.94	17.95	333562	4132	-0.10	          2.13	
002440	闰土股份	-2.78	593822016	20.99	20.98	20.99	275277	1689	0.58	          4.49	
601233	桐昆股份	-0.75	590503104	23.68	23.68	23.69	241401	2	-0.62	          2.00	
000878	云南铜业	-0.22	589121664	13.34	13.33	13.34	426446	6536	-0.14	          3.01	
600176	中国巨石	-4.10	581966144	15.45	15.42	15.43	366080	24	-0.38	          1.25	
000425	徐工机械	-1.13	581894784	4.36	4.36	4.37	1317786	7032	0.00	          1.88	
01658	邮储银行	-2.49	577356736	4.700	4.690	4.700	119883696	8267000	0.00	          0.60	
600970	中材国际	-4.32	576934528	9.75	9.73	9.74	575625	22	-0.09	          3.42	
600804	鹏博士	-9.61	573285120	12.14	12.13	12.14	461461	84	-0.07	          3.22	
300316	晶盛机电	-5.74	572747136	14.78	14.77	14.78	387254	1054	0.00	          4.21	
300708	聚灿光电	-3.41	561567808	27.20	27.20	27.21	209319	2251	-0.61	         32.54	
603058	永吉股份	-5.30	556034944	19.67	19.70	19.71	272680	54	-0.40	         11.96	
300487	蓝晓科技	-3.88	554369344	23.56	23.56	23.57	233439	3540	0.13	         27.59	
01030	新城发展控股	-8.99	551167552	5.870	5.860	5.870	89002000	418000	-0.17	          1.50	
00004	九龙仓集团	-4.85	550177408	28.450	28.400	28.450	18861512	637000	-0.18	          0.62	
002016	世荣兆业	-5.95	543862784	12.02	12.02	12.03	435740	5928	-0.82	          6.74	
000537	广宇发展	-10.01	541593152	13.12	--  	13.12	390633	1802	0.00	          7.62	
600801	华新水泥	-1.77	527264192	14.40	14.39	14.42	354682	717	0.56	          3.65	
600837	海通证券	-0.31	525550400	13.02	13.01	13.02	399409	5	-0.37	          0.49	
03993	洛阳钼业	-3.02	525298208	5.130	5.130	5.140	97407608	2967000	-0.39	          2.48	
600999	招商证券	-1.33	494952000	18.55	18.51	18.53	265845	67	0.11	          0.54	
03323	中国建材	-3.99	482485088	7.220	7.210	7.220	64311896	1006000	-0.14	          2.23	
600392	盛和资源	-0.07	480363744	13.98	13.98	13.99	338514	38	-0.28	          3.60	
600208	新湖中宝	-4.14	477776288	4.40	4.39	4.40	1062459	253	0.23	          1.24	
00011	恒生银行	-1.19	475365824	175.000	175.000	175.300	2681927	408800	-0.46	          0.14	
600466	蓝光发展	-7.36	470349536	9.69	9.67	9.68	464762	5	-0.09	          5.27	
000768	中航飞机	-5.26	463731040	13.14	13.14	13.15	347547	1246	0.00	          1.26	
00358	江西铜业股份	-2.76	458932128	12.680	12.660	12.680	35082384	556000	0.16	          2.53	
000735	罗 牛 山	-2.94	452596288	6.94	6.94	6.95	639083	4684	-0.28	          6.03	
600197	伊力特	-9.72	449118368	20.06	20.04	20.20	217035	8	-1.17	          4.92	
600760	中航沈飞	-3.13	446297024	24.13	24.11	24.13	183239	55	-0.03	          5.31	
600038	中直股份	-2.97	443593536	33.99	33.98	33.99	130105	6	-0.17	          2.21	
000039	中集集团	-0.60	438360096	18.25	18.25	18.26	237151	1049	0.27	          1.87	
601003	柳钢股份	-3.35	435386048	7.50	7.47	7.50	557195	10	0.27	          2.17	
00728	中国电信	-1.88	428592160	3.650	3.640	3.650	116198584	15020000	0.27	          0.84	
00066	港铁公司	-1.88	424010432	41.700	41.700	41.750	10061167	736500	-0.48	          0.17	
00003	香港中华煤气	-0.93	419531200	14.920	14.920	14.940	27950386	3101000	-0.27	          0.20	
600004	白云机场	-4.38	411557120	15.49	15.49	15.50	259094	12	-0.38	          1.25	
000402	金 融 街	-3.17	411422272	10.70	10.69	10.70	376835	1712	0.09	          1.26	
01186	中国铁建	-2.91	410346368	8.690	8.680	8.690	46943720	3870500	0.58	          2.26	
01055	中国南方航空股份	-4.39	406689504	9.360	9.340	9.360	41519444	680000	0.00	          1.35	
002302	西部建设	-2.48	405207456	15.72	15.72	15.73	249939	2543	0.32	          2.42	
300401	花园生物	-7.27	402599136	45.30	45.28	45.30	86031	659	-0.78	          5.05	
600153	建发股份	-1.99	397552960	12.31	12.30	12.31	316166	175	0.16	          1.12	
300104	乐视网	-10.07	396414624	4.82	--  	4.82	822437	21473	0.00	          3.23	
002371	北方华创	-2.86	389904960	26.15	26.10	26.15	149257	594	0.54	          4.26	
600643	爱建集团	-0.42	388554464	11.84	11.83	11.85	332113	10	-0.16	          2.32	
603329	上海雅仕	-5.77	386416256	27.75	27.73	27.74	136016	1	-0.03	         41.22	
002271	东方雨虹	-4.31	381833408	37.70	37.69	37.70	96987	443	-0.36	          1.70	
002597	金禾实业	-1.05	375294752	26.32	26.31	26.32	140005	1118	-0.14	          2.50	
300498	温氏股份	-0.35	372640032	22.53	22.53	22.55	163676	999	-0.30	          0.46	
600884	杉杉股份	-2.01	367285184	15.14	15.14	15.15	241022	10	0.00	          2.93	
