代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
02822	南方Ａ５０	1.31	666286144	15.420	15.220	200	43270400	0.00	15.260	15.500	15.240	43296496	0.00	1.71	0.200		2810000	15.420	
02800	盈富基金	0.84	659353280	30.050	29.800	500	21982618	0.00	29.850	30.100	29.850	176669840	0.00	0.84	0.250		5890500	30.050	
02823	安硕Ａ５０	1.76	657805248	15.000	14.740	100	43936532	0.13	14.780	15.040	14.760	23408158	0.00	1.90	0.260		1563400	15.000	
03188	华夏沪深三百	1.03	421754912	49.200	48.700	200	8590310	0.20	49.000	49.350	48.700	260627216	0.00	1.33	0.500		5307200	49.200	
02828	恒生Ｈ股	0.77	309863616	118.000	117.100	200	2630449	-0.08	117.400	118.200	117.300	114626768	0.00	0.77	0.900		973200	118.000	
00823	领展房产基金	1.25	209951440	72.900	72.000	500	2888861	0.21	72.200	72.900	72.000	15876626	0.00	1.25	0.900		218500	72.900	
02840	ＳＰＤＲ金ＥＴＦ	0.58	75164216	958.000	952.500	10	78550	-0.10	955.000	959.000	954.500	--  	0.00	0.47	5.500		--  	958.000	
03167	南方中国新行业	0.87	71919280	75.300	74.650	50	956850	0.00	75.000	75.350	74.750	--  	0.00	0.80	0.650		--  	75.300	
03115	安硕恒生指数	0.66	27805750	107.000	106.300	10	260220	0.00	106.600	107.000	106.400	--  	0.00	0.56	0.700		--  	107.000	
07288	ＦＬ二南方国指	1.48	21331352	9.620	9.480	100	2226400	-0.10	9.580	9.630	9.500	666988	0.00	1.37	0.140		69600	9.620	
02778	冠君产业信托	0.89	19188970	5.670	5.620	1000	3404000	0.35	5.610	5.670	5.610	857560	0.00	1.07	0.050		152000	5.670	
07230	ＦＬ二未来国指	1.62	18255906	10.020	9.860	100	1834800	0.00	9.920	10.020	9.890	9706058	0.00	1.32	0.160		975600	10.020	
07300	ＦＩ南方恒指	-1.08	14603348	5.480	5.540	100	2654200	-0.18	5.540	5.540	5.480	697400	0.00	1.08	-0.060		126800	5.480	
00808	泓富产业信托	0.00	13565873	3.330	3.330	1000	4074442	0.00	3.330	3.330	3.320	9990	0.00	0.30	0.000		3000	3.330	
00405	越秀房产信托基金	0.20	13048424	5.120	5.110	1000	2540989	-0.39	5.110	5.150	5.110	35920	0.00	0.78	0.010		7000	5.120	
07200	ＦＬ二南方恒指	1.75	10667515	11.640	11.440	100	921800	0.00	11.500	11.660	11.480	--  	0.00	1.57	0.200		--  	11.640	
07336	ＦＩ未来恒指	-0.86	9962840	5.740	5.790	100	1730500	-0.17	5.770	5.770	5.740	1973828	0.00	0.52	-0.050		342800	5.740	
03165	ＢＭＯ欧优股对冲	0.76	9322863	10.640	10.560	200	874631	0.00	10.620	10.640	10.620	--  	0.00	0.19	0.080		--  	10.640	
00778	置富产业信托	0.42	7958964	9.670	9.630	1000	824534	0.10	9.610	9.690	9.600	1159300	0.00	0.93	0.040		120000	9.670	
83188	华夏沪深三百－Ｒ	0.61	7160841	41.000	40.750	200	174212	-0.24	41.000	41.300	40.850	1873440	0.00	1.10	0.250		45800	41.000	
07362	ＦＩ未来国指	-0.64	6889714	6.230	6.270	100	1103800	0.00	6.260	6.260	6.230	--  	0.00	0.48	-0.040		--  	6.230	
07388	ＦＩ南方国指	-0.83	5932927	5.950	6.000	100	995300	0.00	5.980	5.980	5.950	2205500	0.00	0.50	-0.050		370000	5.950	
07267	ＦＬ二华夏国指	1.15	5721303	10.600	10.480	100	540900	0.19	10.580	10.600	10.560	3704058	0.00	0.38	0.120		350100	10.600	
87001	汇贤产业信托	0.32	5416817	3.160	3.150	1000	1717361	0.32	3.150	3.160	3.150	31600	0.00	0.32	0.010		10000	3.160	
02833	恒指ＥＴＦ	0.83	5149500	30.350	30.100	100	169900	0.17	30.200	30.400	30.200	--  	0.00	0.66	0.250		--  	30.350	
03141	ＢＭＯ亚洲投资债	0.52	5143659	15.550	15.470	200	332309	0.00	15.550	15.650	15.550	--  	0.00	0.65	0.080		--  	15.550	
03157	华夏港股通小型股	0.20	5137850	25.450	25.400	200	201000	-0.20	25.600	25.650	25.450	--  	0.00	0.79	0.050		--  	25.450	
02802	安硕亚洲新兴	0.27	5111480	56.250	56.100	200	91000	0.00	56.150	56.250	56.150	--  	0.00	0.18	0.150		--  	56.250	
03081	价值黄金	0.64	4823501	31.600	31.400	100	152831	0.00	31.400	31.650	31.400	--  	0.00	0.80	0.200		--  	31.600	
