代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
601318	中国平安	4.12	9235563520	    15.21	       7970.67亿	          1.17	保险	250	0.05	73.62	70.91	73.63	70.71	70.67	2.91	73.58	  1.70	1270583	深圳	
000725	京东方Ａ	2.17	3791189760	    22.77	       1966.11亿	          2.00	元器件	170396	0.00	5.66	5.52	5.66	5.52	5.53	0.12	5.65	  0.86	6761045	北京	
002129	中环股份	-3.00	3176997376	    56.55	        341.64亿	          9.33	半导体	45253	0.23	12.92	13.17	13.29	12.61	13.32	-0.40	12.92	  0.92	2468093	天津	
000001	平安银行	4.16	3138687488	     8.93	       2280.23亿	          1.42	银行	47970	0.00	13.28	12.79	13.32	12.74	12.75	0.53	13.28	  2.02	2397943	深圳	
000858	五 粮 液	1.74	2975094528	    32.06	       2976.80亿	          1.00	白酒	2502	0.00	78.43	76.50	79.81	76.50	77.08	1.34	78.42	  1.25	379557	四川	
600519	贵州茅台	0.20	2944470784	    31.45	       8379.97亿	          0.35	白酒	34	0.19	667.32	663.00	672.44	661.00	665.77	1.32	667.09	  1.11	44072	贵州	
000063	中兴通讯	1.97	2845905664	    28.70	       1224.75亿	          2.34	通信设备	17246	-0.02	35.66	35.30	35.93	35.05	34.97	0.69	35.66	  0.80	802285	深圳	
000651	格力电器	1.43	2618681856	    13.01	       2681.81亿	          0.99	家用电器	7269	-0.01	44.59	43.75	44.93	43.70	43.95	0.63	44.58	  1.21	590167	广东	
600036	招商银行	3.64	2238123008	     9.44	       6056.66亿	          0.37	银行	402	-0.06	29.37	28.47	29.50	28.34	28.33	1.03	29.36	  1.56	771232	深圳	
601933	永辉超市	-1.16	2221321216	    52.63	        977.14亿	          3.35	超市连锁	263	-0.09	10.23	10.03	10.48	9.95	10.33	-0.12	10.21	  1.43	2179311	福建	
002230	科大讯飞	1.62	1815896704	   368.63	        828.77亿	          2.59	软件服务	5407	0.05	59.68	58.74	59.77	58.50	58.73	0.95	59.68	  0.70	306564	安徽	
000333	美的集团	0.22	1808678016	    18.07	       3614.49亿	          0.52	家用电器	4235	0.07	55.44	54.98	55.77	54.75	55.32	0.12	55.44	  1.04	327289	广东	
600887	伊利股份	0.41	1786376960	    29.51	       1942.69亿	          0.93	乳制品	113	0.22	32.00	31.80	32.15	31.51	31.83	0.13	31.96	  0.78	560940	内蒙	
