代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
601318	中国平安	2.61	11943537664	    14.72	       7712.86亿	          1.56	保险	280	-0.16	71.19	68.90	71.50	68.78	69.39	1.81	71.20	  1.57	1692540	深圳	
000725	京东方Ａ	0.36	6444607488	    22.65	       1955.67亿	          3.37	元器件	115714	0.18	5.63	5.56	5.77	5.54	5.60	0.02	5.62	  1.05	11405910	北京	
002230	科大讯飞	-7.33	5156124672	   387.96	        872.24亿	          6.83	软件服务	8327	0.05	62.82	67.00	67.60	61.50	67.78	-4.97	62.81	  1.23	804185	安徽	
600030	中信证券	1.74	4427692544	    22.09	       1895.89亿	          2.35	证券	354	-0.40	19.29	18.89	19.45	18.86	18.94	0.33	19.27	  1.34	2303493	深圳	
601668	中国建筑	1.78	3598873088	     8.49	       2919.00亿	          1.25	建筑施工	2965	-0.40	9.73	9.56	9.81	9.53	9.56	0.17	9.73	  2.18	3704845	北京	
000063	中兴通讯	-2.58	3429654272	    27.38	       1168.42亿	          2.92	通信设备	11866	0.47	34.02	34.38	35.17	33.20	34.92	-0.90	34.02	  0.86	1002789	深圳	
601766	中国中车	1.65	3315182592	    37.08	       2853.65亿	          1.23	运输设备	228	-0.16	11.73	11.45	11.85	11.42	11.54	0.19	11.73	  1.59	2827169	北京	
601313	江南嘉捷	-3.57	3227701504	   305.45	        182.58亿	         17.77	运输设备	581	-0.62	45.97	42.90	49.88	42.90	47.67	-1.70	45.97	  2.22	705847	江苏	
000651	格力电器	0.81	3103905280	    12.40	       2556.69亿	          1.22	家用电器	13196	-0.41	42.50	41.81	42.95	41.77	42.16	0.34	42.50	  1.19	730805	广东	
600585	海螺水泥	0.90	3054585088	    12.74	       1257.51亿	          2.44	水泥	26	-0.40	31.45	30.90	31.92	30.22	31.16	0.28	31.44	  1.42	977142	安徽	
600519	贵州茅台	-0.76	3026076416	    29.84	       7951.23亿	          0.38	白酒	11	0.21	633.14	634.00	647.40	630.13	637.79	-4.83	632.96	  0.93	47466	贵州	
601166	兴业银行	1.83	3017306368	     5.88	       3697.81亿	          0.89	银行	54	-0.21	17.82	17.48	17.91	17.46	17.48	0.32	17.80	  2.34	1700959	福建	
600048	保利地产	-0.16	2960015360	    13.77	       1517.88亿	          1.95	全国地产	9	-1.30	12.77	12.70	13.17	12.54	12.82	-0.02	12.80	  1.27	2285227	广东	
600036	招商银行	2.68	2588555776	     9.49	       6083.48亿	          0.43	银行	84	0.00	29.49	28.72	29.59	28.72	28.72	0.77	29.49	  1.59	884529	深圳	
600887	伊利股份	1.89	2452813824	    27.85	       1833.27亿	          1.35	乳制品	146	-0.09	30.18	29.54	30.47	29.42	29.60	0.56	30.16	  1.46	815246	内蒙	
600460	士兰微	1.61	2427087360	    91.77	        165.25亿	         14.85	半导体	731	1.15	13.25	13.00	13.57	12.58	13.04	0.21	13.25	  1.08	1852084	浙江	
600522	中天科技	-4.11	2384778496	    23.85	        457.46亿	          6.82	通信设备	392	-0.06	14.90	15.36	15.79	14.52	15.56	-0.64	14.92	  1.81	1552315	江苏	
000858	五 粮 液	0.54	2347062272	    27.93	       2593.40亿	          0.90	白酒	1772	-0.08	68.33	67.65	69.59	67.36	67.95	0.37	68.32	  1.28	342026	四川	
002049	紫光国芯	-7.23	2336379392	    95.73	        271.92亿	          8.48	元器件	6141	0.02	44.82	47.00	47.65	43.51	48.30	-3.49	44.81	  0.87	510961	河北	
000001	平安银行	0.00	2301867776	     8.94	       2283.66亿	          1.02	银行	22585	0.08	13.30	13.15	13.49	13.10	13.30	0.00	13.30	  1.08	1723681	深圳	
002129	中环股份	2.09	2191145728	    47.14	        284.78亿	          7.68	半导体	35032	0.47	10.78	10.66	11.10	10.42	10.55	0.22	10.77	  1.57	2031915	天津	
601398	工商银行	1.87	2176145920	     7.03	      16176.73亿	          0.14	银行	50	-0.16	6.00	5.89	6.04	5.87	5.89	0.11	6.00	  2.12	3648604	北京	
600516	方大炭素	-6.16	2166559232	    15.60	        420.01亿	          5.27	矿物制品	190	0.77	23.45	24.73	24.89	23.02	25.02	-1.54	23.48	  1.08	905151	甘肃	
600016	民生银行	2.15	2152088320	     6.14	       2668.52亿	          0.81	银行	473	-0.32	9.03	8.82	9.10	8.80	8.84	0.19	9.03	  1.69	2396489	北京	
600019	宝钢股份	0.00	2122931968	    12.79	       1989.24亿	          1.06	普钢	914	-0.54	9.00	8.92	9.25	8.90	9.00	0.00	9.00	  1.38	2331671	上海	
000333	美的集团	1.32	2041291136	    17.01	       3401.95亿	          0.62	家用电器	2787	-0.12	52.19	51.30	52.53	51.20	51.50	0.68	52.18	  1.24	392442	广东	
600690	青岛海尔	1.93	1897184128	    14.48	       1096.92亿	          1.74	家用电器	26	-0.16	18.00	17.57	18.13	17.50	17.65	0.34	17.99	  1.79	1061353	山东	
600031	三一重工	-0.11	1810091776	    28.66	        688.90亿	          2.63	工程机械	156	-0.10	9.00	8.92	9.20	8.87	9.01	-0.01	9.00	  1.48	1999399	湖南	
601288	农业银行	1.87	1782744832	     5.80	      11203.51亿	          0.16	银行	325	0.26	3.82	3.74	3.84	3.73	3.74	0.07	3.81	  2.40	4702997	北京	
600028	中国石化	1.66	1754134272	    14.51	       5857.69亿	          0.30	石油加工	72	-0.48	6.13	6.01	6.19	5.97	6.03	0.10	6.13	  2.63	2874944	北京	
000002	万 科Ａ	0.58	1747240960	    23.16	       3017.42亿	          0.58	全国地产	5861	0.16	31.03	30.60	31.48	30.20	30.85	0.18	31.03	  0.87	564302	深圳	
