代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
601318	中国平安	2.46	8230210048	    15.14	       7934.93亿	          1.05	保险	31	0.30	73.26	71.20	73.31	70.82	71.49	1.76	73.25	  0.94	1139927	深圳	
000725	京东方Ａ	2.29	6240187904	    23.38	       2018.31亿	          3.21	元器件	152817	0.17	5.80	5.67	5.81	5.63	5.67	0.13	5.80	  1.04	10867054	北京	
000063	中兴通讯	5.55	4834922496	    30.00	       1280.04亿	          3.86	通信设备	18628	0.24	37.28	35.45	37.28	35.30	35.31	1.96	37.27	  1.35	1322111	深圳	
600519	贵州茅台	3.78	4702239232	    30.69	       8177.72亿	          0.58	白酒	12	0.15	651.00	631.00	651.95	631.00	627.28	23.71	650.99	  1.43	72849	贵州	
000651	格力电器	4.20	3530708480	    12.68	       2613.23亿	          1.37	家用电器	10112	0.07	43.45	42.30	43.59	42.12	41.69	1.75	43.44	  1.26	818975	广东	
002230	科大讯飞	2.69	3476842240	   383.76	        862.80亿	          4.75	软件服务	8936	0.18	62.14	60.45	63.00	60.01	60.50	1.63	62.13	  0.98	561846	安徽	
000858	五 粮 液	5.89	3394742784	    29.39	       2729.30亿	          1.26	白酒	6981	0.20	71.91	68.70	72.24	68.68	67.90	4.00	71.90	  1.63	479978	四川	
002049	紫光国芯	4.94	3112201984	   107.63	        305.71亿	         10.43	元器件	11524	0.18	50.39	48.20	50.66	47.51	48.01	2.37	50.38	  1.23	628470	河北	
000001	平安银行	3.13	2980735488	     9.08	       2318.01亿	          1.34	银行	26742	0.15	13.50	13.08	13.57	12.88	13.09	0.41	13.50	  1.54	2261953	深圳	
601313	江南嘉捷	6.45	2730476544	   353.03	        211.02亿	         13.16	运输设备	136	-0.36	53.18	49.90	54.48	49.52	49.91	3.22	53.13	  1.07	522658	江苏	
000333	美的集团	6.33	2520510720	    17.48	       3495.83亿	          0.76	家用电器	3370	0.00	53.63	50.60	53.81	50.60	50.43	3.19	53.62	  1.29	480727	广东	
600460	士兰微	2.90	2298253312	   103.06	        185.58亿	         12.65	半导体	369	0.20	14.90	14.27	14.96	14.11	14.46	0.42	14.88	  0.74	1578199	浙江	
600036	招商银行	1.44	2266770944	     9.31	       5967.95亿	          0.39	银行	24	0.10	28.94	28.44	29.00	27.96	28.52	0.41	28.93	  1.32	797430	深圳	
600887	伊利股份	4.80	2103349632	    28.45	       1872.78亿	          1.15	乳制品	212	0.23	30.80	29.58	30.82	29.50	29.40	1.41	30.81	  1.27	692450	内蒙	
600030	中信证券	1.35	1838308352	    21.51	       1845.72亿	          1.01	证券	133	0.11	18.76	18.46	18.78	18.43	18.51	0.25	18.76	  0.69	987734	深圳	
002129	中环股份	1.63	1760225536	    49.02	        296.15亿	          6.07	半导体	80502	1.08	11.20	10.88	11.20	10.67	11.02	0.18	11.20	  0.81	1606073	天津	
600703	三安光电	5.61	1755618688	    35.62	       1129.32亿	          1.60	半导体	124	0.22	27.72	26.47	27.74	25.92	26.22	1.47	27.69	  1.69	653568	湖北	
600516	方大炭素	3.25	1698958208	    16.46	        443.26亿	          4.02	矿物制品	101	0.32	24.78	24.32	24.89	24.12	24.00	0.78	24.78	  1.04	690287	甘肃	
600276	恒瑞医药	6.10	1664793856	    63.01	       1955.48亿	          0.87	化学制药	54	-0.02	69.38	66.74	69.49	66.30	65.43	3.99	69.42	  2.58	243701	江苏	
300059	东方财富	2.19	1646233728	    98.48	        600.86亿	          3.71	互联网	17522	0.07	14.01	13.77	14.06	13.71	13.71	0.30	14.01	  1.08	1181698	上海	
603799	华友钴业	5.89	1555328896	    34.73	        508.34亿	          6.74	小金属	28	0.00	85.80	83.80	86.66	82.60	81.00	4.77	85.77	  1.30	182952	浙江	
002415	海康威视	3.06	1534063360	    44.29	       3633.40亿	          0.54	电器仪表	3803	0.28	39.38	38.30	39.40	38.30	38.20	1.17	39.37	  1.29	393502	浙江	
000503	海虹控股	6.11	1512684032	--  	        354.32亿	          4.30	医疗保健	3751	0.18	39.44	39.00	40.20	37.90	37.15	2.27	39.42	  1.63	386218	海南	
002156	通富微电	7.01	1505766912	    84.88	        141.13亿	         10.91	半导体	13752	-0.74	14.52	13.67	14.89	13.47	13.56	0.95	14.51	  1.49	1060643	江苏	
600522	中天科技	1.04	1493330816	    24.84	        476.47亿	          4.27	通信设备	196	0.19	15.56	15.22	15.56	15.08	15.38	0.16	15.54	  0.81	972895	江苏	
000002	万 科Ａ	0.37	1487020672	    22.34	       2910.45亿	          0.52	全国地产	8182	0.00	29.94	29.82	29.95	29.30	29.82	0.11	29.93	  1.00	502135	深圳	
600487	亨通光电	4.11	1459247488	    25.04	        557.92亿	          2.90	通信设备	10	0.34	41.04	39.73	41.20	39.59	39.41	1.62	41.03	  0.67	360115	江苏	
600050	中国联通	1.29	1387983872	   122.20	       2137.54亿	          0.93	电信运营	117	0.00	7.08	7.00	7.08	6.96	6.98	0.09	7.07	  1.08	1974294	上海	
300038	梅泰诺	0.65	1359993344	    48.58	        205.99亿	         18.74	通信设备	4432	0.02	49.22	50.30	50.87	48.83	48.90	0.32	49.22	  0.94	272980	北京	
002460	赣锋锂业	1.66	1347998464	    38.29	        512.27亿	          3.71	小金属	2127	0.00	70.29	69.18	70.82	68.40	69.13	1.15	70.28	  1.05	193011	江西	
002466	天齐锂业	3.51	1344393472	    30.15	        610.44亿	          2.25	小金属	1863	-0.01	61.40	59.60	61.65	58.91	59.31	2.08	61.39	  1.26	222174	四川	
600048	保利地产	1.33	1342485888	    13.89	       1530.92亿	          0.90	全国地产	82	0.39	12.92	12.65	12.92	12.44	12.74	0.17	12.91	  0.68	1061582	广东	
600585	海螺水泥	1.87	1340623616	    12.16	       1200.31亿	          1.13	水泥	219	0.20	30.02	29.65	30.10	29.35	29.46	0.55	30.01	  0.73	450913	安徽	
601012	隆基股份	5.48	1321709952	    23.93	        715.13亿	          1.92	半导体	33	0.76	35.86	34.00	35.88	33.55	33.97	1.86	35.83	  0.98	378125	陕西	
002606	大连电瓷	-9.99	1320788736	    70.25	         55.79亿	         23.77	电气设备	4076	0.00	13.69	13.69	14.32	13.69	15.21	-1.52	13.69	 16.52	955520	辽宁	
600196	复星医药	4.67	1313730432	    33.27	        865.01亿	          1.61	化学制药	200	0.00	43.00	40.99	43.47	40.82	41.09	1.92	43.01	  1.74	307215	上海	
002405	四维图新	2.14	1306067328	   167.97	        354.77亿	          4.59	软件服务	6989	0.04	27.67	27.38	28.13	27.20	27.08	0.58	27.66	  1.12	471375	北京	
002027	分众传媒	3.38	1282119040	    31.48	       1643.92亿	          1.64	影视音像	8798	0.07	13.44	12.98	13.85	12.98	13.00	0.44	13.44	  1.64	951167	广东	
601766	中国中车	0.62	1254351616	    36.07	       2775.80亿	          0.48	运输设备	287	-0.16	11.41	11.36	11.50	11.27	11.34	0.07	11.41	  0.62	1103432	北京	
600690	青岛海尔	3.25	1249643008	    14.82	       1122.53亿	          1.13	家用电器	101	0.22	18.41	17.81	18.43	17.78	17.83	0.58	18.41	  1.12	685960	山东	
002008	大族激光	3.00	1248032768	    28.39	        568.53亿	          2.39	电器仪表	3443	-0.14	53.29	51.59	53.50	51.12	51.73	1.55	53.28	  1.21	237275	深圳	
600570	恒生电子	8.37	1194844416	    77.58	        299.82亿	          4.11	软件服务	79	-0.13	48.53	45.50	49.18	45.30	44.78	3.75	48.53	  2.13	253667	浙江	
002185	华天科技	1.70	1156894720	    36.90	        190.73亿	          6.12	半导体	15909	-0.10	8.96	8.80	9.05	8.70	8.80	0.15	8.95	  0.98	1303870	甘肃	
601668	中国建筑	-0.31	1140582400	     8.30	       2853.00亿	          0.40	建筑施工	312	0.11	9.52	9.52	9.56	9.45	9.54	-0.03	9.51	  0.67	1200788	北京	
601166	兴业银行	0.35	1137993728	     5.72	       3598.09亿	          0.35	银行	65	0.06	17.33	17.23	17.39	17.14	17.26	0.06	17.32	  0.73	660320	福建	
601601	中国太保	2.24	1112908672	    27.30	       2758.60亿	          0.41	保险	23	0.11	43.88	42.72	43.90	42.33	42.92	0.96	43.88	  0.98	257016	上海	
000977	浪潮信息	5.04	1103830528	    74.97	        250.11亿	          4.41	电脑设备	6333	-0.04	19.40	19.46	19.95	19.17	18.47	0.93	19.40	  1.93	566049	山东	
300676	华大基因	2.38	1095068288	   218.99	        912.23亿	         11.87	医疗保健	715	0.31	228.00	223.50	236.43	223.50	222.71	5.29	228.00	  1.20	47614	深圳	
603019	中科曙光	2.27	1090378240	   278.90	        281.52亿	          3.88	电脑设备	1	-0.06	43.78	44.05	44.35	43.02	42.81	0.97	43.78	  0.90	249186	天津	
002600	江粉磁材	-1.15	1089978112	    78.89	        242.51亿	          8.09	元器件	23756	0.68	10.30	10.20	10.31	9.97	10.42	-0.12	10.30	  1.33	1074250	广东	
000568	泸州老窖	4.81	1053727424	    34.99	        931.88亿	          1.19	白酒	1895	0.82	63.62	61.28	63.80	61.00	60.70	2.92	63.62	  1.37	167167	四川	
002264	新 华 都	10.00	1036340416	  4629.59	         78.31亿	         16.01	超市连锁	67	0.00	--  	10.96	11.44	10.88	10.40	1.04	11.44	  4.41	921696	福建	
601398	工商银行	0.17	1025706816	     6.91	      15880.16亿	          0.07	银行	128	0.34	5.89	5.88	5.89	5.82	5.88	0.01	5.89	  0.84	1753621	北京	
600206	有研新材	1.02	1018995840	   167.79	        108.20亿	          9.57	半导体	287	0.78	12.90	12.63	12.94	12.46	12.77	0.13	12.90	  0.86	802760	北京	
601336	新华保险	2.38	1017982144	    30.49	       1370.34亿	          0.75	保险	9	-0.02	65.76	63.98	65.95	63.10	64.18	1.53	65.71	  0.79	157285	北京	
002456	欧菲科技	2.90	1012626368	    45.93	        625.84亿	          1.67	元器件	3746	-0.03	23.05	22.39	23.11	22.25	22.40	0.65	23.05	  1.16	445132	深圳	
603711	香飘飘	-4.59	1012033216	   121.97	        133.08亿	         72.49	软饮料	223	0.51	33.45	37.78	38.00	32.76	34.87	-1.60	33.27	  2.95	290021	浙江	
000830	鲁西化工	3.13	985698304	    16.56	        236.72亿	          4.25	农药化肥	9782	0.12	16.17	15.68	16.24	15.41	15.67	0.49	16.16	  0.75	621803	山东	
600584	长电科技	0.95	973681024	   144.72	        318.75亿	          4.24	半导体	220	-0.16	23.45	23.01	23.55	22.92	23.22	0.22	23.44	  1.21	417769	江苏	
002110	三钢闽光	-0.10	948255744	     8.71	        287.50亿	          4.63	普钢	11195	0.82	20.94	20.95	21.09	20.34	20.95	-0.02	20.93	  0.76	458739	福建	
600807	天业股份	2.19	947632704	    75.68	         95.01亿	         11.30	区域地产	29	-0.27	10.75	10.41	10.88	10.36	10.51	0.23	10.74	  0.96	889036	山东	
600016	民生银行	-0.79	941872448	     5.95	       2585.78亿	          0.37	银行	444	0.00	8.75	8.79	8.82	8.65	8.82	-0.07	8.75	  0.89	1081220	北京	
300136	信维通信	2.00	929737984	    55.69	        530.93亿	          2.34	通信设备	1394	-0.06	54.02	53.00	54.21	51.01	52.96	1.06	54.02	  1.05	174465	深圳	
002594	比亚迪	4.75	922622272	    45.88	       1134.85亿	          1.31	汽车整车	1345	0.34	62.60	60.51	62.88	60.08	59.75	2.84	62.59	  1.04	149139	深圳	
600171	上海贝岭	1.64	915110272	    53.51	        108.82亿	          8.51	半导体	62	-0.11	16.17	15.75	16.24	15.67	15.89	0.26	16.15	  0.76	573490	上海	
600667	太极实业	2.00	903862464	    46.02	        182.19亿	          8.88	半导体	2	0.35	8.66	8.42	8.76	8.34	8.48	0.17	8.65	  0.88	1057791	江苏	
600352	浙江龙盛	3.24	902525760	    14.96	        373.48亿	          2.62	染料涂料	33	0.26	11.50	11.16	11.50	10.98	11.12	0.36	11.48	  1.03	802734	浙江	
603993	洛阳钼业	2.73	894033280	    68.45	       1197.74亿	          1.02	小金属	134	0.00	6.78	6.68	6.84	6.63	6.60	0.18	6.78	  0.91	1326994	河南	
002281	光迅科技	3.20	875678144	    56.81	        190.56亿	          4.76	通信设备	4593	0.53	30.31	29.39	30.42	29.37	29.36	0.94	30.30	  1.45	293277	湖北	
000513	丽珠集团	7.49	870481984	     6.73	        250.59亿	          3.74	中成药	1193	0.15	68.86	64.12	69.55	63.65	64.05	4.80	68.85	  2.30	130224	广东	
300618	寒锐钴业	2.10	860922496	    70.29	        292.22亿	         11.73	小金属	738	-0.08	243.55	243.01	248.90	240.12	238.50	5.02	243.52	  0.78	35178	江苏	
000717	韶钢松山	-0.54	818545280	     9.60	        224.05亿	          3.68	普钢	18287	0.11	9.26	9.35	9.40	9.03	9.31	-0.05	9.26	  0.73	891031	广东	
000963	华东医药	-1.65	809352192	    23.86	        473.71亿	          1.92	化学制药	962	0.00	48.73	48.98	49.52	46.82	49.55	-0.82	48.73	  4.05	167052	浙江	
600104	上汽集团	2.50	801844672	    11.39	       3741.04亿	          0.23	汽车整车	5	0.03	32.03	31.21	32.09	31.20	31.24	0.78	32.02	  1.04	252288	上海	
002285	世联行	2.89	793859392	    37.90	        268.99亿	          3.55	房产服务	11623	0.08	13.17	12.96	13.39	12.87	12.79	0.37	13.16	  1.03	604930	深圳	
002475	立讯精密	2.20	774775488	    58.16	        839.25亿	          0.94	元器件	1951	-0.37	26.45	25.87	26.65	25.48	25.88	0.57	26.45	  1.24	295688	深圳	
601888	中国国旅	3.94	761314176	    34.01	        865.14亿	          0.90	旅游服务	13	-0.42	44.25	42.60	44.57	41.91	42.63	1.68	44.31	  1.96	174920	北京	
600029	南方航空	0.54	760383808	    12.01	        816.12亿	          0.96	空运	88	0.00	11.20	11.10	11.43	11.01	11.13	0.06	11.19	  0.76	677413	广东	
300590	移为通信	6.84	759899840	    70.88	         57.26亿	         53.08	通信设备	2110	0.70	35.80	35.00	36.85	34.51	33.50	2.29	35.79	  5.74	212331	上海	
601688	华泰证券	0.77	759426368	    22.32	       1064.79亿	          0.71	证券	10	-0.04	19.57	19.53	19.78	19.40	19.41	0.15	19.56	  0.95	388179	江苏	
300355	蒙草生态	-0.36	758725632	    23.04	        220.58亿	          4.79	环境保护	17657	-0.21	13.76	13.68	13.80	13.55	13.80	-0.05	13.75	  0.68	554583	内蒙	
002001	新 和 成	-0.58	756202816	    32.87	        394.84亿	          1.97	化学制药	4467	0.36	36.26	36.46	36.70	35.18	36.47	-0.21	36.26	  0.74	210980	浙江	
600438	通威股份	9.96	754577088	    22.50	        458.51亿	          2.95	饲料	9	0.00	--  	10.61	11.81	10.45	10.74	1.07	11.81	  1.34	673895	四川	
002912	中新赛克	4.18	749456448	    54.06	         68.71亿	         42.75	软件服务	1052	0.00	103.03	100.02	108.78	100.02	98.89	4.13	103.02	  1.05	71386	深圳	
600031	三一重工	1.74	748890240	    27.96	        672.06亿	          1.14	工程机械	11	0.00	8.78	8.61	8.79	8.54	8.63	0.15	8.78	  0.64	863008	湖南	
002024	苏宁云商	2.02	742646016	   131.08	       1174.00亿	          1.19	电器连锁	14638	0.16	12.61	12.40	12.65	12.32	12.36	0.25	12.61	  1.20	592645	江苏	
600919	江苏银行	1.52	729652160	     7.56	        925.86亿	          1.54	银行	25	-0.11	8.04	7.88	8.07	7.84	7.90	0.12	8.02	  2.11	912355	江苏	
300725	药石科技	7.89	718166144	   102.40	         71.87亿	         40.90	化工原料	2217	-0.45	98.01	97.18	99.77	92.22	90.83	7.17	98.00	  1.01	74977	江苏	
002294	信立泰	10.00	715895424	    30.05	        438.28亿	          1.67	化学制药	2503	0.02	--  	38.14	41.90	38.13	38.09	3.81	41.90	  3.27	174813	深圳	
000938	紫光股份	3.53	715469376	    46.40	        696.68亿	          5.16	软件服务	1191	-0.05	66.85	66.80	67.99	66.45	64.56	2.28	66.84	  1.55	106375	北京	
000670	盈方微	-0.27	707369408	--  	         60.68亿	         16.01	元器件	18063	0.13	7.44	7.17	7.70	7.17	7.45	-0.02	7.43	  1.33	960908	湖北	
000839	中信国安	0.98	705494720	   110.07	        363.76亿	          1.94	综合类	11178	-0.21	9.29	9.18	9.38	9.18	9.19	0.09	9.28	  0.74	759366	北京	
002450	康得新	1.65	705082816	    33.88	        848.91亿	          1.02	化工原料	2780	0.08	24.03	23.60	24.18	23.50	23.63	0.39	24.02	  0.99	294600	江苏	
300223	北京君正	1.33	704150272	   719.80	         66.02亿	         18.37	半导体	4299	0.35	39.68	38.81	39.69	37.99	39.15	0.52	39.67	  1.09	181038	北京	
601939	建设银行	0.14	703717056	     6.52	        671.56亿	          1.06	银行	100	0.14	7.00	6.99	7.02	6.86	6.99	0.01	7.00	  1.15	1013990	北京	
000636	风华高科	1.07	699535680	    45.25	        110.11亿	          7.08	元器件	18686	0.00	12.31	12.05	12.33	11.94	12.17	0.13	12.30	  0.61	575652	广东	
000868	安凯客车	7.46	695719744	--  	         53.07亿	         13.17	汽车整车	11293	0.00	7.64	7.08	7.81	7.07	7.10	0.53	7.63	  2.40	916320	安徽	
300708	聚灿光电	0.30	694379008	    61.81	         76.48亿	         36.73	半导体	4842	0.41	29.72	29.03	29.98	28.78	29.63	0.09	29.72	  0.95	236255	江苏	
601288	农业银行	-0.27	690067072	     5.68	      10968.26亿	          0.06	银行	1219	0.00	3.74	3.73	3.74	3.71	3.74	-0.01	3.73	  0.72	1853312	北京	
600295	鄂尔多斯	1.07	666526208	    36.26	        175.23亿	          6.45	小金属	82	0.24	16.98	16.79	17.27	16.50	16.80	0.18	16.98	  0.84	394805	内蒙	
000538	云南白药	3.62	665623296	    29.47	       1023.70亿	          0.66	中成药	762	-0.15	98.30	95.00	98.55	95.00	94.87	3.43	98.30	  2.18	68433	云南	
002241	歌尔股份	1.75	664852672	    32.75	        604.89亿	          1.33	元器件	5909	0.11	18.65	18.34	18.65	18.18	18.32	0.32	18.64	  0.92	360699	山东	
300229	拓尔思	7.77	664771008	    94.84	         78.46亿	          8.92	软件服务	4576	0.00	16.65	16.45	17.00	16.20	15.45	1.20	16.65	  2.00	397943	北京	
000786	北新建材	1.10	656690880	    18.95	        395.28亿	          2.11	其他建材	2614	0.00	22.11	21.70	22.29	21.64	21.86	0.24	22.10	  1.04	298597	北京	
002153	石基信息	10.00	654740800	    85.65	        318.01亿	          4.64	软件服务	394	0.00	--  	27.47	29.81	27.45	27.10	2.71	29.81	  2.44	224655	北京	
