代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
02800	盈富基金	0.51	1349320960	29.400	29.250	500	45808056	0.00	29.300	29.550	29.300	760233920	0.00	0.85	0.150		25804500	29.400	
02822	南方Ａ５０	2.00	857666304	15.320	15.020	200	56306140	0.00	15.020	15.320	15.020	500621600	0.00	2.00	0.300		32847000	15.320	
02828	恒生Ｈ股	1.04	776230848	116.400	115.200	200	6666977	0.09	116.000	116.900	115.900	258988496	0.00	0.87	1.200		2224800	116.400	
02823	安硕Ａ５０	1.92	685635328	14.840	14.560	100	46510392	0.13	14.560	14.840	14.560	69836608	0.00	1.92	0.280		4731200	14.840	
03188	华夏沪深三百	1.56	353772288	48.850	48.100	200	7271600	0.21	48.350	48.850	48.250	133241088	0.00	1.25	0.750		2740600	48.850	
00823	领展房产基金	1.28	300153088	71.050	70.150	500	4232490	0.28	70.850	71.200	70.500	39971276	0.00	1.00	0.900		563500	71.050	
07288	ＦＬ二南方国指	1.63	41545484	9.370	9.220	100	4438100	0.11	9.300	9.440	9.290	7232050	0.00	1.63	0.150		775300	9.370	
02778	冠君产业信托	0.00	33159962	5.700	5.700	1000	5860000	0.35	5.680	5.700	5.600	1604670	0.00	1.75	0.000		282000	5.700	
07200	ＦＬ二南方恒指	1.27	22786924	11.160	11.020	100	2037100	0.18	11.140	11.240	11.120	--  	0.00	1.09	0.140		--  	11.160	
03161	易亚中概股	2.57	17505516	13.560	13.220	200	1290200	0.00	13.340	13.560	13.340	--  	0.00	1.66	0.340		--  	13.560	
00405	越秀房产信托基金	0.39	15991976	5.150	5.130	1000	3117000	0.19	5.130	5.150	5.120	431890	0.00	0.58	0.020		84000	5.150	
07231	ＦＬ二未来恒指	0.87	15348747	11.600	11.500	100	1319000	0.00	11.620	11.700	11.580	35060	0.00	1.04	0.100		3000	11.600	
02801	安硕中国ＥＴＦ	4.94	13839936	28.700	27.350	200	491725	0.88	27.550	28.700	27.550	114040	0.00	4.20	1.350		4000	28.700	
07230	ＦＬ二未来国指	1.88	13043252	9.750	9.570	100	1337100	0.21	9.670	9.820	9.670	197707	0.00	1.57	0.180		20400	9.750	
07300	ＦＩ南方恒指	-0.53	11281718	5.610	5.640	100	2012400	0.00	5.620	5.620	5.580	1558899	0.00	0.71	-0.030		278700	5.610	
07205	ＦＬ二　三星恒指	1.20	9130246	9.280	9.170	200	985800	0.22	9.270	9.350	9.220	490320	0.00	1.42	0.110		53000	9.280	
03167	南方中国新行业	1.50	8529543	74.600	73.500	50	114800	0.00	73.700	74.800	73.700	--  	0.00	1.50	1.100		--  	74.600	
02827	Ｘ标智沪深３００	1.73	6848661	38.150	37.500	200	183000	0.00	37.250	38.150	37.200	--  	0.00	2.53	0.650		--  	38.150	
83188	华夏沪深三百－Ｒ	1.23	6819461	41.250	40.750	200	165967	0.00	40.850	41.250	40.850	4060110	0.00	0.98	0.500		98800	41.250	
07267	ＦＬ二华夏国指	1.97	6399569	10.360	10.160	100	619600	-0.38	10.400	10.400	10.280	1176812	0.00	1.18	0.200		113700	10.360	
00778	置富产业信托	0.10	5845341	9.570	9.560	1000	612000	0.21	9.560	9.570	9.540	582730	0.00	0.31	0.010		61000	9.570	
07388	ＦＩ南方国指	-0.99	5681653	6.030	6.090	100	939900	0.17	6.070	6.080	6.020	--  	0.00	0.99	-0.060		--  	6.030	
07228	ＦＬ二　三星国指	1.95	5286721	7.840	7.690	200	674200	-0.51	7.760	7.880	7.760	--  	0.00	1.56	0.150		--  	7.840	
03040	未来ＭＳＣＩ中国	1.03	4877700	34.300	33.950	100	142000	0.00	34.350	34.400	34.300	1717500	0.00	0.29	0.350		50000	34.300	
02840	ＳＰＤＲ金ＥＴＦ	0.64	4781040	938.500	932.500	10	5100	0.00	936.500	939.000	935.000	--  	0.00	0.43	6.000		--  	938.500	
00808	泓富产业信托	0.00	4507530	3.310	3.310	1000	1364000	0.30	3.310	3.310	3.300	9930	0.00	0.30	0.000		3000	3.310	
87001	汇贤产业信托	0.65	4458737	3.120	3.100	1000	1432251	0.00	3.110	3.120	3.110	3120	0.00	0.32	0.020		1000	3.120	
07221	ＦＬ二华夏恒指	1.48	4238004	12.360	12.180	100	343100	0.00	12.300	12.440	12.300	247800	0.00	1.15	0.180		20000	12.360	
03140	领航标普５００	0.42	3527514	19.320	19.240	100	182500	0.00	19.300	19.420	19.300	--  	0.00	0.62	0.080		--  	19.320	
00435	阳光房地产基金	0.96	2890990	5.270	5.220	1000	547000	-0.57	5.220	5.300	5.220	--  	0.00	1.53	0.050		--  	5.270	
