代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
300038	梅泰诺	-9.99	1207802496	    40.38	        171.21亿	         19.80	通信设备	311	0.00	40.91	43.48	43.75	40.91	45.45	-4.54	40.91	  1.70	288470	北京	
600036	招商银行	0.38	1197481984	     9.24	       5924.63亿	          0.20	银行	8	-0.09	28.75	28.43	29.07	28.42	28.61	0.11	28.72	  0.62	416075	深圳	
603019	中科曙光	1.11	1178236928	   290.69	        293.41亿	          4.05	电脑设备	30	-0.36	45.64	45.88	46.35	43.80	45.13	0.50	45.63	  0.88	260687	天津	
603993	洛阳钼业	-1.55	1162164992	    70.57	       1234.84亿	          1.26	小金属	16	0.00	6.99	7.17	7.27	6.95	7.10	-0.11	6.99	  0.71	1637990	河南	
000002	万 科Ａ	0.39	1160069248	    23.03	       2999.91亿	          0.39	全国地产	4245	0.13	30.86	30.60	31.30	29.90	30.73	0.12	30.85	  0.56	379890	深圳	
002405	四维图新	1.22	1160009856	   165.78	        350.15亿	          4.11	软件服务	6226	0.07	27.30	27.14	27.87	26.88	26.97	0.33	27.30	  0.72	422188	北京	
300618	寒锐钴业	-3.05	1157561344	    72.45	        301.20亿	         15.34	小金属	620	-0.38	251.00	253.00	258.70	244.86	258.90	-7.90	251.00	  0.91	46028	江苏	
600690	青岛海尔	1.85	1077867264	    14.20	       1076.19亿	          1.00	家用电器	29	-0.05	17.64	17.34	17.85	17.20	17.33	0.32	17.65	  0.98	612529	山东	
002038	双鹭药业	-7.69	1074168064	    48.63	        253.28亿	          4.97	生物制药	3902	0.22	36.98	39.85	39.85	36.21	40.06	-3.08	36.98	  1.62	281506	北京	
600807	天业股份	-4.00	1068281216	    74.35	         93.33亿	         12.84	区域地产	21	-0.27	10.57	10.71	10.81	10.35	10.99	-0.44	10.55	  1.09	1010269	山东	
002912	中新赛克	-0.51	1059117312	    48.70	         61.90亿	         65.62	软件服务	989	-0.11	92.82	102.62	102.62	89.31	93.29	-0.48	92.81	 65.23	109587	深圳	
600031	三一重工	-0.66	1048191680	    28.69	        689.67亿	          1.55	工程机械	2	0.56	9.01	9.02	9.10	8.75	9.07	-0.06	9.01	  0.91	1177208	湖南	
000636	风华高科	0.88	1033182016	    50.66	        123.27亿	          9.18	元器件	11746	0.58	13.78	13.73	14.27	13.40	13.65	0.12	13.77	  0.79	746141	广东	
000839	中信国安	-4.12	1024822080	   104.85	        346.51亿	          2.91	综合类	24244	-0.44	8.84	9.08	9.16	8.83	9.22	-0.38	8.84	  1.00	1140522	北京	
600309	万华化学	0.85	1020515264	     9.96	       1037.28亿	          1.04	化工原料	20	-0.04	37.93	37.60	38.35	36.83	37.62	0.32	37.94	  0.75	269613	山东	
002008	大族激光	1.98	996764096	    27.16	        543.88亿	          1.96	电器仪表	3121	-0.07	50.98	50.00	52.00	49.80	49.98	0.99	50.97	  0.89	194494	深圳	
000338	潍柴动力	-4.77	970285440	    10.14	        471.02亿	          2.83	汽车配件	11282	0.13	7.79	8.10	8.15	7.74	8.17	-0.39	7.78	  1.89	1221313	山东	
002466	天齐锂业	-0.59	955945280	    29.66	        600.39亿	          1.60	小金属	1443	-0.04	60.38	60.40	61.35	59.84	60.74	-0.36	60.38	  0.75	158013	四川	
600256	广汇能源	6.89	954812544	    75.94	        251.15亿	          3.79	石油开采	211	-0.40	4.82	4.75	4.95	4.71	4.50	0.31	4.81	  3.95	1977899	新疆	
000672	上峰水泥	-1.18	947728320	    14.59	         88.60亿	         10.27	水泥	12002	-0.81	10.90	11.43	11.88	10.83	11.02	-0.13	10.89	  1.81	835258	甘肃	
601166	兴业银行	0.17	942443968	     5.78	       3631.33亿	          0.28	银行	2238	0.11	17.49	17.41	17.50	17.37	17.45	0.03	17.48	  0.60	540747	福建	
600362	江西铜业	0.98	925124736	    30.61	        386.62亿	          2.36	铜	127	0.43	18.64	18.60	19.20	18.45	18.45	0.18	18.63	  1.15	490482	江西	
300725	药石科技	-0.62	920287360	    70.74	         49.65亿	         71.07	化工原料	1479	0.34	67.70	74.93	74.93	67.02	68.12	-0.42	67.70	 67.86	130285	江苏	
600703	三安光电	2.65	915040000	    33.41	       1059.17亿	          0.87	半导体	13	0.15	25.97	25.01	26.21	25.00	25.30	0.67	25.97	  0.94	354582	湖北	
600667	太极实业	-0.12	909850560	    44.31	        175.45亿	          9.23	半导体	145	0.73	8.34	8.30	8.38	8.16	8.34	-0.01	8.33	  1.86	1099520	江苏	
300699	光威复材	-9.92	906809856	    87.82	        243.25亿	         14.43	化工原料	1132	-0.14	66.11	72.96	72.99	66.04	73.38	-7.28	66.10	  1.61	132717	山东	
600569	安阳钢铁	0.19	905227520	     9.47	        123.27亿	          7.21	普钢	372	0.19	5.15	5.21	5.42	5.11	5.14	0.01	5.15	  1.26	1726845	河南	
002456	欧菲科技	2.25	898678464	    45.33	        617.69亿	          1.49	元器件	3580	-0.60	22.76	22.35	22.94	22.10	22.25	0.50	22.75	  1.15	396019	深圳	
002156	通富微电	-2.35	896954112	    80.14	        133.25亿	          6.75	半导体	9448	1.03	13.71	13.90	13.90	13.40	14.03	-0.33	13.70	  1.04	656408	江苏	
002285	世联行	2.38	895819776	    39.66	        281.46亿	          3.89	房产服务	15296	0.15	13.78	13.33	13.92	12.90	13.45	0.32	13.77	  1.02	662752	深圳	
002517	恺英网络	6.50	888158144	    26.67	        375.97亿	          5.89	互联网	2671	0.04	26.20	24.62	26.41	24.50	24.60	1.60	26.20	  2.43	343092	福建	
601398	工商银行	0.00	874427328	     6.91	      15880.16亿	          0.06	银行	38	-0.33	5.91	5.87	5.92	5.84	5.89	0.00	5.89	  0.71	1486331	北京	
600111	北方稀土	-0.35	869875520	   110.05	        512.26亿	          1.68	小金属	10	-0.20	14.12	14.04	14.50	14.04	14.15	-0.05	14.10	  0.74	609296	内蒙	
300136	信维通信	2.20	861045952	    59.80	        570.04亿	          1.99	通信设备	888	-0.04	58.00	56.80	59.59	56.18	56.75	1.25	58.00	  1.20	147930	深圳	
000789	万年青	0.50	855828800	    23.88	         74.52亿	         11.42	水泥	9978	0.25	12.15	12.20	12.65	11.82	12.09	0.06	12.15	  1.35	700700	江西	
600507	方大特钢	-3.10	855095488	    10.30	        211.51亿	          3.92	特种钢	94	-0.18	15.95	16.71	17.15	15.91	16.46	-0.51	15.95	  0.91	519724	江西	
601108	财通证券	-6.81	850544960	    38.96	        628.43亿	         13.19	证券	104	0.52	17.52	18.59	18.63	17.33	18.79	-1.28	17.51	  1.29	473646	浙江	
601233	桐昆股份	2.62	849987392	    18.63	        285.00亿	          3.20	化纤	14	0.32	21.95	21.33	22.81	21.20	21.34	0.56	21.90	  0.94	385170	浙江	
600196	复星医药	3.50	830851136	    30.62	        796.23亿	          1.10	化学制药	2	0.10	39.59	38.22	40.30	38.03	38.25	1.34	39.59	  1.40	210125	上海	
002185	华天科技	-2.27	830164480	    35.45	        183.28亿	          4.51	半导体	18070	0.35	8.61	8.73	8.75	8.53	8.80	-0.20	8.60	  1.03	961746	甘肃	
600271	航天信息	-2.22	825970048	    27.91	        417.65亿	          1.98	电脑设备	15	0.13	22.42	22.87	23.11	22.36	22.93	-0.51	22.42	  0.97	365395	北京	
600295	鄂尔多斯	3.45	819026432	    35.19	        170.07亿	          8.04	小金属	218	0.18	16.50	17.10	17.50	16.24	15.93	0.55	16.48	  1.33	492043	内蒙	
300413	快乐购	3.60	803838784	   295.62	        113.00亿	         14.38	百货	1869	-0.31	28.18	27.40	28.68	27.25	27.20	0.98	28.18	  1.16	285620	湖南	
600581	八一钢铁	-3.87	779089984	    10.72	        123.63亿	          6.13	普钢	12	-0.18	16.13	17.10	17.19	16.08	16.78	-0.65	16.13	  0.66	469760	新疆	
603659	璞泰来	-10.00	774952320	    57.55	        248.54亿	         20.62	化工原料	2	0.00	57.44	61.90	62.63	57.44	63.82	-6.38	57.44	  0.88	131372	上海	
