代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	细分行业	抛空量	按盘价	
02823	安硕Ａ５０	0.13	486469312	15.020	15.000	100	32351752	0.00	15.000	15.100	14.980	52672972	0.00	0.80	0.020		3504700	15.020	
02822	南方Ａ５０	0.26	462941728	15.460	15.420	200	29924656	0.00	15.460	15.560	15.440	53075916	0.00	0.78	0.040		3429600	15.460	
02800	盈富基金	0.00	416022752	30.050	30.050	500	13832055	0.00	30.000	30.150	30.000	221442304	0.00	0.50	0.000		7361000	30.050	
03188	华夏沪深三百	0.41	370825792	49.400	49.200	200	7518800	-0.10	49.200	49.500	49.150	117054936	0.00	0.71	0.200		2373000	49.400	
02828	恒生Ｈ股	0.17	355373696	118.200	118.000	200	3008279	-0.08	117.900	118.500	117.800	197399184	0.00	0.59	0.200		1671600	118.200	
00823	领展房产基金	-0.62	195279968	72.450	72.900	500	2700780	0.42	73.000	73.050	71.900	16609251	0.00	1.58	-0.450		229500	72.450	
03167	南方中国新行业	0.33	61541512	75.550	75.300	50	810550	0.00	75.950	75.950	75.400	--  	0.00	0.73	0.250		--  	75.550	
02778	冠君产业信托	1.06	18973778	5.730	5.670	1000	3324356	0.88	5.650	5.740	5.650	1465670	0.00	1.59	0.060		256000	5.730	
00405	越秀房产信托基金	0.00	12165961	5.120	5.120	1000	2370000	-0.19	5.120	5.150	5.120	--  	0.00	0.59	0.000		--  	5.120	
07231	ＦＬ二未来恒指	0.33	11211807	12.160	12.120	100	923100	0.00	12.140	12.180	12.080	--  	0.00	0.83	0.040		--  	12.160	
07288	ＦＬ二南方国指	0.42	11028819	9.660	9.620	100	1145100	0.21	9.620	9.680	9.590	5062992	0.00	0.94	0.040		527200	9.660	
03126	领航富时日本	0.56	10908261	26.950	26.800	100	407800	1.70	27.000	27.000	26.500	--  	0.00	1.87	0.150		--  	26.950	
03115	安硕恒生指数	0.00	10203774	107.000	107.000	10	95270	0.09	107.300	107.300	106.900	--  	0.00	0.37	0.000		--  	107.000	
00778	置富产业信托	-0.10	10022942	9.660	9.670	1000	1039410	0.31	9.670	9.670	9.610	192890	0.00	0.62	-0.010		20000	9.660	
02840	ＳＰＤＲ金ＥＴＦ	0.26	9848790	960.500	958.000	10	10250	0.00	960.000	961.500	960.000	--  	0.00	0.16	2.500		--  	960.500	
87001	汇贤产业信托	-0.32	8455271	3.150	3.160	1000	2682184	-0.32	3.160	3.160	3.140	--  	0.00	0.63	-0.010		--  	3.150	
07200	ＦＬ二南方恒指	0.34	7986721	11.680	11.640	100	685200	0.17	11.640	11.700	11.620	867620	0.00	0.69	0.040		74500	11.680	
83188	华夏沪深三百－Ｒ	0.37	7166927	41.150	41.000	200	174131	0.00	41.250	41.250	41.000	5519441	0.00	0.61	0.150		134000	41.150	
07300	ＦＩ南方恒指	0.00	6302232	5.480	5.480	100	1150300	0.00	5.480	5.490	5.470	1698390	0.00	0.36	0.000		310400	5.480	
03157	华夏港股通小型股	-0.59	5302941	25.300	25.450	200	209000	0.00	25.700	25.700	25.200	--  	0.00	1.96	-0.150		--  	25.300	
07205	ＦＬ二　三星恒指	0.31	5212612	9.700	9.670	200	538200	0.00	9.680	9.710	9.650	290300	0.00	0.62	0.030		30000	9.700	
07267	ＦＬ二华夏国指	0.75	5117048	10.680	10.600	100	480300	0.19	10.700	10.700	10.580	2120748	0.00	1.13	0.080		199400	10.680	
02801	安硕中国ＥＴＦ	-0.36	4752902	28.000	28.100	200	168971	0.00	28.100	28.250	28.000	--  	0.00	0.89	-0.100		--  	28.000	
07362	ＦＩ未来国指	-0.16	4560659	6.220	6.230	100	733800	0.00	6.220	6.240	6.210	--  	0.00	0.48	-0.010		--  	6.220	
07230	ＦＬ二未来国指	0.40	4452792	10.060	10.020	100	444500	0.00	10.000	10.080	9.970	10060	0.00	1.10	0.040		1000	10.060	
02827	标智沪深３００	1.58	4116130	38.600	38.000	200	107000	0.00	38.400	38.600	38.400	--  	0.00	0.53	0.600		--  	38.600	
03087	ＸＤＢ富时越南	2.14	3913044	258.000	252.600	10	15260	0.00	253.000	258.400	253.000	--  	0.00	2.14	5.400		--  	258.000	
03170	安硕韩国二百	-0.34	3528400	11.720	11.760	100	300000	0.00	11.840	11.840	11.720	--  	0.00	1.02	-0.040		--  	11.720	
07221	ＦＬ二华夏恒指	0.31	3268528	12.920	12.880	100	253500	0.31	12.900	12.940	12.860	479880	0.00	0.62	0.040		37200	12.920	
