代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
00830	远东环球	-2.13	106020	0.920	--  	114000	2000	0.00	          0.01	  0.27	0.920	
00057	震雄集团	-3.88	105600	2.230	--  	48000	48000	1.36	          0.01	  0.85	2.200	
00183	宏辉集团	0.00	104792	0.170	--  	616000	16000	0.00	          0.01	  0.02	0.171	
01094	中国公共采购	6.02	104232	0.141	--  	712000	16000	0.00	          0.04	  0.42	0.133	
01932	中漆集团	0.00	104000	0.520	--  	200000	184000	0.00	          0.02	  0.30	0.520	
06838	盈利时	1.76	103800	1.730	--  	60000	40000	0.00	          0.01	  0.61	1.730	
00988	楼东俊安资源	-1.72	102900	0.285	--  	360000	300000	0.00	          0.01	  0.11	0.290	
02324	首都创投	-1.79	102044	0.055	--  	1840080	40000	0.00	          0.07	  0.49	0.056	
01480	恩达集团控股	-2.78	101800	1.750	--  	58000	8000	0.00	          0.02	  0.08	1.750	
00712	卡姆丹克太阳能	0.00	101590	0.260	--  	394000	4000	0.00	          0.02	  0.16	0.265	
00088	TAI CHEUNG HOLD	0.11	101470	9.270	--  	11000	1000	0.54	          0.00	  0.19	9.220	
01105	星岛	0.00	100740	1.020	--  	98000	4000	0.00	          0.01	  0.28	1.030	
00093	TERMBRAY IND	2.25	99760	0.455	--  	220000	100000	0.00	          0.01	  0.42	0.450	
01678	中创环球	-0.50	99500	0.199	--  	500000	300000	0.00	          0.02	  0.18	0.199	
03313	雅高控股	6.41	97880	0.830	--  	125000	2000	0.00	          0.01	  0.14	0.750	
01708	三宝科技	3.78	97500	24.700	--  	4000	1000	0.00	          0.00	  0.07	24.000	
02863	高丰集团控股	1.69	97380	0.600	--  	159000	3000	-3.23	          0.03	  1.16	0.590	
01340	惠生国际	-1.72	96860	0.285	--  	334000	28000	0.00	          0.04	  0.28	0.295	
01161	奥思集团	3.37	95800	0.920	--  	106000	2000	0.00	          0.01	  0.43	0.900	
01085	亨鑫科技	1.36	95640	2.230	--  	43000	2000	0.00	          0.01	  0.13	2.210	
01180	汇彩控股	2.38	95040	0.860	--  	112000	28000	2.38	          0.01	  0.40	0.850	
01393	恒鼎实业	0.00	94910	0.270	--  	349000	160000	0.00	          0.02	  0.26	0.260	
01446	鸿福堂	-1.45	94840	0.680	--  	138000	10000	0.00	          0.02	  0.14	0.690	
01991	大洋集团	1.72	94500	0.590	--  	164000	46000	1.72	          0.02	  0.40	0.600	
02266	黎氏企业	3.60	93860	1.150	--  	82000	14000	0.88	          0.02	  0.52	1.120	
00158	万邦投资	-0.05	93450	186.900	--  	500	500	0.00	          0.00	  0.23	186.900	
01096	中能国际控股	0.00	93200	0.315	--  	300000	120000	0.00	          0.02	  0.71	0.310	
00362	中国天化工	0.00	91694	0.405	--  	227250	20000	0.00	          0.02	  0.28	0.405	
00986	中国环保能源	0.00	91493	0.295	--  	310500	56000	0.00	          0.06	  1.26	0.285	
00234	新世纪集团	-0.76	91428	0.131	--  	698000	80000	0.00	          0.01	  0.62	0.131	
00458	联亚集团	3.37	91030	1.840	--  	49500	500	0.00	          0.02	  0.62	1.840	
06882	东瀛游	0.77	88940	1.310	--  	68000	20000	0.00	          0.01	  0.39	1.300	
01889	三爱健康集团	0.00	88075	0.250	--  	352500	5000	0.00	          0.01	  0.12	0.250	
00812	西证国际证券	-0.80	87762	0.248	--  	352000	2000	0.00	          0.01	  0.62	0.250	
06888	英达公路再生科技	0.00	87720	0.430	--  	204000	20000	0.00	          0.02	  0.42	0.430	
00399	领航医药生物科技	2.13	87625	0.480	--  	185000	5000	1.05	          0.01	  1.87	0.470	
00495	PALADIN	0.00	87540	0.224	--  	390000	10000	0.00	          0.03	  1.38	0.225	
01400	宏太控股	-0.88	85560	0.113	--  	770000	240000	0.00	          0.05	  1.49	0.110	
00483	包浩斯国际	1.14	85560	1.770	--  	48000	22000	0.00	          0.01	  1.41	1.800	
02223	卡撒天娇	0.99	82400	1.020	--  	82000	20000	0.00	          0.03	  0.49	1.000	
00385	建联集团	-1.39	82360	1.420	--  	58000	8000	0.00	          0.01	  0.81	1.420	
01459	巨匠建设	0.93	82000	1.080	--  	78000	14000	4.85	          0.06	  0.35	1.030	
01509	和美医疗	3.08	81280	2.680	--  	31000	1000	0.00	          0.00	  0.13	2.610	
00065	弘海高新资源	0.00	81066	0.360	--  	228724	160	1.41	          0.02	  0.31	0.355	
01319	霭华押业信贷	0.00	80600	0.325	--  	248000	8000	0.00	          0.01	  0.18	0.325	
00313	裕田中国	1.28	80390	0.079	--  	1049000	200000	0.00	          0.01	  0.53	0.078	
00979	绿色能源科技集团	0.00	79385	0.490	--  	162010	2000	0.00	          0.02	  0.05	0.490	
00264	中玺国际	-1.20	79080	0.820	--  	96000	52000	0.00	          0.03	  0.46	0.820	
06816	瑞港建设	0.00	77470	0.450	--  	172000	100000	0.00	          0.02	  0.42	0.450	
00814	北京京客隆	0.00	77010	1.950	--  	40000	1000	3.17	          0.02	  0.51	1.900	
01296	国电科环	0.00	76890	0.530	--  	144000	10000	0.00	          0.01	  0.15	0.530	
01418	盛诺集团	-2.94	76280	0.660	--  	114000	2000	0.00	          0.01	  1.28	0.690	
01245	NIRAKU	3.08	75600	0.670	--  	114000	4000	0.00	          0.01	  0.31	0.640	
00554	汉思能源	-1.14	75526	0.173	--  	440000	12000	0.00	          0.01	  0.46	0.172	
00243	QPL INT'L	0.00	75402	0.097	--  	784000	216000	0.00	          0.03	  0.31	0.094	
03678	弘业期货	0.00	75400	1.490	--  	50000	8000	0.00	          0.02	  0.39	1.530	
01709	云裳衣	-1.39	75235	0.355	--  	212000	1000	0.00	          0.02	  0.30	0.350	
00567	大昌微线集团	-8.52	75234	0.247	--  	302000	2000	0.00	          0.05	  1.19	0.255	
00090	琥珀能源	-3.23	75200	0.900	--  	84000	10000	0.00	          0.02	  1.11	0.900	
00479	华建控股	-2.04	75020	0.096	--  	780000	20000	-1.03	          0.02	  0.42	0.098	
00259	亿都（国际控股）	1.22	74780	2.480	--  	30000	10000	0.00	          0.00	  0.13	2.500	
00619	南华金融	-2.33	73650	0.042	--  	1725000	150000	0.00	          0.01	  0.11	0.042	
00677	金源米业	0.00	72960	0.480	--  	152000	120000	0.00	          0.01	  0.81	0.480	
01125	丽丰控股	-2.72	72784	12.140	--  	6000	400	0.00	          0.00	  0.05	12.080	
01697	山东国信	-0.56	72330	3.580	--  	20000	11000	-1.38	          0.00	  0.33	3.600	
00100	白马户外媒体	0.00	72160	6.600	--  	11000	11000	0.61	          0.00	  0.07	6.560	
00643	恒富控股	-3.23	71900	0.900	--  	80000	20000	0.00	          0.01	  0.54	0.930	
01222	WANG ON GROUP	0.00	71420	0.105	--  	680201	40000	0.00	          0.00	  0.09	0.105	
00205	财讯传媒	4.00	71040	0.026	--  	2820000	500000	-3.70	          0.04	  0.20	0.025	
00449	志高控股	0.00	70822	0.115	--  	618000	2000	0.00	          0.01	  0.16	0.116	
00331	丰盛机电	1.67	70780	2.440	--  	29000	5000	0.00	          0.01	  0.22	2.440	
00544	大同集团	-3.33	70740	0.087	--  	820000	40000	0.00	          0.03	  0.26	0.088	
00209	瀛晟科学	-3.80	70220	0.076	--  	924000	24000	0.00	          0.03	  0.95	0.080	
