代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
000987	越秀金控	6.74	216008912	0.65	10.29	10.30	212475	2403	0.29	          3.95	9.90	10.55	
300161	华中数控	6.46	203176720	1.01	16.64	16.65	124279	2799	1.46	          7.51	16.10	16.85	
300603	立昂技术	7.44	196050272	2.45	35.40	35.41	56724	981	-0.44	          9.88	33.70	35.77	
002681	奋达科技	2.86	193860528	0.30	10.78	10.79	179262	1609	0.00	          2.91	10.99	11.10	
300678	中科信息	5.59	191963200	2.71	51.22	51.23	38138	692	0.02	         15.26	49.20	51.51	
300561	汇金科技	1.46	189768416	0.61	42.40	42.42	45576	1056	0.69	         13.56	42.29	42.65	
300688	创业黑马	9.99	189709248	4.53	49.86	--  	38410	11	0.00	         22.59	48.27	49.86	
002918	蒙娜丽莎	5.72	189668176	2.56	47.29	47.30	40891	589	0.21	         10.37	44.94	47.88	
002007	华兰生物	1.69	189523872	0.46	27.74	27.75	68302	753	-0.06	          0.85	27.35	27.98	
002157	正邦科技	6.54	188350496	0.31	5.05	5.06	381019	2957	0.00	          1.78	4.77	5.09	
603283	赛腾股份	6.85	187757296	1.73	27.02	27.04	70762	34	0.19	         17.69	25.71	27.22	
300292	吴通控股	1.59	184928128	0.09	5.76	5.77	316929	2040	-0.16	          3.48	5.72	6.12	
300479	神思电子	9.98	182715472	1.70	18.73	--  	101244	85	0.00	         11.51	17.48	18.73	
002208	合肥城建	9.99	178605648	1.00	11.01	--  	165309	525	0.00	          5.18	10.63	11.01	
002680	长生生物	3.05	177437504	0.44	14.85	14.87	120624	866	-0.06	          3.00	14.42	14.99	
002183	怡 亚 通	3.56	176767824	0.24	6.98	6.99	254311	2563	0.14	          1.20	6.71	7.16	
603889	新澳股份	2.49	172404032	0.39	16.03	16.05	107896	20	0.12	          3.34	15.70	16.40	
600136	当代明诚	4.77	171807696	0.69	15.14	15.15	115446	2	-0.12	          3.75	14.62	15.40	
