代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
300287	飞利信	1.09	298481120	0.10	9.27	9.28	324014	3667	-0.31	          3.07	9.18	
300735	光弘科技	4.35	290987328	0.90	21.59	21.60	135306	1916	0.09	         15.26	21.17	
600118	中国卫星	3.08	290669600	0.65	21.72	21.73	134243	10	0.00	          1.14	21.80	
300316	晶盛机电	0.79	285300928	0.15	19.15	19.16	151049	2408	0.21	          1.64	18.76	
600645	中源协和	8.04	282968512	1.82	24.35	24.47	121614	115	1.20	          3.17	22.50	
600207	安彩高科	10.04	279325920	0.76	8.33	--  	336437	20	0.00	          4.88	8.33	
002094	青岛金王	5.59	275171904	1.15	21.72	21.74	128695	1549	0.79	          3.66	20.69	
002065	东华软件	1.44	272784864	0.12	8.47	8.48	324881	4063	-0.11	          1.16	8.44	
002063	远光软件	2.34	271501216	0.25	10.95	10.96	249745	3028	-0.08	          4.67	10.80	
600466	蓝光发展	2.04	271389408	0.20	10.02	10.03	271656	4	0.10	          3.08	9.90	
00884	旭辉控股集团	2.65	253503808	0.170	6.570	6.580	38772820	1080000	-0.30	          0.51	6.530	
002362	汉王科技	3.07	250556848	0.71	23.81	23.82	107006	1936	0.08	          6.12	23.04	
603708	家家悦	9.87	246425520	1.94	21.60	21.62	116643	10	-0.04	          7.43	19.95	
603138	海量数据	7.77	244750928	2.99	41.54	41.55	60874	4	0.44	         22.84	39.64	
600528	中铁工业	3.53	242190240	0.42	12.35	12.36	200939	81	0.98	          1.38	11.72	
600728	佳都科技	9.99	241136864	0.89	9.80	--  	246058	3	0.00	          1.78	9.80	
600335	国机汽车	5.27	240256384	0.53	10.58	10.59	230995	8	0.28	          2.24	10.34	
300719	安达维尔	9.99	238402912	2.13	23.45	--  	103106	839	0.04	         24.55	22.00	
300474	景嘉微	3.80	238244480	1.85	50.50	50.51	47881	859	0.04	          7.15	48.73	
600783	鲁信创投	4.56	234727344	0.59	13.53	13.55	172996	31	-0.28	          2.32	13.46	
002013	中航机电	5.89	229739952	0.57	10.23	10.24	226768	1978	0.00	          1.08	9.86	
000988	华工科技	2.87	225661824	0.45	16.13	16.14	141318	2639	0.50	          1.59	15.65	
601116	三江购物	1.43	225055008	0.26	18.39	18.40	123947	76	-0.58	          3.08	17.99	
603988	中电电机	10.01	224714752	3.04	33.40	--  	68184	3	0.00	          5.68	31.00	
