代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
600038	中直股份	1.45	432954688	0.58	40.60	40.62	106588	5	-0.19	          1.81	40.99	41.20	
600797	浙大网新	5.57	429299776	0.64	12.15	12.16	361313	149	0.66	          4.30	11.70	12.16	
002281	光迅科技	2.36	426800320	0.62	26.91	26.92	159275	3025	0.07	          2.56	26.35	27.29	
600699	均胜电子	5.97	424917056	1.80	31.90	31.95	136153	19	0.00	          1.43	30.32	32.00	
002232	启明信息	9.93	405518112	1.05	11.61	11.62	357369	11427	0.26	          8.88	11.63	11.63	
300740	御家汇	10.00	401730784	4.16	45.74	--  	91938	122	0.00	         22.98	42.27	45.74	
000066	中国长城	4.71	397909632	0.32	7.12	7.13	563661	4674	0.00	          2.26	6.83	7.25	
600115	东方航空	0.53	389474496	0.04	7.55	7.56	513769	53	0.27	          0.52	7.58	7.66	
000868	安凯客车	2.22	389110432	0.15	6.89	6.90	565269	6195	0.00	          8.13	6.60	7.19	
002745	木林森	3.98	387010080	1.59	41.49	41.50	95074	636	0.12	          5.86	40.00	41.57	
603895	天永智能	10.01	386638912	4.86	53.41	--  	75175	24	0.00	         38.95	49.60	53.41	
300277	海联讯	3.68	386212928	0.43	12.10	12.11	329472	8753	0.17	          9.85	11.50	12.45	
300664	鹏鹞环保	8.06	380280032	1.48	19.84	19.85	192572	3372	-0.14	         24.07	18.69	20.21	
601888	中国国旅	0.45	375818624	0.24	53.62	53.63	70251	17	0.26	          0.36	53.50	53.98	
002373	千方科技	2.79	366857152	0.41	15.10	15.11	243954	2673	0.00	          2.98	14.90	15.30	
300003	乐普医疗	4.20	363905472	1.16	28.81	28.82	127423	1271	0.03	          0.90	27.55	29.06	
600125	铁龙物流	4.99	360842080	0.45	9.45	9.46	386813	120	0.42	          2.96	9.16	9.47	
600879	航天电子	1.87	355602016	0.14	7.63	7.64	463532	53	-0.38	          1.92	7.71	7.77	
002903	宇环数控	10.01	355079968	3.71	40.79	--  	88868	205	0.00	         35.55	39.00	40.79	
300738	奥飞数据	6.38	351760512	3.70	61.69	61.70	58248	1221	-0.17	         35.69	58.00	62.62	
000069	华侨城Ａ	1.55	348652672	0.13	8.50	8.51	410544	1426	-0.11	          0.67	8.41	8.57	
601069	西部黄金	1.33	348543232	0.20	15.20	15.21	232238	5	0.40	          3.65	14.97	15.30	
600895	张江高科	6.04	347271264	0.79	13.86	13.87	251846	53	-0.06	          1.63	13.43	14.16	
002151	北斗星通	3.44	346100992	0.98	29.44	29.45	118331	1301	0.03	          4.65	28.76	29.67	
600439	瑞贝卡	3.97	340188896	0.25	6.52	6.54	540179	530	0.77	          4.77	6.16	6.58	
000155	川化股份	4.75	336958816	0.30	6.61	6.62	505473	7318	-0.14	          5.39	6.57	6.91	
000050	深天马Ａ	1.39	336066816	0.24	17.53	17.54	190150	1469	0.11	          1.36	17.57	17.95	
000856	冀东装备	1.81	335541824	0.34	19.11	19.12	176849	3196	0.00	          7.79	18.87	19.31	
600635	大众公用	9.95	333151040	0.42	4.64	--  	729702	6	0.00	          3.02	4.41	4.64	
002668	奥马电器	2.75	326300992	0.69	25.78	25.80	126492	710	0.00	          3.24	25.25	26.59	
300739	明阳电路	9.22	325883616	3.41	40.40	40.41	83698	2433	0.75	         27.17	37.12	40.50	
600967	内蒙一机	2.83	317783264	0.36	13.07	13.09	242257	74	-0.14	          2.52	13.11	13.40	
000768	中航飞机	0.39	317072096	0.06	15.27	15.28	206320	2025	0.07	          0.75	15.56	15.68	
000963	华东医药	3.09	310018496	1.76	58.63	58.64	53480	883	0.07	          0.62	56.92	58.63	
300684	中石科技	7.40	304594752	3.54	51.40	51.44	60708	1150	0.33	         27.95	48.80	51.55	
600325	华发股份	1.14	304005600	0.09	8.00	8.01	377955	68	0.13	          1.97	8.00	8.13	
002422	科伦药业	4.82	298306944	1.21	26.29	26.30	115126	1022	0.19	          1.12	25.18	26.42	
603858	步长制药	2.34	297925760	1.18	51.58	51.60	57953	2	-0.01	          1.77	50.41	51.98	
002449	国星光电	5.87	297422016	1.06	19.11	19.12	160691	2549	0.47	          3.94	18.11	19.11	
300735	光弘科技	4.35	290987328	0.90	21.59	21.60	135306	1916	0.09	         15.26	21.17	21.95	
600118	中国卫星	3.08	290669600	0.65	21.72	21.73	134243	10	0.00	          1.14	21.80	21.98	
600645	中源协和	8.04	282968512	1.82	24.35	24.47	121614	115	1.20	          3.17	22.50	24.50	
600207	安彩高科	10.04	279325920	0.76	8.33	--  	336437	20	0.00	          4.88	8.33	8.33	
600579	天华院	1.75	279045632	0.20	11.61	11.62	239598	451	0.61	          5.83	11.40	12.10	
002094	青岛金王	5.59	275171904	1.15	21.72	21.74	128695	1549	0.79	          3.66	20.69	21.90	
600466	蓝光发展	2.04	271389408	0.20	10.02	10.03	271656	4	0.10	          3.08	9.90	10.14	
600900	长江电力	0.54	271360064	0.09	16.83	16.84	161916	5	0.30	          0.14	16.70	16.85	
000886	海南高速	1.58	269204960	0.10	6.41	6.44	413916	4958	-0.61	          4.29	6.28	6.76	
300433	蓝思科技	2.89	266779344	0.79	28.09	28.10	94791	529	0.04	          2.14	27.77	28.80	
603363	傲农生物	7.13	261042032	1.15	17.27	17.28	152695	42	0.35	         25.45	16.58	17.58	
600120	浙江东方	9.99	248874768	2.02	22.24	--  	115367	30	0.00	          2.28	20.59	22.24	
300677	英科医疗	3.97	248199520	2.90	75.99	76.00	33256	524	0.32	         13.68	73.38	76.41	
300496	中科创达	2.63	246974560	0.78	30.49	30.50	81775	1384	-0.54	          3.67	30.12	30.71	
601857	中国石油	0.63	246590368	0.05	8.00	8.01	308116	66	0.00	          0.02	7.96	8.04	
603708	家家悦	9.87	246425520	1.94	21.60	21.62	116643	10	-0.04	          7.43	19.95	21.63	
603138	海量数据	7.77	244750928	2.99	41.54	41.55	60874	4	0.44	         22.84	39.64	41.55	
603356	华菱精工	4.42	243104880	0.99	23.41	23.42	105804	18	0.47	         31.73	22.62	23.50	
000917	电广传媒	0.00	242571456	0.00	7.94	7.95	304987	2848	0.13	          2.36	7.90	8.27	
600528	中铁工业	3.53	242190240	0.42	12.35	12.36	200939	81	0.98	          1.38	11.72	12.36	
600728	佳都科技	9.99	241136864	0.89	9.80	--  	246058	3	0.00	          1.78	9.80	9.80	
600335	国机汽车	5.27	240256384	0.53	10.58	10.59	230995	8	0.28	          2.24	10.34	10.75	
300719	安达维尔	9.99	238402912	2.13	23.45	--  	103106	839	0.04	         24.55	22.00	23.45	
