代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
01275	开元产业信托	0.00	144000	--  	--  	60000	8000	0.00	--  	  0.13	2.400	2.400	
03080	平安中国国债	0.04	135405	--  	--  	1100	100	0.04	--  	  0.83	123.100	123.100	
03084	价值日本ＥＴＦ	-0.77	125784	--  	--  	8100	1500	0.52	--  	  0.63	15.560	15.560	
03145	ＢＭＯ亚洲高息股	1.34	116372	--  	--  	11000	400	0.00	--  	  1.76	10.580	10.580	
03085	领航亚洲高股息率	0.82	114224	--  	--  	4672	600	0.00	--  	  0.65	24.300	24.600	
03143	ＢＭＯ香港银行股	1.56	104200	--  	--  	10000	8000	-0.19	--  	  0.59	10.420	10.420	
03019	ＸＴＲ环球	-0.11	94700	--  	--  	2000	2000	0.00	--  	  0.35	47.350	47.350	
09846	安硕沪深三百－Ｕ	-0.95	87054	--  	--  	20800	10000	0.00	--  	  8.74	4.450	4.450	
03020	ＸＴＲ美国	-0.26	78683	--  	--  	135	60	0.00	--  	  0.27	582.500	583.000	
82843	东汇Ａ５０－Ｒ	-1.03	77720	--  	--  	5800	2400	0.00	--  	  0.06	13.400	13.400	
83074	安硕ＭＳ台湾－Ｒ	0.52	77120	--  	--  	8000	3200	0.00	--  	  0.14	9.640	9.640	
83095	价值中国Ａ股－Ｒ	0.14	70710	--  	--  	10000	2000	0.00	--  	  1.69	7.070	7.080	
83118	嘉实明晟Ａ股－Ｒ	-0.99	61400	--  	--  	4400	100	0.86	--  	  0.76	14.000	14.040	
09836	安硕印度－Ｕ	0.66	57716	--  	--  	18800	3800	0.00	--  	  0.43	3.070	3.070	
03110	未来恒生高股息率	-0.15	49330	--  	--  	1500	300	0.00	--  	  0.24	32.950	32.950	
09074	安硕ＭＳ台湾－Ｕ	0.00	48707	--  	--  	31500	3700	0.00	--  	  0.79	1.550	1.560	
03010	安硕亚洲除日	0.93	35560	--  	--  	600	500	-0.08	--  	  0.01	58.750	59.450	
82811	海通沪深三百－Ｒ	-1.61	32764	--  	--  	2200	200	0.00	--  	  1.34	14.920	14.920	
82846	安硕沪深三百－Ｒ	-0.75	31940	--  	--  	1200	1200	0.00	--  	  0.13	26.700	26.700	
03101	领航富时发展欧洲	-0.25	31685	--  	--  	1577	500	0.00	--  	  0.04	20.200	20.200	
02848	ＴＲ韩国	0.54	26020	--  	--  	40	40	0.38	--  	  0.12	650.500	650.500	
03175	Ｆ三星原油期	-1.23	20588	--  	--  	1600	200	0.00	--  	  0.07	12.860	12.900	
03016	ＴＲ菲律宾	0.13	18936	--  	--  	1200	1200	0.00	--  	  0.03	15.780	15.780	
03073	ＳＰＤＲ大中华	0.89	18030	--  	--  	400	200	0.00	--  	  0.01	45.000	45.150	
03082	ＴＲ马来西亚	0.19	16035	--  	--  	150	150	0.00	--  	  0.27	106.900	106.900	
03118	嘉实明晟Ａ股	-0.57	6960	--  	--  	400	400	0.00	--  	  0.02	17.400	17.400	
03024	标智上证５０	-0.17	5740	--  	--  	200	200	-0.17	--  	  0.06	28.700	28.700	
07222	ＸＬ二未来标普	-1.75	2515	--  	--  	100	100	0.20	--  	  0.01	25.150	25.150	
02821	沛富基金	0.60	1174	--  	--  	10	10	-0.04	--  	  0.02	117.350	117.350	
83146	安硕ＤＡＸ－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	8.750	
83137	南方中华８０－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	31.050	
