代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
01138	中远海能	-0.23	3670960	4.320	4.340	850000	4000	0.00	          0.07	  0.30	4.300	4.350	
02198	中国三江化工	-0.29	3636130	--  	--  	1056000	1000	0.29	          0.09	  0.56	3.440	3.470	
01262	蜡笔小新食品	9.62	3634450	--  	--  	6603000	1000	0.00	          0.50	  2.44	0.540	0.580	
01065	天津创业环保股份	-0.43	3625820	4.630	4.640	786000	4000	0.22	          0.23	  0.45	4.610	4.670	
00530	高银金融	-0.76	3616620	3.890	3.930	928000	2000	1.29	          0.01	  0.51	3.910	3.930	
00866	中国秦发	-1.75	3604580	--  	--  	6458000	2000	1.82	          0.26	  0.07	0.560	0.570	
01990	兴华港口	-0.88	3569103	--  	--  	3211900	148000	1.82	          0.39	  4.92	1.120	1.140	
00378	五龙动力	-4.48	3567240	0.640	0.650	5426000	196000	-1.54	          0.08	  0.48	0.670	0.670	
00769	中国稀土	1.96	3540620	--  	--  	6809000	30000	0.00	          0.29	  0.80	0.510	0.530	
01520	华信金融投资	-5.66	3533820	--  	--  	6906000	150000	0.00	          0.41	  0.63	0.530	0.540	
00945	宏利金融－Ｓ	-0.47	3528683	--  	--  	24035	100	0.20	          0.00	  0.91	146.600	147.300	
00718	太和控股	-1.00	3484650	0.980	1.000	3535000	5000	0.00	          0.07	  1.10	0.990	1.000	
01103	大生农业金融	2.92	3473048	--  	--  	14360000	16000	0.41	          0.23	  0.29	0.240	0.247	
01569	民生教育	-1.91	3430000	1.540	1.550	2214000	2000	-0.65	          0.06	  0.23	1.570	1.570	
06066	中信建投证券	1.02	3428070	6.900	6.920	498000	8500	-0.14	          0.04	  0.15	6.870	6.920	
00497	资本策略地产	-2.94	3424950	--  	--  	6900000	10000	0.00	          0.07	  1.03	0.500	0.510	
06836	天韵国际控股	-0.78	3413520	--  	--  	2670000	10000	0.79	          0.27	  1.14	1.290	1.290	
01727	河北建设	1.07	3400550	--  	--  	729000	11000	-0.42	          0.16	  0.30	4.630	4.750	
03728	正利控股	2.50	3400200	--  	--  	8420000	20000	2.50	          0.84	  1.48	0.400	0.415	
01219	天喔国际	-4.79	3389050	--  	--  	2396000	101000	-0.71	          0.11	  0.36	1.460	1.460	
01536	煜荣集团	0.00	3375120	--  	--  	1904000	6000	0.00	          0.50	  1.74	1.780	1.780	
02002	阳光纸业	1.27	3341205	--  	--  	1397000	500	0.00	          0.17	  0.68	2.340	2.420	
01986	彩客化学	-0.70	3325825	--  	--  	779500	34000	-0.47	          0.07	  1.01	4.210	4.290	
00638	建溢集团	1.71	3321080	--  	--  	1132000	4000	1.71	          0.26	  2.06	2.900	3.040	
00818	高阳科技	-1.94	3314820	--  	--  	2178000	39000	0.66	          0.08	  0.75	1.530	1.540	
01639	安捷利实业	-0.99	3279600	--  	--  	1650000	10000	0.50	          0.11	  0.64	2.030	2.040	
00891	利邦	0.00	3262320	--  	--  	3962000	2000	0.00	          0.23	  0.71	0.820	0.840	
06123	先达国际物流	-2.23	3218940	--  	--  	568000	10000	0.18	          0.14	  0.86	5.770	5.780	
00044	香港飞机工程	-0.43	3198264	--  	--  	68827	800	0.00	          0.04	  1.85	46.750	46.800	
01621	域高国际控股	-1.39	3166840	--  	--  	8892000	8000	-1.39	          0.89	  0.16	0.360	0.360	
02608	阳光１００中国	-0.60	3111350	--  	--  	937000	1000	0.00	          0.04	  1.02	3.330	3.340	
00315	数码通电讯	-0.35	3108330	8.580	8.590	363415	35500	0.00	          0.03	  0.43	8.550	8.580	
03939	万国国际矿业	-0.51	3095920	--  	--  	1592000	10000	0.00	          0.22	  1.10	1.960	1.960	
01678	中创环球	-4.04	3087866	--  	--  	16002000	138000	0.00	          0.74	  1.31	0.197	0.197	
06198	青岛港	0.18	3048730	--  	--  	554000	5000	1.48	          0.05	  1.05	5.490	5.550	
00719	山东新华制药股份	-1.42	2995680	8.220	8.340	362000	100000	0.72	          0.24	  1.09	8.330	8.450	
01848	中国飞机租赁	0.13	2990098	7.830	7.860	381500	6000	0.26	          0.06	  1.06	7.850	7.860	
01885	中国优材	1.43	2984960	--  	--  	1456000	4000	1.43	          0.15	  0.71	2.070	2.130	
00433	北方矿业	-2.03	2973540	--  	--  	20350000	10000	0.00	          0.09	  1.56	0.148	0.149	
00133	招商局中国基金	-0.14	2958720	--  	--  	212000	2000	0.00	          0.14	  1.40	13.900	14.060	
01358	普华和顺	0.00	2958480	--  	--  	2101000	3000	0.71	          0.13	  2.87	1.430	1.430	
00579	京能清洁能源	-0.50	2951120	1.990	2.000	1468000	14000	0.00	          0.06	  0.83	2.010	2.020	
01268	美东汽车	0.68	2942020	--  	--  	988000	6000	-0.33	          0.09	  2.95	2.900	3.050	
01368	特步国际	1.11	2938225	3.590	3.630	817000	19500	0.83	          0.04	  0.59	3.600	3.630	
01043	光宇国际集团科技	-3.53	2932080	--  	--  	956000	2000	-1.31	          0.25	  1.05	3.120	3.170	
00251	爪哇控股	-0.13	2907360	--  	--  	188000	2000	0.00	          0.03	  0.32	15.480	15.560	
01076	博华太平洋	0.00	2901980	0.100	0.101	29020000	20000	0.00	          0.02	  0.58	0.100	0.101	
00450	鸿兴印刷集团	0.00	2901840	--  	--  	1594000	344000	0.00	          0.18	  2.05	1.840	1.840	
00367	庄士机构国际	0.00	2900680	--  	--  	1612000	8000	0.56	          0.10	  1.64	1.800	1.810	
00309	新华通讯频媒	5.26	2859140	--  	--  	9498000	10000	0.00	          0.66	  3.04	0.290	0.310	
00332	元亨燃气	0.00	2853000	--  	--  	3328000	4000	1.18	          0.05	  1.26	0.860	0.870	
00636	嘉里物流	0.56	2841029	10.800	10.820	264300	5000	-0.18	          0.02	  0.38	10.740	10.820	
00547	数字王国	0.00	2837054	0.177	0.178	16014405	190000	0.00	          0.07	  0.57	0.177	0.178	
02239	国微技术	0.00	2835060	--  	--  	315000	2000	-0.11	          0.10	  0.72	9.000	9.020	
01617	南方通信	-1.42	2832080	--  	--  	692000	12000	0.00	          0.06	  0.70	4.230	4.230	
01600	天伦燃气	0.36	2818845	--  	--  	504000	1500	0.18	          0.05	  0.66	5.590	5.630	
01141	民银资本	0.00	2805900	0.590	0.600	4700000	340000	0.00	          0.01	  0.32	0.610	0.610	
03378	厦门港务	-0.68	2793420	--  	--  	1934000	2000	0.00	          0.20	  1.88	1.450	1.450	
00108	国锐地产	0.00	2755060	--  	--  	2794000	66000	0.00	          0.15	  0.98	0.990	1.000	
00521	CWT INT'L	3.12	2742911	--  	--  	8516200	10000	1.54	          0.07	  0.86	0.330	0.330	
06878	鼎丰集团控股	-1.82	2736820	--  	--  	4980000	2000	0.00	          0.12	  0.85	0.550	0.550	
00488	丽新发展	-0.31	2736039	13.040	13.060	212047	3600	-0.15	          0.03	  0.84	13.000	13.060	
00811	新华文轩	0.32	2733880	6.220	6.230	440000	7000	0.16	          0.10	  0.56	6.210	6.230	
00298	庄士中国	-1.67	2729100	--  	--  	4626000	70000	0.00	          0.20	  8.11	0.590	0.590	
01566	华夏动漫	-0.33	2719290	--  	--  	893000	2000	0.33	          0.10	  1.00	3.090	3.090	
00500	先丰服务集团	0.00	2702104	--  	--  	1529973	2000	0.00	          0.10	  0.59	1.760	1.810	
00182	协合新能源	-1.37	2693200	--  	--  	7470000	670000	0.00	          0.09	  0.70	0.360	0.365	
01707	致浩达控股	5.71	2683360	--  	--  	7280000	264000	-1.33	          0.52	  6.30	0.350	0.375	
01689	华禧控股	-2.45	2666920	--  	--  	1102000	4000	0.00	          0.16	  1.30	2.440	2.520	
01570	伟业控股	23.67	2662950	--  	--  	718500	4000	0.00	          0.37	 16.71	3.800	3.950	
00353	能源国际投资	2.00	2660684	--  	--  	10697100	40000	-1.92	          0.29	  0.98	0.244	0.260	
00702	中国油气控股	1.72	2655681	--  	--  	46382948	140000	1.72	          0.23	  0.88	0.059	0.059	
01578	天津银行	-0.65	2640605	4.590	4.610	572500	40000	0.00	          0.03	  0.70	4.620	4.640	
02337	众诚能源	-0.24	2639940	--  	--  	637000	10000	0.24	          0.27	  0.87	4.130	4.180	
01133	哈尔滨电气	0.32	2636498	--  	--  	852933	2000	0.32	          0.13	  1.04	3.080	3.110	
00611	中国核能科技	0.00	2635360	--  	--  	1786000	200000	0.00	          0.12	  0.79	1.490	1.490	
02022	游莱互动	-2.20	2634160	--  	--  	2988000	20000	0.00	          0.15	  2.67	0.900	0.910	
01281	隆基泰和智慧能源	8.39	2620284	--  	--  	1620996	30000	0.60	          0.12	  0.48	1.570	1.690	
00242	信德集团	-0.62	2593920	3.220	3.230	804000	42000	0.00	          0.03	  0.39	3.230	3.250	
02342	京信通信	-0.81	2577065	--  	--  	2120402	28000	0.00	          0.09	  0.63	1.210	1.220	
03369	秦港股份	-1.27	2565755	2.330	2.340	1099500	36500	0.00	          0.13	  1.25	2.360	2.360	
03366	华侨城（亚洲）	4.65	2559220	--  	--  	732000	2000	1.69	          0.11	  1.16	3.440	3.620	
00095	绿景中国地产	0.89	2529880	3.370	3.390	750000	10000	0.00	          0.02	  0.48	3.340	3.400	
00194	廖创兴企业	-0.46	2506520	--  	--  	194000	2000	0.31	          0.05	  0.98	12.920	13.000	
00153	中国赛特	0.00	2491460	--  	--  	4310000	8000	0.00	          0.18	  0.11	0.580	0.590	
00464	建福集团	2.64	2470440	--  	--  	920000	8000	1.49	          0.21	  0.50	2.640	2.760	
00120	COSMOPOL INT'L	0.00	2465000	--  	--  	2640000	60000	0.00	          0.06	  0.56	0.930	0.940	
01101	华荣能源	1.79	2450900	--  	--  	8773500	14000	0.00	          0.38	  0.78	0.280	0.295	
00697	SHOUGANG INT'L	-0.42	2443460	--  	--  	10388000	36000	0.42	          0.06	  0.74	0.234	0.238	
01661	智美体育	-2.53	2440190	0.770	0.780	3155000	1000	-1.28	          0.20	  1.49	0.780	0.800	
00558	力劲科技	0.00	2413600	--  	--  	1502500	7500	0.63	          0.13	  0.57	1.530	1.640	
00184	激成投资	1.45	2397160	--  	--  	343900	2000	0.00	          0.10	 11.15	7.000	7.000	
00376	云锋金融	-0.65	2394100	--  	--  	520000	2000	0.44	          0.02	  1.29	4.610	4.690	
01663	汉港控股	-4.26	2384310	--  	--  	5352000	2000	2.27	          0.22	  1.46	0.470	0.475	
01349	复旦张江	-1.69	2374090	--  	--  	670000	17000	0.00	          0.20	  2.25	3.560	3.590	
01711	欧化	0.00	2372300	--  	--  	2910000	50000	-1.22	          0.36	  0.40	0.810	0.830	
01252	中国天瑞水泥	0.39	2327130	--  	--  	450000	4000	2.77	          0.02	  1.78	5.160	5.200	
00588	北京北辰实业股份	0.72	2325960	2.780	2.790	836000	2000	0.00	          0.12	  0.66	2.720	2.850	
00104	ASIA COMM HOLD	-1.28	2325447	--  	--  	6211400	10000	1.32	          0.40	  0.58	0.390	0.390	
00926	碧生源	-3.16	2309835	--  	--  	5023000	1500000	0.00	          0.31	  1.24	0.475	0.475	
06889	DYNAM JAPAN	0.75	2299682	--  	--  	212954	400	-0.19	          0.03	  1.56	10.700	10.900	
02112	优库资源	1.09	2291440	--  	--  	1242000	2000	1.09	          0.08	  1.05	1.830	1.870	
00976	齐合环保	-1.02	2290760	3.900	3.910	584000	40000	-0.26	          0.04	  0.45	3.950	4.050	
