代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
603569	长久物流	-1.53	14390511	-0.37	23.75	23.76	6023	3	0.00	          1.05	24.12	
603139	康惠制药	-1.33	14325839	-0.31	23.03	23.04	6169	37	-0.21	          2.47	23.49	
002871	伟隆股份	-1.91	14325466	-0.63	32.37	32.39	4403	150	-0.17	          2.59	32.75	
600812	华北制药	-1.09	14248417	-0.05	4.52	4.53	31400	53	0.22	          0.19	4.58	
300669	沪宁股份	-1.47	14191651	-0.33	22.06	22.12	6366	124	-0.13	          3.02	22.53	
08473	弥明生活百货	-4.41	14186801	-0.030	--  	--  	21850000	10000	0.00	          1.95	0.690	
01199	中远海运港口	-0.27	14179624	-0.020	7.270	7.280	1950994	368000	0.14	          0.06	7.300	
600853	龙建股份	-0.81	14150678	-0.04	4.91	4.92	28644	324	-0.19	          0.53	4.96	
002286	保龄宝	-1.96	14103241	-0.21	10.48	10.49	13304	125	0.00	          0.40	10.58	
000981	银亿股份	-0.36	14078658	-0.03	8.38	8.39	16783	166	-0.23	          0.07	8.49	
603316	诚邦股份	-1.41	13949520	-0.18	12.54	12.55	11060	56	0.32	          2.18	12.75	
00128	安宁控股	-1.22	13913361	-0.010	--  	--  	17118000	100000	0.00	          1.04	0.810	
002868	绿康生化	-1.88	13742780	-0.42	21.96	21.97	6188	69	-0.22	          2.06	22.40	
002275	桂林三金	-0.57	13593947	-0.09	15.78	15.80	8577	213	-0.05	          0.16	15.95	
00400	科通芯城	-2.04	13569451	-0.090	4.320	4.330	3136000	33000	0.23	          0.21	4.400	
603968	醋化股份	-1.52	13489492	-0.30	19.42	19.43	6907	38	-0.14	          0.51	19.68	
002731	萃华珠宝	-0.72	13468397	-0.11	15.25	15.27	8853	48	-0.19	          0.59	15.38	
601199	江南水务	-0.77	13459351	-0.04	5.12	5.13	26153	1	0.39	          0.28	5.16	
06829	龙升集团控股	-9.09	13362151	-0.050	--  	--  	25250000	100000	-1.96	          2.10	0.550	
002599	盛通股份	-0.61	13278837	-0.08	12.95	12.96	10231	84	0.08	          0.55	13.04	
603226	菲林格尔	-0.90	13276600	-0.24	26.45	26.49	5010	5	-0.18	          2.31	26.60	
300610	晨化股份	-1.81	13110766	-0.28	15.18	15.22	8579	47	0.13	          1.72	15.46	
00552	中国通信服务	-0.21	13082831	-0.010	4.690	4.710	2791510	214000	0.64	          0.12	4.670	
002749	国光股份	-0.76	12996830	-0.49	64.00	64.03	2025	14	-0.11	          1.08	64.00	
300305	裕兴股份	-0.41	12975020	-0.03	7.22	7.24	17959	112	0.14	          1.10	7.23	
00378	五龙动力	-8.22	12962881	-0.060	0.660	0.670	19156000	206000	-1.47	          0.28	0.730	
02611	国泰君安	-0.44	12933601	-0.080	17.940	18.000	718800	32600	-0.22	          0.06	18.020	
002243	通产丽星	-0.82	12620091	-0.06	7.25	7.26	17331	195	0.00	          0.47	7.34	
300636	同和药业	-1.66	12438607	-0.48	28.36	28.37	4362	33	0.00	          2.18	28.71	
002718	友邦吊顶	-0.85	12431889	-0.42	48.90	49.10	2524	23	0.45	          0.97	49.52	
01415	高伟电子	-0.39	12178631	-0.010	--  	--  	4834000	20000	0.40	          0.58	2.540	
002144	宏达高科	-0.91	12137006	-0.12	13.08	13.09	9239	84	0.00	          0.68	13.19	
000682	东方电子	-1.52	12117482	-0.07	4.53	4.54	26608	688	-0.21	          0.27	4.58	
300587	天铁股份	-1.15	12051231	-0.26	22.33	22.39	5363	50	-0.03	          1.29	22.53	
002150	通润装备	-1.58	12025110	-0.14	8.70	8.71	13747	400	0.00	          0.50	8.80	
01883	中信国际电讯	-1.26	11995683	-0.030	2.350	2.360	5065375	75000	0.43	          0.14	2.410	
03688	莱蒙国际	-2.05	11841756	-0.080	--  	--  	3107000	5000	0.79	          0.22	3.900	
603229	奥翔药业	-1.97	11712128	-0.33	16.41	16.43	7076	1	-0.23	          1.77	16.69	
603029	天鹅股份	-1.97	11388652	-0.35	17.39	17.40	6483	18	-0.28	          1.77	17.76	
00439	光启科学	-0.85	11361261	-0.020	2.330	2.340	4935000	136000	0.00	          0.08	2.350	
603558	健盛集团	-1.76	11212214	-0.21	11.70	11.71	9510	6	0.09	          0.32	12.05	
82822	南方Ａ５０－Ｒ	-0.75	11155800	-0.100	--  	--  	841606	4600	0.30	--  	13.300	
603037	凯众股份	-0.96	11052833	-0.25	25.76	25.77	4270	2	-0.07	          0.69	26.06	
600634	富控互动	-10.01	10929204	-1.75	--  	15.73	6948	1	0.00	          0.12	15.73	
600815	*ST厦工	-0.76	10915084	-0.03	3.90	3.91	27914	82	0.51	          0.29	3.92	
00161	中航国际控股	-1.91	10781281	-0.140	--  	--  	1500000	10000	0.00	          0.45	7.460	
000899	赣能股份	-0.57	10736999	-0.03	5.18	5.19	20696	68	0.39	          0.32	5.20	
603665	康隆达	-1.37	10674570	-0.51	36.58	36.75	2914	5	0.11	          0.78	37.12	
600429	三元股份	-0.81	10671705	-0.05	6.10	6.11	17440	74	0.00	          0.20	6.15	
603811	诚意药业	-0.90	10555564	-0.25	27.60	27.61	3801	2	-0.31	          1.78	27.62	
600081	东风科技	-1.09	10507925	-0.14	12.68	12.74	8206	27	-0.69	          0.26	12.85	
603360	百傲化学	-0.81	10434072	-0.17	20.70	20.75	5009	13	0.39	          0.89	20.86	
300488	恒锋工具	-2.31	10358183	-0.75	31.65	31.67	3244	71	-0.15	          1.30	32.39	
601339	百隆东方	-0.72	10314930	-0.04	5.56	5.57	18516	119	-0.17	          0.12	5.60	
603268	松发股份	-1.01	10219694	-0.27	26.44	26.45	3869	9	0.08	          0.94	26.69	
600396	金山股份	-1.39	10208385	-0.04	2.82	2.83	35999	52	0.35	          0.31	2.86	
300573	兴齐眼药	-0.74	10197724	-0.17	22.68	22.70	4496	50	0.18	          0.85	22.61	
000096	广聚能源	-0.97	10148583	-0.13	13.27	13.28	7616	145	0.08	          0.15	13.42	
600247	ST成城	-2.44	10130215	-0.21	8.40	8.42	11858	1	0.36	          0.35	8.50	
603585	苏利股份	-1.03	10101955	-0.31	29.75	29.79	3373	9	-0.09	          0.75	30.19	
00951	超威动力	-1.75	9913930	-0.090	5.050	5.060	1954000	110000	0.00	          0.18	5.140	
603038	华立股份	-1.83	9878470	-0.70	37.46	37.47	2618	1	0.03	          0.98	38.20	
600683	京投发展	-0.71	9834258	-0.04	5.62	5.63	17448	1	0.18	          0.24	5.65	
00220	统一企业中国	-1.76	9813041	-0.120	6.670	6.680	1460037	102000	0.00	          0.03	6.800	
600644	乐山电力	-0.82	9811308	-0.05	6.05	6.06	16222	30	0.33	          0.30	6.07	
002552	宝鼎科技	-2.09	9788419	-0.19	8.90	8.91	10934	202	-0.10	          0.55	9.06	
00563	上实城市开发	-0.53	9760740	-0.010	1.880	1.890	5166000	132000	0.00	          0.11	1.910	
002627	宜昌交运	-1.68	9604882	-0.31	18.12	18.13	5280	18	-0.16	          0.40	18.39	
02356	大新银行集团	-0.35	9592576	-0.060	17.160	17.180	557200	9200	0.00	          0.04	17.100	
600385	山东金泰	-0.60	9439565	-0.07	11.54	11.59	8146	30	-0.42	          0.57	11.62	
603679	华体科技	-1.67	9191735	-0.39	22.90	22.95	4013	1	-0.34	          1.61	23.29	
02827	标智沪深３００	-0.86	9179051	-0.350	--  	--  	228116	10000	0.00	--  	40.350	
603017	中衡设计	-1.07	9062410	-0.15	13.82	13.85	6520	250	0.14	          0.24	14.00	
600091	ST明科	-0.21	9045433	-0.01	4.72	4.73	19131	359	0.43	          0.57	4.71	
600982	宁波热电	-0.50	8803067	-0.02	4.01	4.02	21892	10	0.25	          0.29	4.05	
00921	海信科龙	-1.83	8801155	-0.180	9.650	9.670	913000	37000	0.73	          0.20	9.800	
01282	中国金洋	-2.86	8796580	-0.020	0.670	0.680	12956000	156000	1.49	          0.05	0.700	
600981	汇鸿集团	-0.76	8790343	-0.04	5.23	5.24	16764	10	0.00	          0.69	5.25	
000715	中兴商业	-0.57	8578787	-0.05	8.74	8.75	9793	103	0.00	          0.35	8.75	
00341	大家乐集团	-0.30	8528698	-0.060	19.820	19.840	430045	18000	0.00	          0.07	19.880	
01103	大生农业金融	-4.00	8232958	-0.010	--  	--  	34027500	8000	-0.41	          0.55	0.250	
08170	KSL HOLDINGS	-4.80	8018671	-0.180	--  	--  	2219000	7000	-0.83	          0.54	3.750	
08300	皇玺餐饮集团	-0.77	7895301	-0.001	--  	--  	61060000	320000	0.00	          2.31	0.131	
01589	中国物流资产	-1.27	7753311	-0.030	--  	--  	3331000	3000	0.43	          0.11	2.360	
01899	兴达国际	-1.38	7737301	-0.040	--  	--  	2682000	148000	-0.70	          0.18	2.870	
00171	银建国际	-4.67	7683661	-0.070	--  	--  	5288000	2000	-0.69	          0.23	1.500	
000803	*ST金宇	-3.14	7562939	-0.68	20.99	21.00	3564	5	-0.04	          0.28	21.42	
600847	*ST万里	-2.86	7417944	-0.38	12.89	12.92	5709	22	-0.07	          0.37	13.00	
00511	电视广播	-0.58	7287797	-0.150	25.850	25.900	281378	2500	-0.19	          0.06	25.900	
300132	青松股份	-1.05	7257785	-0.08	7.57	7.59	9537	144	-0.38	          0.33	7.66	
300553	集智股份	-1.17	7118806	-0.44	37.21	37.30	1905	21	-0.02	          1.26	37.90	
00572	未来世界金融	-1.31	7118328	-0.003	--  	--  	31814532	4000	0.00	          0.33	0.233	
300530	达志科技	-1.21	6972710	-0.41	33.59	33.73	2072	17	-0.46	          0.98	33.74	
00321	德永佳集团	-0.71	6832211	-0.030	4.190	4.200	1627000	30000	-0.24	          0.12	4.220	
02227	守益控股	-4.00	6776241	-0.040	--  	--  	7044000	200000	-1.03	          0.84	0.990	
002723	金莱特	-0.22	6633838	-0.04	18.21	18.36	3626	95	0.44	          0.29	18.41	
000622	恒立实业	-1.10	6629282	-0.05	4.51	4.53	14587	507	-0.87	          0.34	4.58	
002691	冀凯股份	-0.55	6508320	-0.13	23.52	23.57	2768	35	0.04	          0.14	23.68	
00245	中国民生金融	-2.35	6496766	-0.006	0.248	0.249	25921600	10000	-0.40	          0.09	0.255	
01448	福寿园	-1.12	6379261	-0.080	7.070	7.090	900000	128000	0.14	          0.04	7.170	
01240	青建国际	-0.73	6341226	-0.020	--  	--  	2332500	2500	0.74	          0.16	2.740	
00631	三一国际	-2.27	6127556	-0.050	--  	--  	2830000	88000	0.00	          0.09	2.180	
002641	永高股份	-1.17	6114179	-0.05	4.22	4.23	14452	132	0.00	          0.16	4.27	
002803	吉宏股份	-0.12	6020230	-0.05	40.90	41.00	1469	110	0.24	          0.32	41.00	
02002	阳光纸业	-1.25	5980668	-0.030	--  	--  	2509000	500	0.00	          0.31	2.400	
06178	光大证券	-0.42	5709059	-0.040	9.380	9.400	608400	3400	-0.21	          0.09	9.470	
00716	胜狮货柜	-0.67	5571301	-0.010	--  	--  	3740000	2000	-0.67	          0.15	1.510	
00198	星美控股	-1.65	5323682	-0.060	3.540	3.580	1494240	492000	0.56	          0.05	3.580	
01076	博华太平洋	-0.99	5288121	-0.001	0.100	0.101	52880000	20000	0.00	          0.04	0.102	
02327	美瑞健康国际	-3.12	5124270	-0.015	--  	--  	10998000	30000	1.09	          0.31	0.480	
08100	智易控股	-3.57	4808400	-0.015	--  	--  	11500000	18000	-1.22	          2.59	0.410	
01523	珩湾科技	-3.31	4541520	-0.065	--  	--  	2368000	32000	0.00	          0.23	1.970	
00931	中国天然气	-1.53	4525840	-0.020	1.280	1.290	3471000	22000	0.00	          0.06	1.320	
00697	SHOUGANG INT'L	-1.24	4505532	-0.003	--  	--  	19192000	64000	0.42	          0.11	0.243	
00163	英皇国际	-0.41	4502720	-0.010	2.440	2.450	1842000	12000	0.41	          0.05	2.440	
08470	莹岚集团	-3.95	4472880	-0.070	--  	--  	2656000	8000	0.00	          0.44	1.760	
03818	中国动向	-1.30	4389490	-0.020	1.520	1.530	2867542	413000	-0.65	          0.05	1.540	
01826	丰展控股	-2.22	4384400	-0.040	--  	--  	2480000	10000	-1.12	          0.20	1.790	
01466	钱唐控股	-1.44	3990500	-0.090	--  	--  	646000	6000	0.00	          0.19	6.230	
08158	中国再生医学	-4.62	3945655	-0.008	--  	--  	23640000	65000	-1.20	          0.13	0.171	
01803	北京体育文化	-1.34	3927625	-0.040	--  	--  	1335000	2500	0.68	          0.10	2.950	
00996	嘉年华国际	-1.28	3926450	-0.005	0.380	0.385	10220000	950000	0.00	          0.04	0.395	
00500	先丰服务集团	-3.30	3702070	-0.060	--  	--  	2079000	42000	0.00	          0.14	1.820	
03683	荣丰联合控股	-1.16	3665675	-0.020	--  	--  	2150000	5000	0.59	          0.23	1.720	
08392	舍图控股	-4.90	3524150	-0.025	--  	--  	7190000	150000	0.00	          0.72	0.510	
83188	华夏沪深三百－Ｒ	-1.07	3503183	-0.450	--  	--  	84029	400	0.00	--  	41.800	
01360	MEGAEXPO HLDG	-1.30	3402650	-0.030	--  	--  	1495000	10000	0.00	          0.10	2.280	
01133	哈尔滨电气	-0.64	3394640	-0.020	--  	--  	1098000	2000	0.00	          0.16	3.130	
00035	远东发展	-1.12	3374937	-0.050	4.400	4.410	760739	7000	-0.90	          0.03	4.410	
06080	荣智控股	-6.49	3342480	-0.050	--  	--  	4578000	420000	-1.37	          0.49	0.770	
08446	ITP HOLDINGS	-5.14	3321000	-0.200	--  	--  	900000	300000	0.00	          0.11	3.690	
01065	天津创业环保股份	-1.27	3245180	-0.060	4.630	4.660	698000	38000	0.22	          0.21	4.720	
03689	康华医疗	-0.17	3185668	-0.020	--  	--  	268000	400	0.84	          0.32	12.180	
06083	环宇物流（亚洲）	-2.44	3166600	-0.030	--  	--  	2588000	4000	-1.64	          0.54	1.230	
01600	天伦燃气	-0.89	2986605	-0.050	--  	--  	534000	1500	0.00	          0.05	5.620	
00100	白马户外媒体	-0.62	2940200	-0.040	--  	--  	456000	10000	0.16	          0.08	6.400	
00995	安徽皖通高速公路	-1.13	2913840	-0.070	6.110	6.120	476000	30000	0.16	          0.10	6.140	
00526	利时集团控股	-1.65	2835520	-0.020	--  	--  	2368000	6000	0.00	          0.04	1.200	
