代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
601288	农业银行	2.48	4270441728	0.10	4.12	4.13	10351930	357	0.00	          0.35	4.08	
01398	工商银行	1.13	3108299008	0.080	7.130	7.140	435297504	22054000	0.14	          0.50	7.040	
01288	农业银行	5.37	3089963264	0.240	4.700	4.710	662269312	13184000	0.86	          2.15	4.500	
601360	三六零	8.30	2461142272	4.13	53.78	53.80	478168	126	0.32	         12.04	49.77	
603019	中科曙光	3.84	1973322240	1.92	51.98	51.99	379748	13	-0.14	          5.91	49.52	
002129	中环股份	5.19	1894447872	0.51	10.33	10.34	1847102	18472	0.19	          6.99	10.12	
000816	智慧农业	7.06	1270425216	0.29	4.40	4.41	2879592	22824	-0.44	         21.55	4.10	
300377	赢时胜	4.74	1182839936	0.70	15.47	15.48	764589	7272	0.00	         15.00	15.03	
300476	胜宏科技	1.11	1156694400	0.35	31.95	31.96	357877	4265	0.22	         19.19	31.31	
002606	大连电瓷	9.98	1127719936	0.90	9.92	--  	1159167	5157	0.00	         28.84	9.07	
002839	张家港行	1.21	1086603648	0.12	10.02	10.03	1077253	12458	0.40	         12.91	9.91	
300115	长盈精密	5.89	1007728960	1.22	21.93	21.94	466168	2864	-0.13	          5.19	20.72	
002268	卫 士 通	2.93	1006356864	0.81	28.49	28.50	352378	5149	0.32	          5.10	28.11	
300073	当升科技	2.11	919829760	0.59	28.55	28.56	318594	3948	0.18	          9.56	29.16	
000792	盐湖股份	2.40	890032896	0.32	13.64	13.65	643246	8776	-0.06	          2.34	13.37	
601233	桐昆股份	3.41	889563072	0.83	25.16	25.18	354942	26	0.44	          2.95	24.80	
002226	江南化工	6.62	875133696	0.47	7.56	7.57	1167749	10658	0.66	         12.81	7.54	
002927	泰永长征	10.00	861380928	5.02	55.21	--  	158288	269	0.00	         67.50	53.01	
000806	银河生物	5.76	787482688	0.43	7.89	7.90	1005301	7045	0.00	         14.39	7.71	
000789	万年青	3.44	777830592	0.39	11.73	11.74	670774	12246	0.34	         10.94	11.33	
300226	上海钢联	2.62	775095168	1.80	70.55	70.56	110689	2149	0.36	          7.34	67.82	
300078	思创医惠	2.30	767138944	0.24	10.66	10.67	698626	4157	0.76	         13.53	11.00	
002302	西部建设	4.29	752051840	0.72	17.49	17.50	434238	6136	-0.27	          4.21	16.60	
600804	鹏博士	10.02	750760832	1.38	15.15	--  	497253	30	0.00	          3.47	15.15	
300168	万达信息	1.19	735382080	0.19	16.21	16.22	451356	4801	-0.17	          4.41	15.90	
00799	IGG	8.32	703292672	0.920	11.940	11.980	59950028	607000	0.17	          4.50	11.200	
600348	阳泉煤业	1.83	678692928	0.16	8.87	8.88	771601	62	-0.44	          3.21	8.60	
601636	旗滨集团	1.06	653843968	0.07	6.70	6.71	968959	219	0.30	          3.86	6.67	
